Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[developmental stage]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[organism part]
GSE6825GSM157314	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157314 sample	P-G6825-2	GSE6825GSM157314 extract	total_RNA	P-G6825-1	GSE6825GSM157314 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-4_Control-root_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-4_Control-root_Rep1_ATH1	GSM157314.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	control	root
GSE6825GSM157326	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157326 sample	P-G6825-2	GSE6825GSM157326 extract	total_RNA	P-G6825-1	GSE6825GSM157326 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-10_Control-root_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-10_Control-root_Rep2_ATH1	GSM157326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	control	root
GSE6825GSM157323	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157323 sample	P-G6825-2	GSE6825GSM157323 extract	total_RNA	P-G6825-1	GSE6825GSM157323 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-16_Control-root_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-16_Control-root_Rep3_ATH1	GSM157323.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	control	root
GSE6825GSM157316	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157316 sample	P-G6825-2	GSE6825GSM157316 extract	total_RNA	P-G6825-1	GSE6825GSM157316 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-6_Caesium-treated-root_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-6_Caesium-treated-root_Rep1_ATH1	GSM157316.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	nutrient solution with caesium	root
GSE6825GSM157328	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157328 sample	P-G6825-2	GSE6825GSM157328 extract	total_RNA	P-G6825-1	GSE6825GSM157328 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-12_Caesium-treated-root_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-12_Caesium-treated-root_Rep2_ATH1	GSM157328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	nutrient solution with caesium	root
GSE6825GSM157325	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157325 sample	P-G6825-2	GSE6825GSM157325 extract	total_RNA	P-G6825-1	GSE6825GSM157325 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-18_Caesium-treated-root_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-18_Caesium-treated-root_Rep3_ATH1	GSM157325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	nutrient solution with caesium	root
GSE6825GSM157327	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157327 sample	P-G6825-2	GSE6825GSM157327 extract	total_RNA	P-G6825-1	GSE6825GSM157327 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-11_Potassium-starved-root_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-11_Potassium-starved-root_Rep2_ATH1	GSM157327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	nutrient solution without potassium	root
GSE6825GSM157324	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157324 sample	P-G6825-2	GSE6825GSM157324 extract	total_RNA	P-G6825-1	GSE6825GSM157324 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-17_Potassium-starved-root_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-17_Potassium-starved-root_Rep3_ATH1	GSM157324.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	nutrient solution without potassium	root
GSE6825GSM157315	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: all root material	root	Ws-2	rosette growth complete stage	GSE6825GSM157315 sample	P-G6825-2	GSE6825GSM157315 extract	total_RNA	P-G6825-1	GSE6825GSM157315 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-5_Potassium-starved-root_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-5_Potassium-starved-root_Rep1_ATH1	GSM157315.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	nutrient solution without potassium	root
GSE6825GSM157311	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ws-2:  location: Growth Room Atmosphere: Normal Humidity: 80 % Temperature: 22 °C Lighting: 16 hour day Medium: 0.8 % (w/v) agar containing 1 % (w/v) sucrose and a 1/10 MS salt  mix Stratification: imbibed for 3-5 days at 4 °C. Stock Code: N1601; Developmental stage: 3.90; Tissue: shoots	shoot	Ws-2	rosette growth complete stage	GSE6825GSM157311 sample	P-G6825-2	GSE6825GSM157311 extract	total_RNA	P-G6825-1	GSE6825GSM157311 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hammond_3-1_Control-shoot_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Hammond_3-1_Control-shoot_Rep1_ATH1	GSM157311.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.raw.1.zip	E-GEOD-6825-processed-data-1629599375.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6825/E-GEOD-6825.processed.1.zip	control	shoot
