Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Characteristics[Karyotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[KARYOTYPE]
GSE6828GSM157348	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	diploid	C24:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157348 sample	P-G6828-2	GSE6828GSM157348 extract	total_RNA	P-G6828-1	GSE6828GSM157348 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-2_C24-DIP_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-2_C24-DIP_Rep2_ATH1	GSM157348.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	diploid
GSE6828GSM157356	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	tetraploid	Tetraploid C24 obtained by Colchicine treatment:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157356 sample	P-G6828-2	GSE6828GSM157356 extract	total_RNA	P-G6828-1	GSE6828GSM157356 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-11_C24-TET_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-11_C24-TET_Rep2_ATH1	GSM157356.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	tetraploid
GSE6828GSM157355	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	tetraploid	Tetraploid C24 obtained by Colchicine treatment:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157355 sample	P-G6828-2	GSE6828GSM157355 extract	total_RNA	P-G6828-1	GSE6828GSM157355 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-10_C24-TET_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-10_C24-TET_Rep1_ATH1	GSM157355.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	tetraploid
GSE6828GSM157350	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	triploid	triploid C24 from 4x per 2x cross:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157350 sample	P-G6828-2	GSE6828GSM157350 extract	total_RNA	P-G6828-1	GSE6828GSM157350 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-5_C24-TFE_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-5_C24-TFE_Rep2_ATH1	GSM157350.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	triploid
GSE6828GSM157347	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	diploid	C24:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157347 sample	P-G6828-2	GSE6828GSM157347 extract	total_RNA	P-G6828-1	GSE6828GSM157347 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-1_C24-DIP_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-1_C24-DIP_Rep1_ATH1	GSM157347.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	diploid
GSE6828GSM157349	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	triploid	triploid C24 from 4x per 2x cross:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157349 sample	P-G6828-2	GSE6828GSM157349 extract	total_RNA	P-G6828-1	GSE6828GSM157349 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-4_C24-TFE_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-4_C24-TFE_Rep1_ATH1	GSM157349.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	triploid
GSE6828GSM157357	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	tetraploid	Tetraploid C24 obtained by Colchicine treatment:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157357 sample	P-G6828-2	GSE6828GSM157357 extract	total_RNA	P-G6828-1	GSE6828GSM157357 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-12_C24-TET_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-12_C24-TET_Rep3_ATH1	GSM157357.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	tetraploid
GSE6828GSM157351	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	triploid	triploid C24 from 4x per 2x cross:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157351 sample	P-G6828-2	GSE6828GSM157351 extract	total_RNA	P-G6828-1	GSE6828GSM157351 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-6_C24-TFE_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-6_C24-TFE_Rep3_ATH1	GSM157351.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	triploid
GSE6828GSM157353	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	triploid	triploid C24 from 4x per 2x cross:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157353 sample	P-G6828-2	GSE6828GSM157353 extract	total_RNA	P-G6828-1	GSE6828GSM157353 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-8_C24-TME_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-8_C24-TME_Rep2_ATH1	GSM157353.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	triploid
GSE6828GSM157354	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	whole organism	triploid	triploid C24 from 4x per 2x cross:  Location: Growth chamber stratification: Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber sterilisation: 15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water Growth protocol: 16h day(10Klux) 21C; 8h night 18C Growth substrate type: Agar Growth medium: Murashige and Skoog basal salt mixture. Stock Code: N906; Developmental stage: 1.02; Tissue: whole plant	GSE6828GSM157354 sample	P-G6828-2	GSE6828GSM157354 extract	total_RNA	P-G6828-1	GSE6828GSM157354 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Garnier_1-9_C24-TME_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Garnier_1-9_C24-TME_Rep3_ATH1	GSM157354.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.raw.1.zip	E-GEOD-6828-processed-data-1629609149.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6828/E-GEOD-6828.processed.1.zip	triploid
