Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[SAMPLING TIME POINT]
GSE6906GSM158681	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	5	days	Columbia	Columbia 5 day old seedling, 120 minutes after transfer to darkness, night time:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 1240 minutes after dawn on the fifth day.. Strain: Columbia; Age: 5 Days; Tissue: Whole Seedling	P-G6906-4	GSE6906GSM158681 sample	P-G6906-3	GSE6906GSM158681 extract	total_RNA	P-G6906-2	GSE6906GSM158681 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_dark_late_rep1	A-AFFY-2	P-AFFY-6	Col_dark_late_rep1	GSM158681.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	Columbia	late
GSE6906GSM159326	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	7	days	cca1-34 (cca1-ox)	CCA1-34 (CCA1-ox) 7 day old seedling, 120 minutes after transfer to darkness, night:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 1240 minutes after dawn on the seventh day.. Strain: CCA1-34 (CCA1-ox); Age: 7 Days; Tissue: Whole Seedling	P-G6906-9	GSE6906GSM159326 sample	P-G6906-6	GSE6906GSM159326 extract	total_RNA	P-G6906-2	GSE6906GSM159326 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CCA1-34_dark_late_rep3	A-AFFY-2	P-AFFY-6	CCA1-34_dark_late_rep3	GSM159326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	cca1-34 (cca1-ox)	late
GSE6906GSM159298	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	7	days	Columbia	Columbia 7 day old seedling, 120 minutes after transfer to darkness, morning:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 280 minutes after dawn on the seventh day.. Strain: Columbia; Age: 7 Days; Tissue: Whole Seedling	P-G6906-8	GSE6906GSM159298 sample	P-G6906-6	GSE6906GSM159298 extract	total_RNA	P-G6906-2	GSE6906GSM159298 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_dark_early_rep3	A-AFFY-2	P-AFFY-6	Col_dark_early_rep3	GSM159298.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	Columbia	early
GSE6906GSM158680	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	5	days	Columbia	Columbia 5 day old seedling, 120 minutes after transfer to darkness, morning:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 280 minutes after dawn on the fifth day.. Strain: Columbia; Age: 5 Days; Tissue: Whole Seedling	P-G6906-1	GSE6906GSM158680 sample	P-G6906-3	GSE6906GSM158680 extract	total_RNA	P-G6906-2	GSE6906GSM158680 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_dark_early_rep1	A-AFFY-2	P-AFFY-6	Col_dark_early_rep1	GSM158680.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	Columbia	early
GSE6906GSM159301	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	5	days	cca1-34	cca1-34 5 day old seedling, 120 minutes after transfer to darkness, night:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 1240 minutes after dawn on the fifth day.. Strain: CCA1-34 (CCA1-OX); Age: 5 Days; Tissue: Whole Seedling	P-G6906-11	GSE6906GSM159301 sample	P-G6906-6	GSE6906GSM159301 extract	total_RNA	P-G6906-2	GSE6906GSM159301 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CCA1-34_dark_late_rep1	A-AFFY-2	P-AFFY-6	CCA1-34_dark_late_rep1	GSM159301.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	cca1-34	late
GSE6906GSM159304	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	6	days	cca1-34	CCA1-34 6 day old seedling, 120 minutes after transfer to darkness, night:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 1240 minutes after dawn on the sixth day.. Strain: CCA1-34 (CCA1-OX); Age: 6 Days; Tissue: Whole Seedling	P-G6906-7	GSE6906GSM159304 sample	P-G6906-6	GSE6906GSM159304 extract	total_RNA	P-G6906-2	GSE6906GSM159304 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CCA1-34_dark_late_rep2	A-AFFY-2	P-AFFY-6	CCA1-34_dark_late_rep2	GSM159304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	cca1-34	late
GSE6906GSM159291	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	6	days	Columbia	Columbia 6 day old seedling, 120 minutes after transfer to darkness, night:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 1240 minutes after dawn on the sixth day.. Strain: Columbia; Age: 6 Days; Tissue: Whole Seedling	P-G6906-7	GSE6906GSM159291 sample	P-G6906-6	GSE6906GSM159291 extract	total_RNA	P-G6906-2	GSE6906GSM159291 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_dark_late_rep2	A-AFFY-2	P-AFFY-6	Col_dark_late_rep2	GSM159291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	Columbia	late
GSE6906GSM159273	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	6	days	Columbia	Columbia 6 day old seedling, 120 minutes after transfer to darkness, morning:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 280 minutes after dawn on the sixth day.. Strain: Columbia; Age: 6 Days; Tissue: Whole Seedling	P-G6906-5	GSE6906GSM159273 sample	P-G6906-6	GSE6906GSM159273 extract	total_RNA	P-G6906-2	GSE6906GSM159273 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_dark_early_rep2	A-AFFY-2	P-AFFY-6	Col_dark_early_rep2	GSM159273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	Columbia	early
GSE6906GSM159321	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	7	days	cca1-34 (cca1-ox)	CCA1-34 (CCA1-ox)  7 day old seedling, 120 minutes after transfer to darkness, morning:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 280 minutes after dawn on the seventh day.. Strain: CCA1-34 (CCA1-ox); Age: 7 Days; Tissue: Whole Seedling	P-G6906-8	GSE6906GSM159321 sample	P-G6906-6	GSE6906GSM159321 extract	total_RNA	P-G6906-2	GSE6906GSM159321 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CCA1-34_dark_early_rep3	A-AFFY-2	P-AFFY-6	CCA1-34_dark_early_rep3	GSM159321.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	cca1-34 (cca1-ox)	early
GSE6906GSM159299	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	whole organism	7	days	Columbia	Columbia 7 day old seedling, 120 minutes after transfer to darkness, night time:  Seedlings were entrained in short days for four days and then transferred to cycles of 160 min light and 320 min dark for three days. This sample was collected two hours after lights off, 1240 minutes after dawn on the seventh day.. Strain: Columbia; Age: 7 Days; Tissue: Whole Seedling	P-G6906-9	GSE6906GSM159299 sample	P-G6906-6	GSE6906GSM159299 extract	total_RNA	P-G6906-2	GSE6906GSM159299 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_dark_late_rep3	A-AFFY-2	P-AFFY-6	Col_dark_late_rep3	GSM159299.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.raw.1.zip	E-GEOD-6906-processed-data-1629646698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6906/E-GEOD-6906.processed.1.zip	Columbia	late
