Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype background]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [treated with]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [treated with]
GSM1709733 1	COL_PAC_GA_CK_2 Gene expression data in response to cytokinin in the absence of DELLA proteins	Columbia-0_PAC+GA3+benzyladenine	Columbia-0, PAC+GA3+benzyladenine, biological replicate 2	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	10 μM paclobutrazol + 50 μM GA3 + 5 µM N6-benzyladenine (BA)	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709733 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709733 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709733	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709733_8B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709733_sample_table.txt norm	GSM1709733_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	10 μM paclobutrazol + 50 μM GA3 + 5 µM N6-benzyladenine (BA)
GSM1709732 1	COL_PAC_GA_CK_1 Gene expression data in response to cytokinin in the absence of DELLA proteins	Columbia-0_PAC+GA3+benzyladenine	Columbia-0, PAC+GA3+benzyladenine, biological replicate 1	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	10 μM paclobutrazol + 50 μM GA3 + 5 µM N6-benzyladenine (BA)	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709732 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709732 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709732	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709732_8A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709732_sample_table.txt norm	GSM1709732_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	10 μM paclobutrazol + 50 μM GA3 + 5 µM N6-benzyladenine (BA)
GSM1709731 1	COL_PAC_CK_2 Gene expression data in response to cytokinin in the presence of DELLA proteins	Columbia-0_PAC+benzyladenine	Columbia-0, PAC+benzyladenine, biological replicate 2	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	10 μM paclobutrazol +  5 µM N6-benzyladenine (BA)	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709731 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709731 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709731	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709731_7B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709731_sample_table.txt norm	GSM1709731_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	10 μM paclobutrazol +  5 µM N6-benzyladenine (BA)
GSM1709730 1	COL_PAC_CK_1 Gene expression data in response to cytokinin in the presence of DELLA proteins	Columbia-0_PAC+benzyladenine	Columbia-0, PAC+benzyladenine, biological replicate 1	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	10 μM paclobutrazol +  5 µM N6-benzyladenine (BA)	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709730 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709730 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709730	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709730_7A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709730_sample_table.txt norm	GSM1709730_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	10 μM paclobutrazol +  5 µM N6-benzyladenine (BA)
GSM1709729 1	COL_DEX_2 Gene expression data in response to dexamethasone	Columbia-0_dexamethasone	Columbia-0, dexamethasone biological replicate 2	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	5μM dexamethasone	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709729 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709729 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709729	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709729_6B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709729_sample_table.txt norm	GSM1709729_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	5μM dexamethasone
GSM1709728 1	COL_DEX_1 Gene expression data in response to dexamethasone	Columbia-0_dexamethasone	Columbia-0, dexamethasone biological replicate 1	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	5μM dexamethasone	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709728 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709728 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709728	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709728_6A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709728_sample_table.txt norm	GSM1709728_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	5μM dexamethasone
GSM1709727 1	COL_MOCK_2 Gene expression data in basal conditions	Columbia-0_untreated	Columbia-0, untreated, biological replicate 2	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	none (untreated control)	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709727 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709727 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709727	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709727_5B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709727_sample_table.txt norm	GSM1709727_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	none (untreated control)
GSM1709726 1	COL_MOCK_1 Gene expression data in basal conditions	Columbia-0_untreated	Columbia-0, untreated, biological replicate 1	Columbia-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	none (untreated control)	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709726 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709726 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709726	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709726_5A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709726_sample_table.txt norm	GSM1709726_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	wild type	none (untreated control)
GSM1709725 1	ARR1_PAC_GA_DX_2 Gene expression data in response to ARR1 in the absence of DELLAs	ARR1∆DDK:GR_PAC+GA3+dexamethasone	ARR1∆DDK:GR, PAC+GA3+dexamethasone, biological replicate 2	Columbia-0	EFO	EFO_0005148	transgenic line 35S::ARR1{delta}DDK-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	10 μM paclobutrazol + 50 μM GA3 + 5μM dexamethasone	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709725 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709725 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709725	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709725_4B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709725_sample_table.txt norm	GSM1709725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	transgenic line 35S::ARR1{delta}DDK-GR	10 μM paclobutrazol + 50 μM GA3 + 5μM dexamethasone
GSM1709724 1	ARR1_PAC_GA_DX_1 Gene expression data in response to ARR1 in the absence of DELLAs	ARR1∆DDK:GR_PAC+GA3+dexamethasone	ARR1∆DDK:GR, PAC+GA3+dexamethasone, biological replicate 1	Columbia-0	EFO	EFO_0005148	transgenic line 35S::ARR1{delta}DDK-GR	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	6-day-old seedlings	10 μM paclobutrazol + 50 μM GA3 + 5μM dexamethasone	P-GSE69828-2	ArrayExpress	P-GSE69828-3	ArrayExpress	P-GSE69828-4	ArrayExpress	GSM1709724 extract 1	total RNA	P-GSE69828-5	ArrayExpress	GSM1709724 LE 1	biotin	P-GSE69828-6	ArrayExpress	GSM1709724	A-AFFY-2	ArrayExpress	array assay	P-GSE69828-7	ArrayExpress	GSM1709724_4A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.raw.1.zip	P-GSE69828-1	ArrayExpress	GSM1709724_sample_table.txt norm	GSM1709724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69828/E-GEOD-69828.processed.1.zip	transgenic line 35S::ARR1{delta}DDK-GR	10 μM paclobutrazol + 50 μM GA3 + 5μM dexamethasone
