Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Characteristics [genotype]	Characteristics[genetic modification]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue [dose]	Unit[concentration unit]	FactorValue[time]	Unit [time unit]
GSM1824889 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S24_KO_6.CEL	KO_seedling_NaCl_6 h	KO_6 Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824889 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824889 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824889	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824889_S24_KO_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824889_sample_table.txt norm	GSM1824889_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	6	hour
GSM1824888 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S23_KO_6.CEL	KO_seedling_NaCl_6 h	KO_6 Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824888 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824888 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824888	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824888_S23_KO_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824888_sample_table.txt norm	GSM1824888_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	6	hour
GSM1824887 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S22_KO_6.CEL	KO_seedling_NaCl_6 h	KO_6 Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824887 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824887 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824887	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824887_S22_KO_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824887_sample_table.txt norm	GSM1824887_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	6	hour
GSM1824886 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S21_KO_3.CEL	KO_seedling_NaCl_3 h	KO_3 Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824886 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824886 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824886	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824886_S21_KO_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824886_sample_table.txt norm	GSM1824886_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	3	hour
GSM1824885 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S20_KO_3.CEL	KO_seedling_NaCl_3 h	KO_3 Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824885 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824885 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824885	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824885_S20_KO_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824885_sample_table.txt norm	GSM1824885_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	3	hour
GSM1824884 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S19_KO_3.CEL	KO_seedling_NaCl_3 h	KO_3 Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824884 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824884 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824884	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824884_S19_KO_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824884_sample_table.txt norm	GSM1824884_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	3	hour
GSM1824883 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S18_KO_1.CEL	KO_seedling_NaCl_1 h	KO_1 Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824883 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824883 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824883	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824883_S18_KO_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824883_sample_table.txt norm	GSM1824883_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	1	hour
GSM1824882 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S17_KO_1.CEL	KO_seedling_NaCl_1 h	KO_1 Biological Rep 2	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824882 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824882 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824882	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824882_S17_KO_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824882_sample_table.txt norm	GSM1824882_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	1	hour
GSM1824881 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S16_KO_1.CEL	KO_seedling_NaCl_1 h	KO_1 Biological Rep 1	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824881 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824881 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824881	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824881_S16_KO_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824881_sample_table.txt norm	GSM1824881_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	sodium chloride	150	millimolar	1	hour
GSM1824880 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	6	week	root	bzip1, bzip53 double knockout	gene knock out	S15_KO_C.CEL	KO_seedling_NaCl_Control	KO_C Biological Rep 3	P-GSE71001-2	ArrayExpress	P-GSE71001-3	ArrayExpress	P-GSE71001-4	ArrayExpress	GSM1824880 extract 1	total RNA	P-GSE71001-5	ArrayExpress	GSM1824880 LE 1	biotin	P-GSE71001-6	ArrayExpress	GSM1824880	A-AFFY-2	ArrayExpress	array assay	P-GSE71001-7	ArrayExpress	GSM1824880_S15_KO_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.raw.1.zip	P-GSE71001-1	ArrayExpress	GSM1824880_sample_table.txt norm	GSM1824880_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71001/E-GEOD-71001.processed.1.zip	bzip1, bzip53 double knockout	control	0	millimolar	0	hour
