Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Characteristics [organism part]	Characteristics [genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]
GSM1832332 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	root	pdx1.3 knockout	Gene expression data from WT roots 17	10 days old seedlings	WT roots 3	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832332 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832332 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832332	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832332_Fitzpatrick_Boycheva_0110_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832332_sample_table.txt norm	GSM1832332_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	pdx1.3 knockout	root
GSM1832331 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	root	pdx1.3 knockout	Gene expression data from WT roots 16	10 days old seedlings	WT roots 2	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832331 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832331 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832331	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832331_Fitzpatrick_Boycheva_0110_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832331_sample_table.txt norm	GSM1832331_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	pdx1.3 knockout	root
GSM1832330 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	root	pdx1.3 knockout	Gene expression data from WT roots 15	10 days old seedlings	WT roots 1	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832330 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832330 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832330	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832330_Fitzpatrick_Boycheva_0110_15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832330_sample_table.txt norm	GSM1832330_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	pdx1.3 knockout	root
GSM1832329 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	leaf	pdx1.3 knockout	Gene expression data from WT leaves 13	10 days old seedlings	WT leaves 3	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832329 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832329 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832329	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832329_Fitzpatrick_Boycheva_0110_13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832329_sample_table.txt norm	GSM1832329_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	pdx1.3 knockout	leaf
GSM1832328 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	leaf	pdx1.3 knockout	Gene expression data from WT leaves 10	10 days old seedlings	WT leaves 2	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832328 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832328 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832328	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832328_Fitzpatrick_Boycheva_0110_10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832328_sample_table.txt norm	GSM1832328_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	pdx1.3 knockout	leaf
GSM1832327 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	leaf	pdx1.3 knockout	Gene expression data from WT leaves 9	10 days old seedlings	WT leaves 1	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832327 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832327 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832327	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832327_Fitzpatrick_Boycheva_0110_9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832327_sample_table.txt norm	GSM1832327_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	pdx1.3 knockout	leaf
GSM1832326 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	root	wild type	Gene expression data from pdx1.3 ko roots 8	10 days old seedlings	pdx1.3 ko roots 3	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832326 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832326 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832326	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832326_Fitzpatrick_Boycheva_0110_8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832326_sample_table.txt norm	GSM1832326_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	wild type	root
GSM1832325 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	root	wild type	Gene expression data from pdx1.3 ko roots 7	10 days old seedlings	pdx1.3 ko roots 2	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832325 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832325 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832325	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832325_Fitzpatrick_Boycheva_0110_7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832325_sample_table.txt norm	GSM1832325_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	wild type	root
GSM1832324 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	root	wild type	Gene expression data from pdx1.3 ko roots 6	10 days old seedlings	pdx1.3 ko roots 1	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832324 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832324 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832324	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832324_Fitzpatrick_Boycheva_0110_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832324_sample_table.txt norm	GSM1832324_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	wild type	root
GSM1832323 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	EFO	EFO_0005148	10	day	leaf	wild type	Gene expression data from pdx1.3 ko leaves 4	10 days old seedlings	pdx1.3 ko leaves 3	P-GSE71312-2	ArrayExpress	P-GSE71312-3	ArrayExpress	P-GSE71312-4	ArrayExpress	GSM1832323 extract 1	total RNA	P-GSE71312-5	ArrayExpress	GSM1832323 LE 1	biotin	P-GSE71312-6	ArrayExpress	GSM1832323	A-AFFY-2	ArrayExpress	array assay	P-GSE71312-7	ArrayExpress	GSM1832323_Fitzpatrick_Boycheva_0110_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.raw.1.zip	P-GSE71312-1	ArrayExpress	GSM1832323_sample_table.txt norm	GSM1832323_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71312/E-GEOD-71312.processed.1.zip	wild type	leaf
