Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [treated with]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treated with]
GSM1844427 1	SAMPLE 64	NO-NH-IA-CK-AB 0.5-0.5-1-1-1	NO-NH-IA-CK-AB 0.5-0.5-1-1-1-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-1-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844427 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844427 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844427	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844427_GK-MC-32-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844427_sample_table.txt norm	GSM1844427_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-1-1
GSM1844426 1	SAMPLE 63	NO-NH-IA-CK-AB 0.5-0.5-1-1-1	NO-NH-IA-CK-AB 0.5-0.5-1-1-1-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-1-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844426 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844426 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844426	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844426_GK-MC-32-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844426_sample_table.txt norm	GSM1844426_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-1-1
GSM1844425 1	SAMPLE 62	NO-NH-IA-CK-AB 0.5-0.5-1-1-0	NO-NH-IA-CK-AB 0.5-0.5-1-1-0-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-1-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844425 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844425 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844425	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844425_GK-MC-31-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844425_sample_table.txt norm	GSM1844425_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-1-0
GSM1844424 1	SAMPLE 61	NO-NH-IA-CK-AB 0.5-0.5-1-1-0	NO-NH-IA-CK-AB 0.5-0.5-1-1-0-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-1-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844424 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844424 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844424	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844424_GK-MC-31-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844424_sample_table.txt norm	GSM1844424_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-1-0
GSM1844423 1	SAMPLE 60	NO-NH-IA-CK-AB 0.5-0.5-1-0-1	NO-NH-IA-CK-AB 0.5-0.5-1-0-1-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-0-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844423 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844423 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844423	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844423_GK-MC-30-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844423_sample_table.txt norm	GSM1844423_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-0-1
GSM1844422 1	SAMPLE 59	NO-NH-IA-CK-AB 0.5-0.5-1-0-1	NO-NH-IA-CK-AB 0.5-0.5-1-0-1-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-0-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844422 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844422 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844422	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844422_GK-MC-30-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844422_sample_table.txt norm	GSM1844422_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-0-1
GSM1844421 1	SAMPLE 58	NO-NH-IA-CK-AB 0.5-0.5-1-0-0	NO-NH-IA-CK-AB 0.5-0.5-1-0-0-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-0-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844421 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844421 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844421	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844421_GK-MC-29-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844421_sample_table.txt norm	GSM1844421_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-0-0
GSM1844420 1	SAMPLE 57	NO-NH-IA-CK-AB 0.5-0.5-1-0-0	NO-NH-IA-CK-AB 0.5-0.5-1-0-0-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-1-0-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844420 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844420 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844420	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844420_GK-MC-29-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844420_sample_table.txt norm	GSM1844420_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-1-0-0
GSM1844419 1	SAMPLE 56	NO-NH-IA-CK-AB 0.5-0.5-0-1-1	NO-NH-IA-CK-AB 0.5-0.5-0-1-1-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-1-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844419 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844419 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844419	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844419_GK-MC-28-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844419_sample_table.txt norm	GSM1844419_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-1-1
GSM1844418 1	SAMPLE 55	NO-NH-IA-CK-AB 0.5-0.5-0-1-1	NO-NH-IA-CK-AB 0.5-0.5-0-1-1-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-1-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844418 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844418 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844418	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844418_GK-MC-28-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844418_sample_table.txt norm	GSM1844418_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-1-1
