Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell type]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [time]	Unit [time unit]
GSM1887767 1	Completion of tracheary element secondary cell wall deposition and preparation of programmed cell death and post-mortem lignification at 96h	Differentiating Arabidopsis cell culture time-point at 96h - Ciological rep C	Cell culture time-point at 96h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887767 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887767 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887767	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887767_C8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887767_sample_table.txt norm	GSM1887767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	96	hour
GSM1887766 1	Progression of tracheary element secondary cell wall deposition at 84h	Differentiating Arabidopsis cell culture time-point at 84h - Ciological rep C	Cell culture time-point at 84h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887766 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887766 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887766	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887766_C7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887766_sample_table.txt norm	GSM1887766_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	84	hour
GSM1887765 1	Progression of tracheary element secondary cell wall deposition at 72h	Differentiating Arabidopsis cell culture time-point at 72h - Ciological rep C	Cell culture time-point at 72h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887765 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887765 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887765	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887765_C6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887765_sample_table.txt norm	GSM1887765_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	72	hour
GSM1887764 1	Initiation of tracheary element secondary cell wall deposition at 60h	Differentiating Arabidopsis cell culture time-point at 60h - Ciological rep C	Cell culture time-point at 60h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887764 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887764 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887764	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887764_C5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887764_sample_table.txt norm	GSM1887764_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	60	hour
GSM1887763 1	Progression of tracheary element differentiation prior to secondary cell wall deposition at 48h	Differentiating Arabidopsis cell culture time-point at 48h - Ciological rep C	Cell culture time-point at 48h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887763 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887763 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887763	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887763_C4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887763_sample_table.txt norm	GSM1887763_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	48	hour
GSM1887762 1	Initial step of tracheary element differentiation at 36h	Differentiating Arabidopsis cell culture time-point at 36h - Ciological rep C	Cell culture time-point at 36h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887762 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887762 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887762	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887762_C3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887762_sample_table.txt norm	GSM1887762_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	36	hour
GSM1887761 1	Loss of cell division, initiation of cell expansion and tracheary element differentiation at 24h	Differentiating Arabidopsis cell culture time-point at 24h - Ciological rep C	Cell culture time-point at 24h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887761 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887761 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887761	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887761_C2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887761_sample_table.txt norm	GSM1887761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	24	hour
GSM1887760 1	Loss of cell division, initiation of cell expansion at 12h	Differentiating Arabidopsis cell culture time-point at 12h - Ciological rep C	Cell culture time-point at 12h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887760 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887760 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887760	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887760_C1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887760_sample_table.txt norm	GSM1887760_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	12	hour
GSM1887759 1	Undifferentiated actively dividing pluripotent cells at 0h	Differentiating Arabidopsis cell culture time-point at 0h - Ciological rep C	Cell culture time-point at 0h - Ciological rep C	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887759 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887759 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887759	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887759_C0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887759_sample_table.txt norm	GSM1887759_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	0	hour
GSM1887758 1	Completion of tracheary element secondary cell wall deposition and preparation of programmed cell death and post-mortem lignification at 96h	Differentiating Arabidopsis cell culture time-point at 96h - biological rep B	Cell culture time-point at 96h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887758 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887758 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887758	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887758_B8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887758_sample_table.txt norm	GSM1887758_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	96	hour
