Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genetic background]	Characteristics [genotype]	Characteristics [infection]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [infection]	Term Source REF	Term Accession Number	FactorValue [time]	Term Source REF	Term Accession Number
GSM1891544 1	ugt76b1-Hpa-R2_ATH1 ugt76b1 mutant expression after infection	A. thaliana ugt76b1 Hpa-inoculated	Emwa1 inoculated ugt76b1 at 3 dpi, biological replicate 2	Ws-4	ugt76b1	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891544 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891544 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891544	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891544_ugt76b1-Hpa-R2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891544_sample_table.txt norm	GSM1891544_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	ugt76b1	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	3 dpi	  	        
GSM1891543 1	ugt76b1-Hpa-R1_ATH1 ugt76b1 mutant expression after infection	A. thaliana ugt76b1 Hpa-inoculated	Emwa1 inoculated ugt76b1 at 3 dpi, biological replicate 1	Ws-4	ugt76b1	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891543 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891543 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891543	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891543_ugt76b1-Hpa-R1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891543_sample_table.txt norm	GSM1891543_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	ugt76b1	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	3 dpi	  	        
GSM1891542 1	ugt76b1-Ctrl-R2_ATH1 ugt76b1 mutant expression in the absence of infection	A. thaliana ugt76b1 treated with water	water-treated ugt76b1, biological replicate 2	Ws-4	ugt76b1	control	EFO	EFO_0001461	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891542 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891542 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891542	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891542_ugt76b1-Ctrl-R2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891542_sample_table.txt norm	GSM1891542_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	ugt76b1	control	EFO	EFO_0001461	control	EFO	EFO_0001461
GSM1891541 1	ugt76b1-Ctrl-R1_ATH1 ugt76b1 mutant expression in the absence of infection	A. thaliana ugt76b1 treated with water	water-treated ugt76b1, biological replicate 1	Ws-4	ugt76b1	control	EFO	EFO_0001461	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891541 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891541 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891541	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891541_ugt76b1-Ctrl-R1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891541_sample_table.txt norm	GSM1891541_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	ugt76b1	control	EFO	EFO_0001461	control	EFO	EFO_0001461
GSM1891540 1	map65-3-Hpa-R2_ATH1 map65-3 mutant expression after infection	A. thaliana map65-3 Hpa-inoculated	Emwa1 inoculated map65-3 at 3 dpi, biological replicate 2	Ws-4	map65-3	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891540 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891540 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891540	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891540_map65-3-Hpa-R2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891540_sample_table.txt norm	GSM1891540_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	map65-3	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	3 dpi	  	        
GSM1891539 1	map65-3-Hpa-R1_ATH1 map65-3 mutant expression after infection	A. thaliana map65-3 Hpa-inoculated	Emwa1 inoculated map65-3 at 3 dpi, biological replicate 1	Ws-4	map65-3	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891539 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891539 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891539	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891539_map65-3-Hpa-R1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891539_sample_table.txt norm	GSM1891539_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	map65-3	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain Emwa1	  	  	3 dpi	  	        
GSM1891538 1	map65-3-Ctrl-R2_ATH1 map65-3 mutant expression in the absence of infection	A. thaliana map65-3 treated with water	water-treated map65-3, biological replicate 2	Ws-4	map65-3	control	EFO	EFO_0001461	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891538 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891538 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891538	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891538_map65-3-Ctrl-R2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891538_sample_table.txt norm	GSM1891538_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	map65-3	control	EFO	EFO_0001461	control	EFO	EFO_0001461
GSM1891537 1	map65-3-Ctrl-R1_ATH1 map65-3 mutant expression in the absence of infection	A. thaliana map65-3 treated with water	water-treated map65-3, biological replicate 1	Ws-4	map65-3	control	EFO	EFO_0001461	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-8	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-9	ArrayExpress	GSM1891537 extract 1	total RNA	P-GSE73351-10	ArrayExpress	GSM1891537 LE 1	biotin	P-GSE73351-11	ArrayExpress	GSM1891537	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-12	ArrayExpress	GSM1891537_map65-3-Ctrl-R1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM1891537_sample_table.txt norm	GSM1891537_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	map65-3	control	EFO	EFO_0001461	control	EFO	EFO_0001461
GSM914967 1	wild-type expression after infection	A. thaliana Wt Hpa-inoculated.	Emwa1 inoculated wild type at 3 dpi, biological replicate 2	Ws-4	wild type	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain  Emwa1	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-3	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-4	ArrayExpress	GSM914967 extract 1	total RNA	P-GSE73351-5	ArrayExpress	GSM914967 LE 1	biotin	P-GSE73351-6	ArrayExpress	GSM914967	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-7	ArrayExpress	GSM914967_HK_Ws-Hpa-R2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM914967_sample_table.txt norm	GSM914967_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	wild type	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain  Emwa1	  	  	not specified	  	        
GSM914966 1	wild-type expression after infection	A. thaliana Wt Hpa-inoculated.	Emwa1 inoculated wild type at 3 dpi, biological replicate 1	Ws-4	wild type	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain  Emwa1	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Cotyledons	P-GSE73351-3	ArrayExpress	P-GSE73351-2	ArrayExpress	P-GSE73351-4	ArrayExpress	GSM914966 extract 1	total RNA	P-GSE73351-5	ArrayExpress	GSM914966 LE 1	biotin	P-GSE73351-6	ArrayExpress	GSM914966	A-AFFY-2	ArrayExpress	array assay	P-GSE73351-7	ArrayExpress	GSM914966_HK_Ws-Hpa-R1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.raw.1.zip	P-GSE73351-1	ArrayExpress	GSM914966_sample_table.txt norm	GSM914966_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73351/E-GEOD-73351.processed.1.zip	wild type	biotrophic oomycete downy mildew pathogen, Hyaloperonospora arabidopsidis strain  Emwa1	  	  	not specified	  	        
