Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Characteristics[Genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]
GSE7570GSM183517	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	myb51 overexpression	MYB51 OE 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183517 sample	P-G7570-3	GSE7570GSM183517 extract	total_RNA	P-G7570-2	GSE7570GSM183517 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MYB51_OE_rep2	A-AFFY-2	P-AFFY-6	MYB51_OE_rep2	GSM183517.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	myb51 overexpression
GSE7570GSM184152	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	35S:atr1	14 days seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 days seedling	P-G7570-1	GSE7570GSM184152 sample	P-G7570-3	GSE7570GSM184152 extract	total_RNA	P-G7570-2	GSE7570GSM184152 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	35S:ATR1_like_miR_rep2	A-AFFY-2	P-AFFY-6	35S:ATR1_like_miR_rep2	GSM184152.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	35S:atr1
GSE7570GSM183511	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	myb76 overexpression	MYB76 OE 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183511 sample	P-G7570-3	GSE7570GSM183511 extract	total_RNA	P-G7570-2	GSE7570GSM183511 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MYB76_OE_rep1	A-AFFY-2	P-AFFY-6	MYB76_OE_rep1	GSM183511.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	myb76 overexpression
GSE7570GSM183505	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	myb29 wild_type	MYB29 WT 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183505 sample	P-G7570-3	GSE7570GSM183505 extract	total_RNA	P-G7570-2	GSE7570GSM183505 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT_for_MYB29/76_rep2	A-AFFY-2	P-AFFY-6	WT_for_MYB29/76_rep2	GSM183505.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	myb29 wild_type
GSE7570GSM183518	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	35S:atr1	35S:ATR1 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183518 sample	P-G7570-3	GSE7570GSM183518 extract	total_RNA	P-G7570-2	GSE7570GSM183518 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	35S:ATR1_like_miR_rep1	A-AFFY-2	P-AFFY-6	35S:ATR1_like_miR_rep1	GSM183518.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	35S:atr1
GSE7570GSM183512	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	myb76 overexpression	MYB76 OE 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183512 sample	P-G7570-3	GSE7570GSM183512 extract	total_RNA	P-G7570-2	GSE7570GSM183512 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MYB76_OE_rep2	A-AFFY-2	P-AFFY-6	MYB76_OE_rep2	GSM183512.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	myb76 overexpression
GSE7570GSM183510	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	miR wild_type	miR WT 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183510 sample	P-G7570-3	GSE7570GSM183510 extract	total_RNA	P-G7570-2	GSE7570GSM183510 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT_for_miR_rep2	A-AFFY-2	P-AFFY-6	WT_for_miR_rep2	GSM183510.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	miR wild_type
GSE7570GSM183519	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	35S:myb28	35S:ATR1 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183519 sample	P-G7570-3	GSE7570GSM183519 extract	total_RNA	P-G7570-2	GSE7570GSM183519 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	35S:MYB28_like_miR_rep2	A-AFFY-2	P-AFFY-6	35S:MYB28_like_miR_rep2	GSM183519.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	35S:myb28
GSE7570GSM184153	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	35S:myb28	14 days seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 days seedling	P-G7570-1	GSE7570GSM184153 sample	P-G7570-4	GSE7570GSM184153 extract	total_RNA	P-G7570-2	GSE7570GSM184153 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	35S:MYB28_like_miR_rep1	A-AFFY-2	P-AFFY-6	35S:MYB28_like_miR_rep1	GSM184153.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	35S:myb28
GSE7570GSM183508	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	14	days	Landsberg erecta	atr1 wild_type	ATR1 WT 14 day seedling:  In most angiosperms, polarity of leaves in the adaxial-abaxial sides could be associated with differences in morphology and anatomy that reflect the function of either side surfaces. Since dissecting these two parts is technically difficult, examples of metabolic pathways activated in one side of leaves and not in the other are scarce. In this study we used a developmental genetic approach to elucidate the molecular machinery that controls polarity in Arabidopsis leaves. One significant outcome of this strategy was the discovery that expression of three R2-R3 MYB factors, controlling a major pathway of secondary metabolism in Arabidopsis, was localized to the abaxial regions of young leaves. Herein we present in planta evidence that these three genes together with a second group of genes that includes the previously described ATR1 factor and its closest homolog, play a critical role in the transcriptional control of the biosynthetic pathways leading to the formation of the two most prominent classes of GSs in Arabidopsis. Silencing of either one of these two groups of genes using synthetic microRNAs resulted in reduced levels of GSs in leaves. Overexpression of the MYB28-like clade members (MYB28, MYB29 and MYB76) and the ATR1-like members [MYB51, MYB34 (ATR1)] in Arabidopsis led to induction of gene expression and metabolism associated with aliphatic glucosinolates (AGs) and indole glucosinolates (IGs), respectively. At the same time, overexpression of either clade members suppressed expression and metabolism associated with the other pathway, signifying a reciprocal, negative feedback control in between the two GSs pathways. Furthermore, we found that both members of the ATR1-like clade were not only key controllers of IGs homeostasis, but also effected metabolism of auxin and the phytoalexin camalexin. The availability of plants producing high levels of either IGs or AGs allowed us to compare between the capacities of these two types of GSs to deter herbivory. The results demonstrated that AGs exhibit more potent deterrent properties against the whitefly, Bemisia tabaci, a major agricultural pest of field and horticultural crops. Taken as a whole, this work provides a framework for dissecting the spatial regulation of metabolic pathways associated with secondary metabolism and its co-evolution with insect behavior.. 14 day seedling	P-G7570-1	GSE7570GSM183508 sample	P-G7570-3	GSE7570GSM183508 extract	total_RNA	P-G7570-2	GSE7570GSM183508 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT_for_ATR1/MYB51_rep2	A-AFFY-2	P-AFFY-6	WT_for_ATR1/MYB51_rep2	GSM183508.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.raw.1.zip	E-GEOD-7570-processed-data-1630299442.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7570/E-GEOD-7570.processed.1.zip	atr1 wild_type
