Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics [genotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Term Source REF	Term Accession Number
GSM2059877 1	Roots of 19-day-old oxMYB72 seedlings, 2 days after WCS417 treatment	oxMYB72_WCS417_3	19-day-old seedlings	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059877 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059877 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059877	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059877_oxMYB72_WCS417_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059877_sample_table.txt norm	GSM2059877_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	        
GSM2059876 1	Roots of 19-day-old oxMYB72 seedlings, 2 days after WCS417 treatment	oxMYB72_WCS417_2	19-day-old seedlings	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059876 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059876 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059876	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059876_oxMYB72_WCS417_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059876_sample_table.txt norm	GSM2059876_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	        
GSM2059875 1	Roots of 19-day-old oxMYB72 seedlings, 2 days after WCS417 treatment	oxMYB72_WCS417_1	19-day-old seedlings	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059875 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059875 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059875	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059875_oxMYB72_WCS417_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059875_sample_table.txt norm	GSM2059875_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	        
GSM2059874 1	Roots of untreated, 19-day-old oxMYB72 seedlings	oxMYB72_Ctrl_3	19-day-old seedlings	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059874 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059874 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059874	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059874_oxMYB72_Ctrl_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059874_sample_table.txt norm	GSM2059874_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	        
GSM2059873 1	Roots of untreated, 19-day-old oxMYB72 seedlings	oxMYB72_Ctrl_2	19-day-old seedlings	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059873 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059873 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059873	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059873_oxMYB72_Ctrl_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059873_sample_table.txt norm	GSM2059873_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	        
GSM2059872 1	Roots of untreated, 19-day-old oxMYB72 seedlings	oxMYB72_Ctrl_1	19-day-old seedlings	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059872 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059872 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059872	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059872_oxMYB72_Ctrl_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059872_sample_table.txt norm	GSM2059872_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	35S:FLAG-MYB72/myb72-2 (oxMYB72)	  	        
GSM2059871 1	Roots of 19-day-old myb72-2 seedlings, 2 days after WCS417 treatment	myb72_WCS417_3	19-day-old seedlings	myb72-2	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059871 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059871 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059871	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059871_myb72_WCS417_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059871_sample_table.txt norm	GSM2059871_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	myb72-2	  	        
GSM2059870 1	Roots of 19-day-old myb72-2 seedlings, 2 days after WCS417 treatment	myb72_WCS417_2	19-day-old seedlings	myb72-2	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059870 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059870 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059870	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059870_myb72_WCS417_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059870_sample_table.txt norm	GSM2059870_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	myb72-2	  	        
GSM2059869 1	Roots of 19-day-old myb72-2 seedlings, 2 days after WCS417 treatment	myb72_WCS417_1	19-day-old seedlings	myb72-2	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059869 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059869 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059869	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059869_myb72_WCS417_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059869_sample_table.txt norm	GSM2059869_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	myb72-2	  	        
GSM2059868 1	Roots of untreated,19-day-old myb72-2 seedlings	myb72_Ctrl_3	19-day-old seedlings	myb72-2	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE77806-2	ArrayExpress	P-GSE77806-3	ArrayExpress	P-GSE77806-4	ArrayExpress	GSM2059868 extract 1	polyA RNA	P-GSE77806-5	ArrayExpress	GSM2059868 LE 1	biotin	P-GSE77806-6	ArrayExpress	GSM2059868	A-AFFY-2	ArrayExpress	array assay	P-GSE77806-7	ArrayExpress	GSM2059868_myb72_Ctrl_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.raw.1.zip	P-GSE77806-1	ArrayExpress	GSM2059868_sample_table.txt norm	GSM2059868_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77806/E-GEOD-77806.processed.1.zip	myb72-2	  	        
