Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSE8741GSM216951	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 2h GA4+DEX:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-6	P-G8741-1	GSE8741GSM216951 sample	P-G8741-4	GSE8741GSM216951 extract	total_RNA	P-G8741-3	GSE8741GSM216951 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_2h_GA4+DEX_repl1	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_2h_GA4+DEX_repl1	GSM216951.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4 and dexamethasone	2	hours	DEX-inducible construct with reg-delta17
GSE8741GSM216943	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 2h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-2	P-G8741-1	GSE8741GSM216943 sample	P-G8741-4	GSE8741GSM216943 extract	total_RNA	P-G8741-3	GSE8741GSM216943 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_2h_GA4_repl3	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_2h_GA4_repl3	GSM216943.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4	2	hours	DEX-inducible construct with reg-delta17
GSE8741GSM216934	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 2h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-2	P-G8741-1	GSE8741GSM216934 sample	P-G8741-4	GSE8741GSM216934 extract	total_RNA	P-G8741-3	GSE8741GSM216934 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_2h_GA4_repl1	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_2h_GA4_repl1	GSM216934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4	2	hours	DEX-inducible construct with reg-delta17
GSE8741GSM216949	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 4h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-5	P-G8741-1	GSE8741GSM216949 sample	P-G8741-4	GSE8741GSM216949 extract	total_RNA	P-G8741-3	GSE8741GSM216949 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_4h_GA4_repl3	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_4h_GA4_repl3	GSM216949.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4	4	hours	DEX-inducible construct with reg-delta17
GSE8741GSM216953	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 2h GA4+DEX:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-6	P-G8741-1	GSE8741GSM216953 sample	P-G8741-4	GSE8741GSM216953 extract	total_RNA	P-G8741-3	GSE8741GSM216953 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_2h_GA4+DEX_repl2	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_2h_GA4+DEX_repl2	GSM216953.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4 and dexamethasone	2	hours	DEX-inducible construct with reg-delta17
GSE8741GSM216966	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	empty DEX-inducible construct	shoots, 4h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct with an empty cassette, used as control. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-5	P-G8741-1	GSE8741GSM216966 sample	P-G8741-4	GSE8741GSM216966 extract	total_RNA	P-G8741-3	GSE8741GSM216966 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Vector_shoots_4h_GA4_repl1	A-AFFY-2	P-AFFY-6	Vector_shoots_4h_GA4_repl1	GSM216966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4	4	hours	empty DEX-inducible construct
GSE8741GSM216938	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 2h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-2	P-G8741-1	GSE8741GSM216938 sample	P-G8741-4	GSE8741GSM216938 extract	total_RNA	P-G8741-3	GSE8741GSM216938 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_2h_GA4_repl2	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_2h_GA4_repl2	GSM216938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4	2	hours	DEX-inducible construct with reg-delta17
GSE8741GSM216962	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 4h GA4+DEX:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-7	P-G8741-1	GSE8741GSM216962 sample	P-G8741-4	GSE8741GSM216962 extract	total_RNA	P-G8741-3	GSE8741GSM216962 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl2	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl2	GSM216962.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4 and dexamethasone	4	hours	DEX-inducible construct with reg-delta17
GSE8741GSM216969	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	empty DEX-inducible construct	shoots, 4h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct with an empty cassette, used as control. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-5	P-G8741-1	GSE8741GSM216969 sample	P-G8741-4	GSE8741GSM216969 extract	total_RNA	P-G8741-3	GSE8741GSM216969 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Vector_shoots_4h_GA4_repl2	A-AFFY-2	P-AFFY-6	Vector_shoots_4h_GA4_repl2	GSM216969.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4	4	hours	empty DEX-inducible construct
GSE8741GSM216964	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	8	days	Landsberg erecta	DEX-inducible construct with reg-delta17	shoots, 4h GA4+DEX:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8741-7	P-G8741-1	GSE8741GSM216964 sample	P-G8741-4	GSE8741GSM216964 extract	total_RNA	P-G8741-3	GSE8741GSM216964 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl3	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl3	GSM216964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8741-processed-data-1631605907.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8741/E-GEOD-8741.processed.1.zip	GA4 and dexamethasone	4	hours	DEX-inducible construct with reg-delta17
