Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSE8785GSM216906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	ga1-3	shoots, 1h GA4:  The aim is to identify early gibberellin responsive genes in a gibberellin deficient strain such as ga1-3. A 1h time point was selected based on quantitative PCR analysis of known gibbrellin responsive genes, which showed a response only after 60 min of treatment. A concentration of 2 micromolar GA4 was used, and water as a mock treatment.. Strain: ga1-3 in Ler, Age: 8 days, Tissue: shoots	P-G8785-5	P-G8785-1	GSE8785GSM216906 sample	P-G8785-4	GSE8785GSM216906 extract	total_RNA	P-G8785-3	GSE8785GSM216906 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ga1-3_shoots_1h_GA4_repl4	A-AFFY-2	P-AFFY-6	ga1-3_shoots_1h_GA4_repl4	GSM216906.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4	1	hours	ga1-3
GSE8785GSM216896	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	ga1-3	shoots, 1h water:  The aim is to identify early gibberellin responsive genes in a gibberellin deficient strain such as ga1-3. A 1h time point was selected based on quantitative PCR analysis of known gibbrellin responsive genes, which showed a response only after 60 min of treatment. A concentration of 2 micromolar GA4 was used, and water as a mock treatment.. Strain: ga1-3 in Ler, Age: 8 days, Tissue: shoots	P-G8785-2	P-G8785-1	GSE8785GSM216896 sample	P-G8785-4	GSE8785GSM216896 extract	total_RNA	P-G8785-3	GSE8785GSM216896 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ga1-3_shoots_1h_water_repl4	A-AFFY-2	P-AFFY-6	ga1-3_shoots_1h_water_repl4	GSM216896.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	water	1	hours	ga1-3
GSE8785GSM216904	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	ga1-3	shoots, 1h GA4:  The aim is to identify early gibberellin responsive genes in a gibberellin deficient strain such as ga1-3. A 1h time point was selected based on quantitative PCR analysis of known gibbrellin responsive genes, which showed a response only after 60 min of treatment. A concentration of 2 micromolar GA4 was used, and water as a mock treatment.. Strain: ga1-3 in Ler, Age: 8 days, Tissue: shoots	P-G8785-5	P-G8785-1	GSE8785GSM216904 sample	P-G8785-4	GSE8785GSM216904 extract	total_RNA	P-G8785-3	GSE8785GSM216904 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ga1-3_shoots_1h_GA4_repl3	A-AFFY-2	P-AFFY-6	ga1-3_shoots_1h_GA4_repl3	GSM216904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4	1	hours	ga1-3
GSE8785GSM216960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	DEX-inducible construct with rga-delta17 	shoots, 4h GA4+DEX:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8785-11	P-G8785-6	GSE8785GSM216960 sample	P-G8785-4	GSE8785GSM216960 extract	total_RNA	P-G8785-8	GSE8785GSM216960 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl1	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl1	GSM216960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4 and dexamethasone	4	hours	DEX-inducible construct with rga-delta17 
GSE8785GSM216966	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	empty DEX-inducible construct	shoots, 4h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct with an empty cassette, used as control. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8785-9	P-G8785-6	GSE8785GSM216966 sample	P-G8785-4	GSE8785GSM216966 extract	total_RNA	P-G8785-8	GSE8785GSM216966 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Vector_shoots_4h_GA4_repl1	A-AFFY-2	P-AFFY-6	Vector_shoots_4h_GA4_repl1	GSM216966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4	4	hours	empty DEX-inducible construct
GSE8785GSM216934	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	DEX-inducible construct with rga-delta17 	shoots, 2h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8785-7	P-G8785-6	GSE8785GSM216934 sample	P-G8785-4	GSE8785GSM216934 extract	total_RNA	P-G8785-8	GSE8785GSM216934 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_2h_GA4_repl1	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_2h_GA4_repl1	GSM216934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4	2	hours	DEX-inducible construct with rga-delta17 
GSE8785GSM216895	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	ga1-3	shoots, 1h water:  The aim is to identify early gibberellin responsive genes in a gibberellin deficient strain such as ga1-3. A 1h time point was selected based on quantitative PCR analysis of known gibbrellin responsive genes, which showed a response only after 60 min of treatment. A concentration of 2 micromolar GA4 was used, and water as a mock treatment.. Strain: ga1-3 in Ler, Age: 8 days, Tissue: shoots	P-G8785-2	P-G8785-1	GSE8785GSM216895 sample	P-G8785-4	GSE8785GSM216895 extract	total_RNA	P-G8785-3	GSE8785GSM216895 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ga1-3_shoots_1h_water_repl3	A-AFFY-2	P-AFFY-6	ga1-3_shoots_1h_water_repl3	GSM216895.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	water	1	hours	ga1-3
GSE8785GSM216945	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	DEX-inducible construct with rga-delta17 	shoots, 4h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8785-9	P-G8785-6	GSE8785GSM216945 sample	P-G8785-4	GSE8785GSM216945 extract	total_RNA	P-G8785-8	GSE8785GSM216945 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_4h_GA4_repl1	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_4h_GA4_repl1	GSM216945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4	4	hours	DEX-inducible construct with rga-delta17 
GSE8785GSM216949	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	DEX-inducible construct with rga-delta17 	shoots, 4h GA4:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8785-9	P-G8785-6	GSE8785GSM216949 sample	P-G8785-4	GSE8785GSM216949 extract	total_RNA	P-G8785-8	GSE8785GSM216949 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_4h_GA4_repl3	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_4h_GA4_repl3	GSM216949.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4	4	hours	DEX-inducible construct with rga-delta17 
GSE8785GSM216964	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	Landsberg erecta	8	days	DEX-inducible construct with rga-delta17 	shoots, 4h GA4+DEX:  The aim of this study is to identify early DELLA protein-responsive genes that are also regulated by gibberellins using a DEX-inducible system. Two transgenic lines were used: one induces the expression of a dominant, gibberellin non-responsive DELLA protein (rga-delta17); the other is a control line that carries the same vector, but lacks the rga-delta17 transgene. A time course study on the accumulation the inducible DELLA protein as well as quantitative PCR for transcripts of early gibberellin responsive genes indicated that 2h and 4h were optimal to look at DELLA-regulated genes that are also responsive to gibberellins. Strain: Transgenic line carrying a dexamethasone (DEX)-inducible construct that induces the expression of a dominant form of a DELLA protein (rga-delta17) when treated with DEX. Ecotype: Ler, Age: 8 days, Tissue: shoots	P-G8785-11	P-G8785-6	GSE8785GSM216964 sample	P-G8785-4	GSE8785GSM216964 extract	total_RNA	P-G8785-8	GSE8785GSM216964 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl3	A-AFFY-2	P-AFFY-6	Dex-rga(delta17)_shoots_4h_GA4+DEX_repl3	GSM216964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8785-processed-data-1631621689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8785/E-GEOD-8785.processed.1.zip	GA4 and dexamethasone	4	hours	DEX-inducible construct with rga-delta17 
