Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE9148GSM231202	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	chl1-5	Columbia	"Arabidopsis chl1-5 root, 25 mM nitrate induction for 30min:  Gene expression data from chl1-5 plant exposed to 25 mM nitrate for 30min, biological replicate 1.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231202 sample	P-G9148-4	GSE9148GSM231202 extract	total_RNA	P-G9148-3	GSE9148GSM231202 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"chl1 at T0.5, biological rep1"	A-AFFY-2	P-AFFY-6	"chl1 at T0.5, biological rep1"	GSM231202.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	nitrate 25mM	chl1-5
GSE9148GSM231204	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	chl1-5	Columbia	"Arabidopsis chl1-5 root, 25 mM nitrate induction for 30min:  Gene expression data from chl1-5 plant exposed to 25 mM nitrate for 30min, biological replicate 3.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231204 sample	P-G9148-4	GSE9148GSM231204 extract	total_RNA	P-G9148-3	GSE9148GSM231204 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"chl1 at T0.5, biological rep3"	A-AFFY-2	P-AFFY-6	"chl1 at T0.5, biological rep3"	GSM231204.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	nitrate 25mM	chl1-5
GSE9148GSM231203	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	chl1-5	Columbia	"Arabidopsis chl1-5 root, 25 mM nitrate induction for 30min:  Gene expression data from chl1-5 plant exposed to 25 mM nitrate for 30min, biological replicate 2.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231203 sample	P-G9148-4	GSE9148GSM231203 extract	total_RNA	P-G9148-3	GSE9148GSM231203 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"chl1 at T0.5, biological rep2"	A-AFFY-2	P-AFFY-6	"chl1 at T0.5, biological rep2"	GSM231203.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	nitrate 25mM	chl1-5
GSE9148GSM231200	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	chl1-5	Columbia	"Arabidopsis chl1-5 root, no nitrate induction:  Gene expression data from chl1-5 plant before 25 mM nitrate induction, biological replicate 2.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231200 sample	P-G9148-4	GSE9148GSM231200 extract	total_RNA	P-G9148-3	GSE9148GSM231200 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"chl1 at T0, biological rep2"	A-AFFY-2	P-AFFY-6	"chl1 at T0, biological rep2"	GSM231200.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	none	chl1-5
GSE9148GSM231201	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	chl1-5	Columbia	"Arabidopsis chl1-5 root, no nitrate induction:  Gene expression data from chl1-5 plant before 25 mM nitrate induction, biological replicate 3.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231201 sample	P-G9148-4	GSE9148GSM231201 extract	total_RNA	P-G9148-3	GSE9148GSM231201 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"chl1 at T0, biological rep3"	A-AFFY-2	P-AFFY-6	"chl1 at T0, biological rep3"	GSM231201.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	none	chl1-5
GSE9148GSM231199	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	chl1-5	Columbia	"Arabidopsis chl1-5 root, no nitrate induction:  Gene expression data from chl1-5 plant before 25 mM nitrate induction, biological replicate 1.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231199 sample	P-G9148-4	GSE9148GSM231199 extract	total_RNA	P-G9148-3	GSE9148GSM231199 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"chl1 at T0, biological rep1"	A-AFFY-2	P-AFFY-6	"chl1 at T0, biological rep1"	GSM231199.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	none	chl1-5
GSE9148GSM231196	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	wild type	Columbia	"Arabidopsis wild-type root, 25 mM nitrate induction for 30min:  Gene expression data from wild-type plant exposed to 25 mM nitrate for 30min, biological replicate 1.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231196 sample	P-G9148-4	GSE9148GSM231196 extract	total_RNA	P-G9148-3	GSE9148GSM231196 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"wild-type at T0.5, biological rep1"	A-AFFY-2	P-AFFY-6	"wild-type at T0.5, biological rep1"	GSM231196.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	nitrate 25mM	wild type
GSE9148GSM231197	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	wild type	Columbia	"Arabidopsis wild-type root, 25 mM nitrate induction for 30min:  Gene expression data from wild-type plant exposed to 25 mM nitrate for 30min, biological replicate 2.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231197 sample	P-G9148-4	GSE9148GSM231197 extract	total_RNA	P-G9148-3	GSE9148GSM231197 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"wild-type at T0.5, biological rep2"	A-AFFY-2	P-AFFY-6	"wild-type at T0.5, biological rep2"	GSM231197.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	nitrate 25mM	wild type
GSE9148GSM231198	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	wild type	Columbia	"Arabidopsis wild-type root, 25 mM nitrate induction for 30min:  Gene expression data from wild-type plant exposed to 25 mM nitrate for 30min, biological replicate 3.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231198 sample	P-G9148-4	GSE9148GSM231198 extract	total_RNA	P-G9148-3	GSE9148GSM231198 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"wild-type at T0.5, biological rep3"	A-AFFY-2	P-AFFY-6	"wild-type at T0.5, biological rep3"	GSM231198.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	nitrate 25mM	wild type
GSE9148GSM231193	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	seedling	10	day	wild type	Columbia	"Arabidopsis wild-type root, no nitrate induction:  Gene expression data from wild-type plant before 25 mM nitrate induction, biological replicate 1.. Columbia ecotype, root tissue of 10-day-old seedlings"	P-G9148-1	P-G9148-2	GSE9148GSM231193 sample	P-G9148-4	GSE9148GSM231193 extract	total_RNA	P-G9148-3	GSE9148GSM231193 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"wild-type at T0, biological rep1"	A-AFFY-2	P-AFFY-6	"wild-type at T0, biological rep1"	GSM231193.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.raw.1.zip	E-GEOD-9148-processed-data-1632383994.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9148/E-GEOD-9148.processed.1.zip	none	wild type
