Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]	FactorValue[COMPOUND]
GSE9605GSM242962	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 7 days after mock-treatment:  mock treatment was ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242962 sample	P-G9605-4	GSE9605GSM242962 extract	total_RNA	P-G9605-3	GSE9605GSM242962 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Mock day 7 (day7E2)	A-AFFY-2	P-AFFY-6	Mock day 7 (day7E2)	GSM242962.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	7	days	ethanol only
GSE9605GSM242957	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 3 days after mock-treatment:  mock treatment was ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242957 sample	P-G9605-4	GSE9605GSM242957 extract	total_RNA	P-G9605-3	GSE9605GSM242957 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Mock day 3 (day3E1)	A-AFFY-2	P-AFFY-6	Mock day 3 (day3E1)	GSM242957.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	3	days	ethanol only
GSE9605GSM242960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 3 days after steroid treatment:  steroid treatment was dexamethasone 10 micromolar, ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242960 sample	P-G9605-4	GSE9605GSM242960 extract	total_RNA	P-G9605-3	GSE9605GSM242960 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Steroid day 3 (day3D2)	A-AFFY-2	P-AFFY-6	Steroid day 3 (day3D2)	GSM242960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	3	days	dexamethasone
GSE9605GSM242954	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 1 day after mock-treatment:  mock treatment was ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242954 sample	P-G9605-4	GSE9605GSM242954 extract	total_RNA	P-G9605-3	GSE9605GSM242954 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Mock day 1 (day1E2)	A-AFFY-2	P-AFFY-6	Mock day 1 (day1E2)	GSM242954.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	1	days	ethanol only
GSE9605GSM242959	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 3 days after steroid treatment:  steroid treatment was dexamethasone 10 micromolar, ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242959 sample	P-G9605-4	GSE9605GSM242959 extract	total_RNA	P-G9605-3	GSE9605GSM242959 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Steroid day 3 (day3D1)	A-AFFY-2	P-AFFY-6	Steroid day 3 (day3D1)	GSM242959.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	3	days	dexamethasone
GSE9605GSM242964	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 7 days after steroid treatment:  steroid treatment was dexamethasone 10 micromolar, ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242964 sample	P-G9605-4	GSE9605GSM242964 extract	total_RNA	P-G9605-3	GSE9605GSM242964 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Steroid day 7 (day7D2)	A-AFFY-2	P-AFFY-6	Steroid day 7 (day7D2)	GSM242964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	7	days	dexamethasone
GSE9605GSM242955	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 1 day after steroid treatment:  steroid treatment was dexamethasone 10 micromolar, ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242955 sample	P-G9605-4	GSE9605GSM242955 extract	total_RNA	P-G9605-3	GSE9605GSM242955 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Steroid day 1 (day1D1)	A-AFFY-2	P-AFFY-6	Steroid day 1 (day1D1)	GSM242955.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	1	days	dexamethasone
GSE9605GSM242963	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 7 days after steroid treatment:  steroid treatment was dexamethasone 10 micromolar, ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242963 sample	P-G9605-4	GSE9605GSM242963 extract	total_RNA	P-G9605-3	GSE9605GSM242963 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Steroid day 7 (day7D1)	A-AFFY-2	P-AFFY-6	Steroid day 7 (day7D1)	GSM242963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	7	days	dexamethasone
GSE9605GSM242958	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 3 days after mock-treatment:  mock treatment was ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242958 sample	P-G9605-4	GSE9605GSM242958 extract	total_RNA	P-G9605-3	GSE9605GSM242958 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Mock day 3 (day3E2)	A-AFFY-2	P-AFFY-6	Mock day 3 (day3E2)	GSM242958.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	3	days	ethanol only
GSE9605GSM242961	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence tip	ap1-1 and cal-1, 35S:AGGR background	inflorescence tips, 7 days after mock-treatment:  mock treatment was ethanol 0.1%, Silwet L-77 0.015%. ap1-1 and cal-1, 35S:AGGR background, L-er accession, grown in controlled environment room at 18 C, 16h light/8h dark	P-G9605-1	P-G9605-2	GSE9605GSM242961 sample	P-G9605-4	GSE9605GSM242961 extract	total_RNA	P-G9605-3	GSE9605GSM242961 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Mock day 7 (day7E1)	A-AFFY-2	P-AFFY-6	Mock day 7 (day7E1)	GSM242961.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.raw.1.zip	E-GEOD-9605-processed-data-1632582033.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9605/E-GEOD-9605.processed.1.zip	7	days	ethanol only
