Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[INOCULATION]	FactorValue[GENOTYPE]
GSE9674GSM244453	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	AtMYB30	Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 2-4 h harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 2-4 h harvest. Genotype : Ws-4; Transformation : AtMYB30 overexpressor; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 2-4 h post inoculation	P-9674-2	P-9674-3	GSE9674GSM244453 sample	P-9674-5	GSE9674GSM244453 extract	total_RNA	P-9674-4	GSE9674GSM244453 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis AtMYB30-ox_2-4 h_ Xanthomonas inoculated_biological rep1_exp1	A-AFFY-2	P-AFFY-6	Arabidopsis AtMYB30-ox_2-4 h_ Xanthomonas inoculated_biological rep1_exp1	GSM244453.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	AtMYB30
GSE9674GSM244444	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	wild_type	Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 90-105 min harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 90-105 min harvest. Genotype : Ws-4; Transformation : no; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 90-105 min post inoculation	P-9674-2	P-9674-3	GSE9674GSM244444 sample	P-9674-5	GSE9674GSM244444 extract	total_RNA	P-9674-4	GSE9674GSM244444 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis wild-type_90-105 min_ Xanthomonas inoculated_biological rep1_exp1	A-AFFY-2	P-AFFY-6	Arabidopsis wild-type_90-105 min_ Xanthomonas inoculated_biological rep1_exp1	GSM244444.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	wild_type
GSE9674GSM244450	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	AtMYB30	Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, not inoculated:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, not inoculated. Genotype : Ws-4; Transformation : AtMYB30 overexpressor; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : T0	P-9674-2	P-9674-3	GSE9674GSM244450 sample	P-9674-5	GSE9674GSM244450 extract	total_RNA	P-9674-4	GSE9674GSM244450 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis AtMYB30-ox_T0 (not inoculated)_biological rep2_exp2	A-AFFY-2	P-AFFY-6	Arabidopsis AtMYB30-ox_T0 (not inoculated)_biological rep2_exp2	GSM244450.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	none	AtMYB30
GSE9674GSM244454	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	AtMYB30	Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 2-4 h harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 2-4 h harvest. Genotype : Ws-4; Transformation : AtMYB30 overexpressor; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 2-4 h post inoculation	P-9674-2	P-9674-3	GSE9674GSM244454 sample	P-9674-5	GSE9674GSM244454 extract	total_RNA	P-9674-4	GSE9674GSM244454 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis AtMYB30-ox_2-4 h_ Xanthomonas inoculated_biological rep2_exp2	A-AFFY-2	P-AFFY-6	Arabidopsis AtMYB30-ox_2-4 h_ Xanthomonas inoculated_biological rep2_exp2	GSM244454.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	AtMYB30
GSE9674GSM244455	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	AtMYB30	Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, 6 h harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, 6 h harvest. Genotype : Ws-4; Transformation : AtMYB30 overexpressor; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 6 h post inoculation	P-9674-2	P-9674-3	GSE9674GSM244455 sample	P-9674-5	GSE9674GSM244455 extract	total_RNA	P-9674-4	GSE9674GSM244455 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis AtMYB30-ox_6 h_ Xanthomonas inoculated_biological rep1_exp1	A-AFFY-2	P-AFFY-6	Arabidopsis AtMYB30-ox_6 h_ Xanthomonas inoculated_biological rep1_exp1	GSM244455.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	AtMYB30
GSE9674GSM244448	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	wild_type	Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, inoculated with Xcc147 strain, at 108 cfu/ml, 6 h harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, inoculated with Xcc147 strain, at 108 cfu/ml, 6 h harvest. Genotype : Ws-4; Transformation : no; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 6 h post inoculation	P-9674-2	P-9674-3	GSE9674GSM244448 sample	P-9674-5	GSE9674GSM244448 extract	total_RNA	P-9674-4	GSE9674GSM244448 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis wild-type_6 h_ Xanthomonas inoculated_biological rep1_exp1	A-AFFY-2	P-AFFY-6	Arabidopsis wild-type_6 h_ Xanthomonas inoculated_biological rep1_exp1	GSM244448.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	wild_type
GSE9674GSM244452	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	AtMYB30	Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 90-105 min harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 90-105 min harvest. Genotype : Ws-4; Transformation : AtMYB30 overexpressor; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 90-105 min post inoculation	P-9674-2	P-9674-3	GSE9674GSM244452 sample	P-9674-5	GSE9674GSM244452 extract	total_RNA	P-9674-4	GSE9674GSM244452 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis AtMYB30-ox_90-105 min_ Xanthomonas inoculated_biological rep2_exp2	A-AFFY-2	P-AFFY-6	Arabidopsis AtMYB30-ox_90-105 min_ Xanthomonas inoculated_biological rep2_exp2	GSM244452.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	AtMYB30
GSE9674GSM244443	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	wild_type	Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, not inoculated:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, not inoculated. Genotype : Ws-4; Transformation : no; Age : leaves of 4 week-old plants; Bacterial inoculation : no; Harvest : T0	P-9674-2	P-9674-3	GSE9674GSM244443 sample	P-9674-5	GSE9674GSM244443 extract	total_RNA	P-9674-4	GSE9674GSM244443 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis wild-type_T0 (not inoculated)_biological rep2_exp2	A-AFFY-2	P-AFFY-6	Arabidopsis wild-type_T0 (not inoculated)_biological rep2_exp2	GSM244443.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	none	wild_type
GSE9674GSM244451	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	AtMYB30	Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 90-105 min harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, AtMYB30 overexpressor, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 90-105 min harvest. Genotype : Ws-4; Transformation : AtMYB30 overexpressor; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 90-105 min post inoculation	P-9674-2	P-9674-3	GSE9674GSM244451 sample	P-9674-5	GSE9674GSM244451 extract	total_RNA	P-9674-4	GSE9674GSM244451 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis AtMYB30-ox_90-105 min_ Xanthomonas inoculated_biological rep1_exp1	A-AFFY-2	P-AFFY-6	Arabidopsis AtMYB30-ox_90-105 min_ Xanthomonas inoculated_biological rep1_exp1	GSM244451.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	AtMYB30
GSE9674GSM244446	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	weeks	leaf	wild_type	Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 2-4 h harvest:  Gene expression data from Arabidopsis leaves 4 week-old plants from Ws-4, wild-type, inoculated with Xcc147 strain, at 108 cfu/ml, pool of 2-4 h harvest. Genotype : Ws-4; Transformation : no; Age : leaves of 4 week-old plants; Bacterial inoculation : Xcc147 at 108 cfu/ml; Harvest : 2-4 h post inoculation	P-9674-2	P-9674-3	GSE9674GSM244446 sample	P-9674-5	GSE9674GSM244446 extract	total_RNA	P-9674-4	GSE9674GSM244446 LE	biotin	synthetic_RNA	P-9674-1	Arabidopsis wild-type_2-4 h_ Xanthomonas inoculated_biological rep1_exp1	A-AFFY-2	P-AFFY-6	Arabidopsis wild-type_2-4 h_ Xanthomonas inoculated_biological rep1_exp1	GSM244446.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.raw.1.zip	E-GEOD-9674-processed-data-1604907045.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9674/E-GEOD-9674.processed.1.zip	Xanthomonas campestris pv campestris 147	wild_type
