Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE9816GSM247636	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav1-1 treated with 1hr of low R:FR light:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav1-1; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav1-1	P-G9816-5	P-G9816-1	GSE9816GSM247636 sample	P-G9816-4	GSE9816GSM247636 extract	total_RNA	P-G9816-3	GSE9816GSM247636 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav1-1-SH-rep2	A-AFFY-2	P-AFFY-6	sav1-1-SH-rep2	GSM247636.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	simulated shade for 1 hour	sav1-1
GSE9816GSM247630	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav1-1 treated with 1hr of low R:FR light:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav1-1; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav1-1	P-G9816-5	P-G9816-1	GSE9816GSM247630 sample	P-G9816-4	GSE9816GSM247630 extract	total_RNA	P-G9816-3	GSE9816GSM247630 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav1-1-SH-rep1	A-AFFY-2	P-AFFY-6	sav1-1-SH-rep1	GSM247630.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	simulated shade for 1 hour	sav1-1
GSE9816GSM247642	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav1-1 treated with 1hr of low R:FR light:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav1-1; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav1-1	P-G9816-5	P-G9816-1	GSE9816GSM247642 sample	P-G9816-4	GSE9816GSM247642 extract	total_RNA	P-G9816-3	GSE9816GSM247642 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav1-1-SH-rep3	A-AFFY-2	P-AFFY-6	sav1-1-SH-rep3	GSM247642.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	simulated shade for 1 hour	sav1-1
GSE9816GSM247633	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav1-1 grown under simulated Wc:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav1-1; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav1-1	P-G9816-2	P-G9816-1	GSE9816GSM247633 sample	P-G9816-4	GSE9816GSM247633 extract	total_RNA	P-G9816-3	GSE9816GSM247633 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav1-1-Wc-rep2	A-AFFY-2	P-AFFY-6	sav1-1-Wc-rep2	GSM247633.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	continuous white light	sav1-1
GSE9816GSM247625	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav1-1 grown under simulated Wc:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav1-1; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav1-1	P-G9816-2	P-G9816-1	GSE9816GSM247625 sample	P-G9816-4	GSE9816GSM247625 extract	total_RNA	P-G9816-3	GSE9816GSM247625 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav1-1-Wc-rep1	A-AFFY-2	P-AFFY-6	sav1-1-Wc-rep1	GSM247625.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	continuous white light	sav1-1
GSE9816GSM247639	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav1-1 grown under simulated Wc:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav1-1; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav1-1	P-G9816-2	P-G9816-1	GSE9816GSM247639 sample	P-G9816-4	GSE9816GSM247639 extract	total_RNA	P-G9816-3	GSE9816GSM247639 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav1-1-Wc-rep3	A-AFFY-2	P-AFFY-6	sav1-1-Wc-rep3	GSM247639.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	continuous white light	sav1-1
GSE9816GSM247629	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav3-2 treated with 1hr of low R:FR light:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav3-2; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav3-2	P-G9816-5	P-G9816-1	GSE9816GSM247629 sample	P-G9816-4	GSE9816GSM247629 extract	total_RNA	P-G9816-3	GSE9816GSM247629 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav3-2-SH-rep1	A-AFFY-2	P-AFFY-6	sav3-2-SH-rep1	GSM247629.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	simulated shade for 1 hour	sav3-2
GSE9816GSM247641	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav3-2 treated with 1hr of low R:FR light:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav3-2; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav3-2	P-G9816-5	P-G9816-1	GSE9816GSM247641 sample	P-G9816-4	GSE9816GSM247641 extract	total_RNA	P-G9816-3	GSE9816GSM247641 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav3-2-SH-rep3	A-AFFY-2	P-AFFY-6	sav3-2-SH-rep3	GSM247641.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	simulated shade for 1 hour	sav3-2
GSE9816GSM247635	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav3-2 treated with 1hr of low R:FR light:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav3-2; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav3-2	P-G9816-5	P-G9816-1	GSE9816GSM247635 sample	P-G9816-4	GSE9816GSM247635 extract	total_RNA	P-G9816-3	GSE9816GSM247635 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav3-2-SH-rep2	A-AFFY-2	P-AFFY-6	sav3-2-SH-rep2	GSM247635.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	simulated shade for 1 hour	sav3-2
GSE9816GSM247632	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day old, sav3-2 grown under simulated Wc:  The purpose of this experiment is to study the underlying molecular mechanism that leads to the different responses of Col-0, sav3 and sav1-1 to shade.. Ecotype: Col-0; Genotype: sav3-2; Age: 7 days; Tissue: whole seedling	7	day	whole organism	Col-0	sav3-2	P-G9816-2	P-G9816-1	GSE9816GSM247632 sample	P-G9816-4	GSE9816GSM247632 extract	total_RNA	P-G9816-3	GSE9816GSM247632 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	sav3-2-Wc-rep2	A-AFFY-2	P-AFFY-6	sav3-2-Wc-rep2	GSM247632.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9816-processed-data-1632712938.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9816/E-GEOD-9816.processed.1.zip	continuous white light	sav3-2
