Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]
GSE9957GSM250990	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr6 mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr6 mutant	P-G9957-1	P-G9957-2	GSE9957GSM250990 sample	P-G9957-4	GSE9957GSM250990 extract	total_RNA	P-G9957-3	GSE9957GSM250990 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr6 mutant without treatment, biological rep3	A-AFFY-2	P-AFFY-6	pmr6 mutant without treatment, biological rep3	GSM250990.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr6 mutant
GSE9957GSM250982	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: Col-0; Age: 3 weeks old plants	rosette leaf	3	week	wild type	P-G9957-1	P-G9957-2	GSE9957GSM250982 sample	P-G9957-4	GSE9957GSM250982 extract	total_RNA	P-G9957-3	GSE9957GSM250982 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	Col-0 without treatment, biological rep1	A-AFFY-2	P-AFFY-6	Col-0 without treatment, biological rep1	GSM250982.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	wild type
GSE9957GSM250992	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr5 pmr6 double mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr5 pmr6 double mutant	P-G9957-1	P-G9957-2	GSE9957GSM250992 sample	P-G9957-4	GSE9957GSM250992 extract	total_RNA	P-G9957-3	GSE9957GSM250992 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr5 pmr6 double mutant without treatment, biological rep2	A-AFFY-2	P-AFFY-6	pmr5 pmr6 double mutant without treatment, biological rep2	GSM250992.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr5 pmr6 double mutant
GSE9957GSM250991	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr5 pmr6 double mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr5 pmr6 double mutant	P-G9957-1	P-G9957-2	GSE9957GSM250991 sample	P-G9957-4	GSE9957GSM250991 extract	total_RNA	P-G9957-3	GSE9957GSM250991 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr5 pmr6 double mutant without treatment, biological rep1	A-AFFY-2	P-AFFY-6	pmr5 pmr6 double mutant without treatment, biological rep1	GSM250991.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr5 pmr6 double mutant
GSE9957GSM250985	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr5 mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr5 mutant	P-G9957-1	P-G9957-2	GSE9957GSM250985 sample	P-G9957-4	GSE9957GSM250985 extract	total_RNA	P-G9957-3	GSE9957GSM250985 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr5 mutant without treatment, biological rep1	A-AFFY-2	P-AFFY-6	pmr5 mutant without treatment, biological rep1	GSM250985.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr5 mutant
GSE9957GSM250984	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: Col-0; Age: 3 weeks old plants	rosette leaf	3	week	wild type	P-G9957-1	P-G9957-2	GSE9957GSM250984 sample	P-G9957-4	GSE9957GSM250984 extract	total_RNA	P-G9957-3	GSE9957GSM250984 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	Col-0 without treatment, biological rep3	A-AFFY-2	P-AFFY-6	Col-0 without treatment, biological rep3	GSM250984.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	wild type
GSE9957GSM250989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr6 mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr6 mutant	P-G9957-1	P-G9957-2	GSE9957GSM250989 sample	P-G9957-4	GSE9957GSM250989 extract	total_RNA	P-G9957-3	GSE9957GSM250989 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr6 mutant without treatment, biological rep2	A-AFFY-2	P-AFFY-6	pmr6 mutant without treatment, biological rep2	GSM250989.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr6 mutant
GSE9957GSM250988	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr6 mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr6 mutant	P-G9957-1	P-G9957-2	GSE9957GSM250988 sample	P-G9957-4	GSE9957GSM250988 extract	total_RNA	P-G9957-3	GSE9957GSM250988 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr6 mutant without treatment, biological rep1	A-AFFY-2	P-AFFY-6	pmr6 mutant without treatment, biological rep1	GSM250988.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr6 mutant
GSE9957GSM250986	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr5 mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr5 mutant	P-G9957-1	P-G9957-2	GSE9957GSM250986 sample	P-G9957-4	GSE9957GSM250986 extract	total_RNA	P-G9957-3	GSE9957GSM250986 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr5 mutant without treatment, biological rep2	A-AFFY-2	P-AFFY-6	pmr5 mutant without treatment, biological rep2	GSM250986.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr5 mutant
GSE9957GSM250987	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 3 weeks old rosette.. Genotype: pmr5 mutant; Age: 3 weeks old plants	rosette leaf	3	week	pmr5 mutant	P-G9957-1	P-G9957-2	GSE9957GSM250987 sample	P-G9957-4	GSE9957GSM250987 extract	total_RNA	P-G9957-3	GSE9957GSM250987 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	pmr5 mutant without treatment, biological rep3	A-AFFY-2	P-AFFY-6	pmr5 mutant without treatment, biological rep3	GSM250987.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9957-processed-data-1680986823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9957/E-GEOD-9957.processed.1.zip	pmr5 mutant
