Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	 FactorValue[time]	Unit[time unit]	FactorValue[age]	Unit[time unit]
GSE9996GSM252691	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Section of Root from 270 mm to 340 mm harvested immediately:  Roots grown horizontally on square plates. Genotype: Col-0; Root Early Differention Region	Section of Root from 270 mm to 340 mm harvested immediately	Genotype: Col-0; Root Early Differention Region	root early differentiation region	unknown	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252691 sample	P-G9996-4	GSE9996GSM252691 extract	total_RNA	P-G9996-3	GSE9996GSM252691 LE biotin	biotin	synthetic_RNA	Section of Root from 270 mm to 340 mm harvested immediately rep2	A-AFFY-2	P-AFFY-6	GSM252691.CEL	GSM252691.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root early differentiation region	0	hour	unknown	day
GSE9996GSM252692	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Section of Root from 270 mm to 340 mm harvested immediately:  Roots grown horizontally on square plates. Genotype: Col-0; Root Early Differention Region	Section of Root from 270 mm to 340 mm harvested immediately	Genotype: Col-0; Root Early Differention Region	root early differentiation region	unknown	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252692 sample	P-G9996-4	GSE9996GSM252692 extract	total_RNA	P-G9996-3	GSE9996GSM252692 LE biotin	biotin	synthetic_RNA	Section of Root from 270 mm to 340 mm harvested immediately rep3	A-AFFY-2	P-AFFY-6	GSM252692.CEL	GSM252692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root early differentiation region	0	hour	unknown	day
GSE9996GSM252690	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Section of Root from 270 mm to 340 mm harvested immediately:  Roots grown horizontally on square plates. Genotype: Col-0; Root Early Differention Region	Section of Root from 270 mm to 340 mm harvested immediately	Genotype: Col-0; Root Early Differention Region	root early differentiation region	unknown	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252690 sample	P-G9996-4	GSE9996GSM252690 extract	total_RNA	P-G9996-3	GSE9996GSM252690 LE biotin	biotin	synthetic_RNA	Section of Root from 270 mm to 340 mm harvested immediately rep1	A-AFFY-2	P-AFFY-6	GSM252690.CEL	GSM252690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root early differentiation region	0	hour	unknown	day
GSE9996GSM252668	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested Immediately After First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested Immediately After First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252668 sample	P-G9996-4	GSE9996GSM252668 extract	total_RNA	P-G9996-3	GSE9996GSM252668 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 0 hrs Taking 70 mm of Stump (4dpg) rep2	A-AFFY-2	P-AFFY-6	GSM252668.CEL	GSM252668.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	0	hour	4	day
GSE9996GSM252669	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested Immediately After First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested Immediately After First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252669 sample	P-G9996-4	GSE9996GSM252669 extract	total_RNA	P-G9996-3	GSE9996GSM252669 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 0 hrs Taking 70 mm of Stump (4dpg) rep3	A-AFFY-2	P-AFFY-6	GSM252669.CEL	GSM252669.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	0	hour	4	day
GSE9996GSM252667	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested Immediately After First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested Immediately After First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252667 sample	P-G9996-4	GSE9996GSM252667 extract	total_RNA	P-G9996-3	GSE9996GSM252667 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 0 hrs Taking 70 mm of Stump (4dpg) rep1	A-AFFY-2	P-AFFY-6	GSM252667.CEL	GSM252667.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	0	hour	4	day
GSE9996GSM252670	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested Immediately After First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested Immediately After First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252670 sample	P-G9996-4	GSE9996GSM252670 extract	total_RNA	P-G9996-3	GSE9996GSM252670 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 0 hrs Taking 70 mm of Stump (4dpg) rep4	A-AFFY-2	P-AFFY-6	GSM252670.CEL	GSM252670.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	0	hour	4	day
GSE9996GSM252674	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252674 sample	P-G9996-4	GSE9996GSM252674 extract	total_RNA	P-G9996-3	GSE9996GSM252674 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 5 hrs Taking 70 mm of Stump (4dpg) rep4	A-AFFY-2	P-AFFY-6	GSM252674.CEL	GSM252674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	5	hour	4	day
GSE9996GSM252673	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252673 sample	P-G9996-4	GSE9996GSM252673 extract	total_RNA	P-G9996-3	GSE9996GSM252673 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 5 hrs Taking 70 mm of Stump (4dpg) rep3	A-AFFY-2	P-AFFY-6	GSM252673.CEL	GSM252673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	5	hour	4	day
GSE9996GSM252672	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252672 sample	P-G9996-4	GSE9996GSM252672 extract	total_RNA	P-G9996-3	GSE9996GSM252672 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 5 hrs Taking 70 mm of Stump (4dpg) rep2	A-AFFY-2	P-AFFY-6	GSM252672.CEL	GSM252672.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	5	hour	4	day
