Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Individual]	Characteristics [BioSourceType]	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [GeneticModification]	Protocol REF	Parameter Value [stop time]	Parameter Value [start time]	Parameter Value [min temperature]	Parameter Value [media]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
OE7a-1_12hr1	4	weeks	treatment	EFO	EFO_0000727	OE7a-1	OE7a121	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	AfFAAH overexpression	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	OE7a-1_12hr1	P-MEXP-52607	none	total RNA	OE7a-1_12hr1	total_RNA	P-AFFY-2	OE7a-1_12hr1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_87s122	A-AFFY-2	P-AFFY-6	12	h	OE7a-1	OE7a-1_12hr1	LiKangFAAH_87s122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
Col-0_12hr2	4	weeks	treatment	EFO	EFO_0000727	Col-0	c122	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	  	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	Col-0_12hr2	P-MEXP-52607	none	total RNA	Col-0_12hr2	total_RNA	P-AFFY-2	Col-0_12hr2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_6Cs122	A-AFFY-2	P-AFFY-6	12	h	Col-0	Col-0_12hr2	LiKangFAAH_6Cs122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
OE7a-1_6hr1	4	weeks	treatment	EFO	EFO_0000727	OE7a-1	OE7a61	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	AfFAAH overexpression	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	OE7a-1_6hr1	P-MEXP-52607	none	total RNA	OE7a-1_6hr1	total_RNA	P-AFFY-2	OE7a-1_6hr1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_37s61	A-AFFY-2	P-AFFY-6	6	h	OE7a-1	OE7a-1_6hr1	LiKangFAAH_37s61.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
Col-0_6hr2	4	weeks	treatment	EFO	EFO_0000727	Col-0	c62	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	  	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	Col-0_6hr2	P-MEXP-52607	none	total RNA	Col-0_6hr2	total_RNA	P-AFFY-2	Col-0_6hr2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_2Cs62	A-AFFY-2	P-AFFY-6	6	h	Col-0	Col-0_6hr2	LiKangFAAH_2Cs62.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
OE7-1_0hr1	4	weeks	treatment	EFO	EFO_0000727	OE7a-1	OE7a01	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	AfFAAH overexpression	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	OE7-1_0hr1	P-MEXP-52607	none	total RNA	OE7-1_0hr1	total_RNA	P-AFFY-2	OE7-1_0hr1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_37b01	A-AFFY-2	P-AFFY-6	0	h	OE7a-1	OE7-1_0hr1	LiKangFAAH_37b01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
Col-0_12hr1	4	weeks	treatment	EFO	EFO_0000727	Col-0	c121	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	  	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	Col-0_12hr1	P-MEXP-52607	none	total RNA	Col-0_12hr1	total_RNA	P-AFFY-2	Col-0_12hr1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_5Cs121	A-AFFY-2	P-AFFY-6	12	h	Col-0	Col-0_12hr1	LiKangFAAH_5Cs121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
Col-0_0hr2	4	weeks	treatment	EFO	EFO_0000727	Col-0	c02	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	  	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	Col-0_0hr2	P-MEXP-52607	none	total RNA	Col-0_0hr2	total_RNA	P-AFFY-2	Col-0_0hr2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_2Cb02	A-AFFY-2	P-AFFY-6	0	h	Col-0	Col-0_0hr2	LiKangFAAH_2Cb02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
OE7a-1_0hr2	4	weeks	treatment	EFO	EFO_0000727	OE7a-1	OE7a02	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	AfFAAH overexpression	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	OE7a-1_0hr2	P-MEXP-52607	none	total RNA	OE7a-1_0hr2	total_RNA	P-AFFY-2	OE7a-1_0hr2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_47b02	A-AFFY-2	P-AFFY-6	0	h	OE7a-1	OE7a-1_0hr2	LiKangFAAH_47b02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
OE7a-1_12hr2	4	weeks	treatment	EFO	EFO_0000727	OE7a-1	OE7a122	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	AfFAAH overexpression	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	OE7a-1_12hr2	P-MEXP-52607	none	total RNA	OE7a-1_12hr2	total_RNA	P-AFFY-2	OE7a-1_12hr2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_77s121	A-AFFY-2	P-AFFY-6	12	h	OE7a-1	OE7a-1_12hr2	LiKangFAAH_77s121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
Col-0_6hr1	4	weeks	treatment	EFO	EFO_0000727	Col-0	c61	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	  	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	Col-0_6hr1	P-MEXP-52607	none	total RNA	Col-0_6hr1	total_RNA	P-AFFY-2	Col-0_6hr1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_1Cs61	A-AFFY-2	P-AFFY-6	6	h	Col-0	Col-0_6hr1	LiKangFAAH_1Cs61.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
OE7a-1_6hr2	4	weeks	treatment	EFO	EFO_0000727	OE7a-1	OE7a62	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	AfFAAH overexpression	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	OE7a-1_6hr2	P-MEXP-52607	none	total RNA	OE7a-1_6hr2	total_RNA	P-AFFY-2	OE7a-1_6hr2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_47s62	A-AFFY-2	P-AFFY-6	6	h	OE7a-1	OE7a-1_6hr2	LiKangFAAH_47s62.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
Col-0_0hr1	4	weeks	treatment	EFO	EFO_0000727	Col-0	c01	fresh_sample	leaves	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	  	P-MEXP-53223	5	4	20	Soil	P-MEXP-53225	Col-0_0hr1	P-MEXP-52607	none	total RNA	Col-0_0hr1	total_RNA	P-AFFY-2	Col-0_0hr1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450[]	LiKangFAAH_1Cb01	A-AFFY-2	P-AFFY-6	0	h	Col-0	Col-0_0hr1	LiKangFAAH_1Cb01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1094-processed-data-1593131962.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1094/E-MEXP-1094.processed.1.zip
