Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [TimeUnit]	Characteristics [initial time point]	Characteristics [genetic modification]	Term Source REF	Term Accession Number	Characteristics [biosource type]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [genotype]
ahk23-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk2/ahk3 double mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk23-2	P-MEXP-91417	total RNA	none	E_ahk23-2	total_RNA	P-AFFY-2	L_ahk23-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_ahk23-2	A-AFFY-2	P-AFFY-6	H_ahk23-2	ahk23-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk2/ahk3 double mutant
ahk23-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk2/ahk3 double mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk23-3	P-MEXP-91417	total RNA	none	E_ahk23-3	total_RNA	P-AFFY-2	L_ahk23-3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_ahk23-3	A-AFFY-2	P-AFFY-6	H_ahk23-3	ahk23-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk2/ahk3 double mutant
ahk23-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk2/ahk3 double mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk23-1	P-MEXP-91417	total RNA	none	E_ahk23-1	total_RNA	P-AFFY-2	L_ahk23-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450[]	H_ahk23-1	A-AFFY-2	P-AFFY-6	H_ahk23-1	ahk23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk2/ahk3 double mutant
ahk234-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk2/ahk3/ahk4 triple mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk234-3	P-MEXP-91417	total RNA	none	E_ahk234-3	total_RNA	P-AFFY-2	L_ahk234-3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_ahk234-3	A-AFFY-2	P-AFFY-6	H_ahk234-3	ahk234-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk2/ahk3/ahk4 triple mutant
ahk234-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk2/ahk3/ahk4 triple mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk234-1	P-MEXP-91417	total RNA	none	E_ahk234-1	total_RNA	P-AFFY-2	L_ahk234-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450[]	H_ahk234-1	A-AFFY-2	P-AFFY-6	H_ahk234-1	ahk234.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk2/ahk3/ahk4 triple mutant
ahk234-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk2/ahk3/ahk4 triple mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk234-2	P-MEXP-91417	total RNA	none	E_ahk234-2	total_RNA	P-AFFY-2	L_ahk234-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_ahk234-2	A-AFFY-2	P-AFFY-6	H_ahk234-2	ahk234-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk2/ahk3/ahk4 triple mutant
ahk34-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk3/ahk4 double mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk34-3	P-MEXP-91417	total RNA	none	E_ahk34-3	total_RNA	P-AFFY-2	L_ahk34-3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_ahk34-3	A-AFFY-2	P-AFFY-6	H_ahk34-3	ahk34-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk3/ahk4 double mutant
ahk34-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk3/ahk4 double mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk34-2	P-MEXP-91417	total RNA	none	E_ahk34-2	total_RNA	P-AFFY-2	L_ahk34-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_ahk34-2	A-AFFY-2	P-AFFY-6	H_ahk34-2	ahk34-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk3/ahk4 double mutant
ahk34-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	gene_knock_out	EFO	EFO_0000506	frozen_sample	Columbia-0	ahk3/ahk4 double mutant	seedling	EFO	EFO_0001992	P-MEXP-91416	ahk34-1	P-MEXP-91417	total RNA	none	E_ahk34-1	total_RNA	P-AFFY-2	L_ahk34-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450[]	H_ahk34-1	A-AFFY-2	P-AFFY-6	H_ahk34-1	ahk34.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	ahk3/ahk4 double mutant
Col-0-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	day	germination	none	  	  	frozen_sample	Columbia-0	wild type	seedling	EFO	EFO_0001992	P-MEXP-91416	Col-0-2	P-MEXP-91417	total RNA	none	E_Col-0-2	total_RNA	P-AFFY-2	L_Col-0-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_Col-0-2	A-AFFY-2	P-AFFY-6	H_Col-0-2	Col-0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1262-processed-data-1502679391.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1262/E-MEXP-1262.processed.1.zip	wild type
