Source Name	Characteristics [initial time point]	Characteristics [genetic modification]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [biosource type]	Characteristics [ecotype]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [genotype]
set1 lbd16.18	germination	gene_knock_out	EFO	EFO_0000506	lbd16/lbd18 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set1 lbd16.18	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set1 lbd16.18	genomic_DNA	P-AFFY-2	L_set1 lbd16.18	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set1 lbd16.18	A-AFFY-2	P-AFFY-6	H_set1 lbd16.18	set1lbd16.18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd16/lbd18 mutant
set1 lbd18	germination	gene_knock_out	EFO	EFO_0000506	lbd18 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set1 lbd18	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set1 lbd18	genomic_DNA	P-AFFY-2	L_set1 lbd18	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set1 lbd18	A-AFFY-2	P-AFFY-6	H_set1 lbd18	set1lbd18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd18 mutant
set2 lbd18	germination	gene_knock_out	EFO	EFO_0000506	lbd18 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set2 lbd18	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set2 lbd18	genomic_DNA	P-AFFY-2	L_set2 lbd18	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set2 lbd18	A-AFFY-2	P-AFFY-6	H_set2 lbd18	set2lbd18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd18 mutant
set3 lbd18	germination	gene_knock_out	EFO	EFO_0000506	lbd18 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set3 lbd18	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set3 lbd18	genomic_DNA	P-AFFY-2	L_set3 lbd18	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set3 lbd18	A-AFFY-2	P-AFFY-6	H_set3 lbd18	set3lbd18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd18 mutant
set2 lbd16.18	germination	gene_knock_out	EFO	EFO_0000506	lbd16/lbd18 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set2 lbd16.18	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set2 lbd16.18	genomic_DNA	P-AFFY-2	L_set2 lbd16.18	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set2 lbd16.18	A-AFFY-2	P-AFFY-6	H_set2 lbd16.18	set2lbd16.18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd16/lbd18 mutant
set2 lbd16	germination	gene_knock_out	EFO	EFO_0000506	lbd16 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set2 lbd16	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set2 lbd16	genomic_DNA	P-AFFY-2	L_set2 lbd16	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set2 lbd16	A-AFFY-2	P-AFFY-6	H_set2 lbd16	set2lbd16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd16 mutant
set3 lbd16.18	germination	gene_knock_out	EFO	EFO_0000506	lbd16/lbd18 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set3 lbd16.18	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set3 lbd16.18	genomic_DNA	P-AFFY-2	L_set3 lbd16.18	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set3 lbd16.18	A-AFFY-2	P-AFFY-6	H_set3 lbd16.18	set3lbd16.18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd16/lbd18 mutant
set3 lbd16	germination	gene_knock_out	EFO	EFO_0000506	lbd16 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set3 lbd16	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set3 lbd16	genomic_DNA	P-AFFY-2	L_set3 lbd16	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set3 lbd16	A-AFFY-2	P-AFFY-6	H_set3 lbd16	set3lbd16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd16 mutant
set3 Col-0	germination	  	  	  	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	Columbia-0	P-MEXP-121966	set3 Col-0	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set3 Col-0	genomic_DNA	P-AFFY-2	L_set3 Col-0	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set3 Col-0	A-AFFY-2	P-AFFY-6	H_set3 Col-0	set3Col-0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	wild type
set1 lbd16	germination	gene_knock_out	EFO	EFO_0000506	lbd16 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	  	P-MEXP-121966	set1 lbd16	P-MEXP-121968	none	genomic DNA	P-MEXP-121967	E_set1 lbd16	genomic_DNA	P-AFFY-2	L_set1 lbd16	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_set1 lbd16	A-AFFY-2	P-AFFY-6	H_set1 lbd16	set1lbd16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1399-processed-data-1574590768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1399/E-MEXP-1399.processed.1.zip	lbd16 mutant
