Source Name	Characteristics [age]	Unit [time unit]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [genetic modification]	Provider	Protocol REF	Parameter Value [media]	Parameter Value [max temperature]	Parameter Value [min temperature]	Parameter Value [start time]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Label used]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Parameter Value [Chamber type]	Parameter Value [Quantity of label target used]	Unit [MassUnit]	Parameter Value [time]	Unit [TimeUnit]	Parameter Value [temperature]	Unit [TemperatureUnit]	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [ecotype]	Factor Value [genotype]
fry1-1 3	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fry1-1	leaf	EFO	EFO_0000993	induced mutation	ABRC	P-MEXP-139224	soil	23	19	5	fry1-1 3	P-MEXP-139226	total RNA	none	E_fry1-1 3	total_RNA	P-MEXP-142188	5	biotin	none	L_fry1-1 3	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_fry1-1 3	A-AFFY-2	P-MEXP-142187	H_fry1-1 3	fry1-14array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	C24	fry1-1
fry1-1 1	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fry1-1	leaf	EFO	EFO_0000993	induced mutation	ABRC	P-MEXP-139224	soil	23	19	5	fry1-1 1	P-MEXP-139226	total RNA	none	E_fry1-1 1	total_RNA	P-MEXP-142188	5	biotin	none	L_fry1-1 1	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_fry1-1 1	A-AFFY-2	P-MEXP-142187	H_fry1-1 1	fry1-11array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	C24	fry1-1
fry1-1 2	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fry1-1	leaf	EFO	EFO_0000993	induced mutation	ABRC	P-MEXP-139224	soil	23	19	5	fry1-1 2	P-MEXP-139226	total RNA	none	E_fry1-1 2	total_RNA	P-MEXP-142188	5	biotin	none	L_fry1-1 2	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_fry1-1 2	A-AFFY-2	P-AFFY-6	H_fry1-1 2	fry1-12array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	C24	fry1-1
C24 1	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	leaf	EFO	EFO_0000993	  	ABRC	P-MEXP-139224	soil	23	19	5	C24 1	P-MEXP-139226	total RNA	none	E_C24 1	total_RNA	P-MEXP-142188	5	biotin	none	L_C24 1	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_C24 1	A-AFFY-2	P-MEXP-142187	H_C24 1	C24WT1array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	C24	wild type
C24 2	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	leaf	EFO	EFO_0000993	  	ABRC	P-MEXP-139224	soil	23	19	5	C24 2	P-MEXP-139226	total RNA	none	E_C24 2	total_RNA	P-MEXP-142188	5	biotin	none	L_C24 2	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_C24 2	A-AFFY-2	P-AFFY-6	H_C24 2	C24WT2array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	C24	wild type
C24 3	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	leaf	EFO	EFO_0000993	  	ABRC	P-MEXP-139224	soil	23	19	5	C24 3	P-MEXP-139226	total RNA	none	E_C24 3	total_RNA	P-MEXP-142188	5	biotin	none	L_C24 3	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_C24 3	A-AFFY-2	P-AFFY-6	H_C24 3	C24WT3array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	C24	wild type
alx8 3	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	alx8	leaf	EFO	EFO_0000993	induced mutation	Pogson Lab, ANU, Australia	P-MEXP-139224	soil	23	19	5	alx8 3	P-MEXP-139226	total RNA	none	E_alx8 3	total_RNA	P-MEXP-142188	5	biotin	none	L_alx8 3	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_alx8 3	A-AFFY-2	P-AFFY-6	H_alx8 3	alx83array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	Columbia-0	alx8
alx8 1	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	alx8	leaf	EFO	EFO_0000993	induced mutation	Pogson Lab, ANU, Australia	P-MEXP-139224	soil	23	19	5	alx8 1	P-MEXP-139226	total RNA	none	E_alx8 1	total_RNA	P-MEXP-142188	5	biotin	none	L_alx8 1	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_alx8 1	A-AFFY-2	P-MEXP-142187	H_alx8 1	alx81array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	Columbia-0	alx8
alx8 2	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	alx8	leaf	EFO	EFO_0000993	induced mutation	Pogson Lab, ANU, Australia	P-MEXP-139224	soil	23	19	5	alx8 2	P-MEXP-139226	total RNA	none	E_alx8 2	total_RNA	P-MEXP-142188	5	biotin	none	L_alx8 2	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_alx8 2	A-AFFY-2	P-AFFY-6	H_alx8 2	alx82array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	Columbia-0	alx8
Col-0 3	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	leaf	EFO	EFO_0000993	  	ABRC	P-MEXP-139224	soil	23	19	5	Col-0 3	P-MEXP-139226	total RNA	none	E_Col-0 3	total_RNA	P-MEXP-142188	5	biotin	none	L_Col-0 3	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_Col-0 3	A-AFFY-2	P-MEXP-142187	H_Col-0 3	Col-0WT3array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	Columbia-0	wild type
Col-0 1	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	leaf	EFO	EFO_0000993	  	ABRC	P-MEXP-139224	soil	23	19	5	Col-0 1	P-MEXP-139226	total RNA	none	E_Col-0 1	total_RNA	P-MEXP-142188	5	biotin	none	L_Col-0 1	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_Col-0 1	A-AFFY-2	P-MEXP-142187	H_Col-0 1	Col-0WT1array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	Columbia-0	wild type
Col-0 2	5	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	leaf	EFO	EFO_0000993	  	ABRC	P-MEXP-139224	soil	23	19	5	Col-0 2	P-MEXP-139226	total RNA	none	E_Col-0 2	total_RNA	P-MEXP-142188	5	biotin	none	L_Col-0 2	biotin	total_RNA	P-MEXP-142189	Affymetrix- GeneChip Hyb Oven 640	20	microgram	16	hour	45	degree celsius	H_Col-0 2	A-AFFY-2	P-AFFY-6	H_Col-0 2	Col-0WT2array.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1495/E-MEXP-1495.raw.1.zip	Columbia-0	wild type
