Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genetic modification]	Characteristics [biosource type]	Characteristics[germplasm]	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [genotype]
cry1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	cry1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	cry1D	total_RNA	P-MTAB-1581	cry1D	biotin	unknown	P-MTAB-1582	cry1D3	A-AFFY-2	P-AFFY-6	C-03ATH1.CEL	C-03ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	cry1 mutant
cry1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	cry1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	cry1B	total_RNA	P-MTAB-1581	cry1B	biotin	unknown	P-MTAB-1582	cry1B2	A-AFFY-2	P-AFFY-6	C25-2ATH1.CEL	C25-2ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	cry1 mutant
cry1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	cry1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	cry1D	total_RNA	P-MTAB-1581	cry1D	biotin	unknown	P-MTAB-1582	cry1D2	A-AFFY-2	P-AFFY-6	C-02ATH1.CEL	C-02ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	cry1 mutant
cry1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	cry1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	cry1B	total_RNA	P-MTAB-1581	cry1B	biotin	unknown	P-MTAB-1582	cry1B3	A-AFFY-2	P-AFFY-6	C25-3ATH1.CEL	C25-3ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	cry1 mutant
cry1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	cry1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	cry1D	total_RNA	P-MTAB-1581	cry1D	biotin	unknown	P-MTAB-1582	cry1D1	A-AFFY-2	P-AFFY-6	C-01ATH1.CEL	C-01ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	cry1 mutant
cry1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	cry1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	cry1B	total_RNA	P-MTAB-1581	cry1B	biotin	unknown	P-MTAB-1582	cry1B1	A-AFFY-2	P-AFFY-6	C25-1ATH1.CEL	C25-1ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	cry1 mutant
hfr1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	hfr1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	hfr1D	total_RNA	P-MTAB-1581	hfr1D	biotin	unknown	P-MTAB-1582	hfr1D3	A-AFFY-2	P-AFFY-6	h0-3ATH1.CEL	h0-3ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	hfr1 mutant
hfr1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	hfr1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	hfr1D	total_RNA	P-MTAB-1581	hfr1D	biotin	unknown	P-MTAB-1582	hfr1D2	A-AFFY-2	P-AFFY-6	h0-2ATH1.CEL	h0-2ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	hfr1 mutant
hfr1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	hfr1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	hfr1B	total_RNA	P-MTAB-1581	hfr1B	biotin	unknown	P-MTAB-1582	hfr1B3	A-AFFY-2	P-AFFY-6	H25-3ATH1.CEL	H25-3ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	hfr1 mutant
hfr1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	induced mutation	fresh_sample	Col-0	hfr1 mutant	seedling	EFO	EFO_0001992	P-MTAB-1580	P-MTAB-1579	P-MTAB-1578	hfr1D	total_RNA	P-MTAB-1581	hfr1D	biotin	unknown	P-MTAB-1582	hfr1D1	A-AFFY-2	P-AFFY-6	h0-1ATH1.CEL	h0-1ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.raw.1.zip	P-MTAB-1585	affy_fgem_RMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1784/E-MEXP-1784.processed.1.zip	hfr1 mutant
