Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [compound]	Factor Value [dose]	Unit [concentration unit]	Factor Value [time]	Unit [time unit]
PT MV 3.2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 3.2	total_RNA	P-AFFY-2	PT MV 3.2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 3.2	A-AFFY-2	P-AFFY-6	PTMV3.2.CEL	PTMV3.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	3	hour
PT MV 3.3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 3.3	total_RNA	P-AFFY-2	PT MV 3.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 3.3	A-AFFY-2	P-AFFY-6	PTMV3.3.CEL	PTMV3.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	3	hour
PT MV 3.1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 3.1	total_RNA	P-AFFY-2	PT MV 3.1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 3.1	A-AFFY-2	P-AFFY-6	PTMV3.1.CEL	PTMV3.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	3	hour
PT MV 6.3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 6.3	total_RNA	P-AFFY-2	PT MV 6.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 6.3	A-AFFY-2	P-AFFY-6	PTMV6.3.CEL	PTMV6.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	6	hour
PT MV 6.1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 6.1	total_RNA	P-AFFY-2	PT MV 6.1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 6.1	A-AFFY-2	P-AFFY-6	PTMV6.1.CEL	PTMV6.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	6	hour
PT MV 6.2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 6.2	total_RNA	P-AFFY-2	PT MV 6.2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 6.2	A-AFFY-2	P-AFFY-6	PTMV6.2.CEL	PTMV6.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	6	hour
PT MV 24.1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 24.1	total_RNA	P-AFFY-2	PT MV 24.1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 24.1	A-AFFY-2	P-AFFY-6	PTMV24.1.CEL	PTMV24.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	24	hour
PT MV 24.2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 24.2	total_RNA	P-AFFY-2	PT MV 24.2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 24.2	A-AFFY-2	P-AFFY-6	PTMV24.2.CEL	PTMV24.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	24	hour
PT MV 24.3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MV 24.3	total_RNA	P-AFFY-2	PT MV 24.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MV 24.3	A-AFFY-2	P-AFFY-6	PTMV24.3.CEL	PTMV24.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	menadione sodium bisulphite	0.2	millimolar	24	hour
PT MM 3.3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	17	day	leaf	P-MTAB-2470	P-MTAB-2471	P-MTAB-2469	PT MM 3.3	total_RNA	P-AFFY-2	PT MM 3.3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	PT MM 3.3	A-AFFY-2	P-AFFY-6	PTMM3.3.CEL	PTMM3.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.raw.1.zip	P-MTAB-2525	norm.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1934/E-MEXP-1934.processed.1.zip	water	  	  	3	hour
