Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [specimen with known storage state]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [compound]	Term Source REF	Term Accession Number	Factor Value [time]	Unit [time unit]
XW119 0hr-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 0hr-2	unkown	P-AFFY-2	XW119 0hr-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 0hr-2	A-AFFY-2	P-AFFY-6	0hr-2.CEL	0hr-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	none	  	  	0	hour
XW119 0hr-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 0hr-3	unkown	P-AFFY-2	XW119 0hr-3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 0hr-3	A-AFFY-2	P-AFFY-6	0hr-3.CEL	0hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	none	  	  	0	hour
XW119 0hr-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 0hr-1	unkown	P-AFFY-2	XW119 0hr-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 0hr-1	A-AFFY-2	P-AFFY-6	0hr-1.CEL	0hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	none	  	  	0	hour
XW119 1hr-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 1hr-3	unkown	P-AFFY-2	XW119 1hr-3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 1hr-3	A-AFFY-2	P-AFFY-6	1hr-3.CEL	1hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	1	hour
XW119 1hr-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 1hr-2	unkown	P-AFFY-2	XW119 1hr-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 1hr-2	A-AFFY-2	P-AFFY-6	1hr-2.CEL	1hr-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	1	hour
XW119 1hr-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 1hr-1	unkown	P-AFFY-2	XW119 1hr-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 1hr-1	A-AFFY-2	P-AFFY-6	1hr-1.CEL	1hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	1	hour
XW119 2hr-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 2hr-3	unkown	P-AFFY-2	XW119 2hr-3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 2hr-3	A-AFFY-2	P-AFFY-6	2hr-3.CEL	2hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	2	hour
XW119 2hr-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 2hr-1	unkown	P-AFFY-2	XW119 2hr-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 2hr-1	A-AFFY-2	P-AFFY-6	2hr-1.CEL	2hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	2	hour
XW119 2hr-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 2hr-2	unkown	P-AFFY-2	XW119 2hr-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 2hr-2	A-AFFY-2	P-AFFY-6	2hr-2.CEL	2hr-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	2	hour
XW119 4hr-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 4hr-1	unkown	P-AFFY-2	XW119 4hr-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 4hr-1	A-AFFY-2	P-AFFY-6	4hr-1.CEL	4hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	4	hour
XW119 4hr-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 4hr-3	unkown	P-AFFY-2	XW119 4hr-3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 4hr-3	A-AFFY-2	P-AFFY-6	4hr-3.CEL	4hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	4	hour
XW119 4hr-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	germination	fresh sample	Col-0	ethanol-inducible STIP expression	seedling	EFO	EFO_0001992	P-MTAB-4556	XW119 4hr-2	unkown	P-AFFY-2	XW119 4hr-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	XW119 4hr-2	A-AFFY-2	P-AFFY-6	4hr-2.CEL	4hr-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2229-processed-data-1764878397.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2229/E-MEXP-2229.processed.1.zip	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	4	hour
