Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [genetic modification]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [time]	Unit [time unit]	Factor Value [genotype]	Factor Value [growth condition]
srk2cf-cont3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-cont3	total_RNA	P-AFFY-2	L_srk2cf-cont3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-cont3	A-AFFY-2	P-AFFY-6	GDR_081114_cf-cont3.CEL	GDR_081114_cf-cont3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	0	hour	srk2cf double knockout	normal
srk2cf-cont1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-cont1	total_RNA	P-AFFY-2	L_srk2cf-cont1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-cont1	A-AFFY-2	P-AFFY-6	GDR_081114_cf-cont1.CEL	GDR_081114_cf-cont1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	0	hour	srk2cf double knockout	normal
srk2cf-cont2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-cont2	total_RNA	P-AFFY-2	L_srk2cf-cont2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-cont2	A-AFFY-2	P-AFFY-6	GDR_081114_cf-cont2.CEL	GDR_081114_cf-cont2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	0	hour	srk2cf double knockout	normal
srk2cf-dry1h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-dry1h-1	total_RNA	P-AFFY-2	L_srk2cf-dry1h-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-dry1h-1	A-AFFY-2	P-AFFY-6	GDR_081114_cf-dry1h1.CEL	GDR_081114_cf-dry1h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	1	hour	srk2cf double knockout	drought
srk2cf-dry1h-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-dry1h-3	total_RNA	P-AFFY-2	L_srk2cf-dry1h-3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-dry1h-3	A-AFFY-2	P-AFFY-6	GDR_081114_cf-dry1h3.CEL	GDR_081114_cf-dry1h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	1	hour	srk2cf double knockout	drought
srk2cf-dry1h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-dry1h-2	total_RNA	P-AFFY-2	L_srk2cf-dry1h-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-dry1h-2	A-AFFY-2	P-AFFY-6	GDR_081114_cf-dry1h2.CEL	GDR_081114_cf-dry1h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	1	hour	srk2cf double knockout	drought
srk2cf-dry4h-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-dry4h-3	total_RNA	P-AFFY-2	L_srk2cf-dry4h-3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-dry4h-3	A-AFFY-2	P-AFFY-6	GDR_081114_cf-dry4h3.CEL	GDR_081114_cf-dry4h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	4	hour	srk2cf double knockout	drought
srk2cf-dry4h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-dry4h-2	total_RNA	P-AFFY-2	L_srk2cf-dry4h-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-dry4h-2	A-AFFY-2	P-AFFY-6	GDR_081114_cf-dry4h2.CEL	GDR_081114_cf-dry4h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	4	hour	srk2cf double knockout	drought
srk2cf-dry4h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	srk2cf double knockout	seedling	EFO	EFO_0001992	gene knock out	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_srk2cf-dry4h-1	total_RNA	P-AFFY-2	L_srk2cf-dry4h-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_srk2cf-dry4h-1	A-AFFY-2	P-AFFY-6	GDR_081114_cf-dry4h1.CEL	GDR_081114_cf-dry4h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	4	hour	srk2cf double knockout	drought
Col-cont1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	Columbia-0	wild type	seedling	EFO	EFO_0001992	  	P-MTAB-5478	P-MTAB-5479	P-MTAB-5477	E_Col-cont1	total_RNA	P-AFFY-2	L_Col-cont1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Col-cont1	A-AFFY-2	P-AFFY-6	GDR_081114_Col-cont1.CEL	GDR_081114_Col-cont1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2377-processed-data-1824889607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2377/E-MEXP-2377.processed.1.zip	0	hour	wild type	normal
