Source Name	Characteristics [Age]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Provider	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [AGE]	Unit [TimeUnit]	Factor Value [GROWTH CONDITION]	Term Source REF	Term Accession Number	Factor Value [ORGANISM PART]	Term Source REF	Term Accession Number
Seedlg_light_1	4 days	whole organism	EFO	EFO_0002906	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Seedlg_light_1	total_RNA	P-MTAB-8116	L_Seedlg_light_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_1_Seedlg_light_1	A-AFFY-155	P-AFFY-6	sdlg_1_agronomics1.CEL	sdlg_1_agronomics1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	4	days	light	EFO	EFO_0000568	whole organism	EFO	EFO_0002906
Seedlg_dark_2	4 days	whole organism	EFO	EFO_0002906	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Seedlg_dark_2	total_RNA	P-MTAB-8116	L_Seedlg_dark_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Seedlg_dark_2	A-AFFY-2	P-AFFY-6	dark_2_ATH1.CEL	dark_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	4	days	dark	  	  	whole organism	EFO	EFO_0002906
Seedlg_light_2	4 days	whole organism	EFO	EFO_0002906	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Seedlg_light_2	total_RNA	P-MTAB-8116	L_Seedlg_light_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Seedlg_light_2	A-AFFY-2	P-AFFY-6	sdlg_2_ATH1.CEL	sdlg_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	4	days	light	EFO	EFO_0000568	whole organism	EFO	EFO_0002906
Flowers_3	25 days	flower structure	EFO	EFO_0001024	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Flowers_3	total_RNA	P-MTAB-8116	L_Flowers_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_1_Flowers_3	A-AFFY-155	P-AFFY-6	flower_3_agronomics1.CEL	flower_3_agronomics1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	25	days	light	EFO	EFO_0000568	flower structure	EFO	EFO_0001024
Seedlg_dark_3	4 days	whole organism	EFO	EFO_0002906	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Seedlg_dark_3	total_RNA	P-MTAB-8116	L_Seedlg_dark_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_1_Seedlg_dark_3	A-AFFY-155	P-AFFY-6	dark_3_agronomics1.CEL	dark_3_agronomics1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	4	days	dark	  	  	whole organism	EFO	EFO_0002906
Seedlg_light_1	4 days	whole organism	EFO	EFO_0002906	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Seedlg_light_1	total_RNA	P-MTAB-8116	L_Seedlg_light_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Seedlg_light_1	A-AFFY-2	P-AFFY-6	sdlg_1_ATH1.CEL	sdlg_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	4	days	light	EFO	EFO_0000568	whole organism	EFO	EFO_0002906
Leaves_2	10 days	leaf	EFO	EFO_0000993	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Leaves_2	total_RNA	P-MTAB-8116	L_Leaves_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_1_Leaves_2	A-AFFY-155	P-AFFY-6	leaf_2_agronomics1.CEL	leaf_2_agronomics1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	10	days	light	EFO	EFO_0000568	leaf	EFO	EFO_0000993
Flowers_1	25 days	flower structure	EFO	EFO_0001024	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Flowers_1	total_RNA	P-MTAB-8116	L_Flowers_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_1_Flowers_1	A-AFFY-155	P-AFFY-6	flower_1_agronomics1.CEL	flower_1_agronomics1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	25	days	light	EFO	EFO_0000568	flower structure	EFO	EFO_0001024
Leaves_2	10 days	leaf	EFO	EFO_0000993	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Leaves_2	total_RNA	P-MTAB-8116	L_Leaves_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Leaves_2	A-AFFY-2	P-AFFY-6	leaf_2_ATH1.CEL	leaf_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	10	days	light	EFO	EFO_0000568	leaf	EFO	EFO_0000993
Seedlg_dark_1	4 days	whole organism	EFO	EFO_0002906	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Seedlg_dark_1	total_RNA	P-MTAB-8116	L_Seedlg_dark_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_1_Seedlg_dark_1	A-AFFY-155	P-AFFY-6	dark_1_agronomics1.CEL	dark_1_agronomics1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	4	days	dark	  	  	whole organism	EFO	EFO_0002906
Flowers_2	25 days	flower structure	EFO	EFO_0001024	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	NASC	P-MTAB-8114	P-MTAB-8115	E_Flowers_2	total_RNA	P-MTAB-8116	L_Flowers_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Flowers_2	A-AFFY-2	P-AFFY-6	flower_2_ATH1.CEL	flower_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2472/E-MEXP-2472.raw.1.zip	25	days	light	EFO	EFO_0000568	flower structure	EFO	EFO_0001024
