Source Name	Material Type	Characteristics[Organism]	Characteristics[BioSourceType]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[GeneticModification]	Characteristics[Genotype]	Characteristics[StrainOrLine]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[COMPOUND]	Factor Value[DOSE]	Unit[ConcentrationUnit]	Factor Value[GENOTYPE]	Factor Value[CHIP-ANTIBODY]
AlcA_CLV3 1 - Expression infl apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	28	days	Inflorescences	transfection	35S::AlcR/AlcA::CLV3	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_CLV3 1 - Expression infl apex 2	total_RNA	  	ArrayExpress	L_AlcA_CLV3 1 - Expression infl apex 2	biotin	  	ArrayExpress	H_AlcA_CLV3 1 - Expression infl apex 2	A-AFFY-2	  	ArrayExpress	CHIP_295_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::CLV3	0
AlcA_CLV3 2 - Expression infl apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	28	days	Inflorescences	transfection	35S::AlcR/AlcA::CLV3	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_CLV3 2 - Expression infl apex 2	total_RNA	  	ArrayExpress	L_AlcA_CLV3 2 - Expression infl apex 2	biotin	  	ArrayExpress	H_AlcA_CLV3 2 - Expression infl apex 2	A-AFFY-2	  	ArrayExpress	CHIP_295_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::CLV3	0
AlcA_GUS 1 - Expression infl apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR,AlcA::GUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_GUS 1 - Expression infl apex 1	total_RNA	  	ArrayExpress	L_AlcA_GUS 1 - Expression infl apex 1	biotin	  	ArrayExpress	H_AlcA_GUS 1 - Expression infl apex 1	A-AFFY-2	  	ArrayExpress	AlcA_GUS_flowering12hEtOH-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR,AlcA::GUS	0
AlcA_GUS 1 - Expression infl apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	28	days	Inflorescences	transfection	35S::AlcR,AlcA::GUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_GUS 1 - Expression infl apex 2	total_RNA	  	ArrayExpress	L_AlcA_GUS 1 - Expression infl apex 2	biotin	  	ArrayExpress	H_AlcA_GUS 1 - Expression infl apex 2	A-AFFY-2	  	ArrayExpress	CHIP_296_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR,AlcA::GUS	0
AlcA_GUS 1 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR,AlcA::GUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_GUS 1 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_AlcA_GUS 1 - Expression veg apex 2	biotin	  	ArrayExpress	H_AlcA_GUS 1 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	CHIP_312_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR,AlcA::GUS	0
AlcA_GUS 2 - Expression infl apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR,AlcA::GUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_GUS 2 - Expression infl apex 1	total_RNA	  	ArrayExpress	L_AlcA_GUS 2 - Expression infl apex 1	biotin	  	ArrayExpress	H_AlcA_GUS 2 - Expression infl apex 1	A-AFFY-2	  	ArrayExpress	AlcA_GUS_flowering12hEtOH-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR,AlcA::GUS	0
AlcA_GUS 2 - Expression infl apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	28	days	Inflorescences	transfection	35S::AlcR;AlcA::GUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_GUS 2 - Expression infl apex 2	total_RNA	  	ArrayExpress	L_AlcA_GUS 2 - Expression infl apex 2	biotin	  	ArrayExpress	H_AlcA_GUS 2 - Expression infl apex 2	A-AFFY-2	  	ArrayExpress	CHIP_296_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR;AlcA::GUS	0
AlcA_GUS 2 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR/AlcA::GUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_GUS 2 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_AlcA_GUS 2 - Expression veg apex 2	biotin	  	ArrayExpress	H_AlcA_GUS 2 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	CHIP_312_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::GUS	0
AlcA_GUS 3 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR/AlcA::GUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_GUS 3 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_AlcA_GUS 3 - Expression veg apex 2	biotin	  	ArrayExpress	H_AlcA_GUS 3 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	CHIP_312_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::GUS	0
AlcA_WUS 1 - Expression infl apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR/AlcA::WUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_WUS 1 - Expression infl apex 1	total_RNA	  	ArrayExpress	L_AlcA_WUS 1 - Expression infl apex 1	biotin	  	ArrayExpress	H_AlcA_WUS 1 - Expression infl apex 1	A-AFFY-2	  	ArrayExpress	AlcA_WUS_flowering12hEtOH-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::WUS	0
AlcA_WUS 1 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR/AlcA::WUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_WUS 1 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_AlcA_WUS 1 - Expression veg apex 2	biotin	  	ArrayExpress	H_AlcA_WUS 1 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	CHIP_309_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::WUS	0
AlcA_WUS 2 - Expression infl apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR/AlcA::WUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_WUS 2 - Expression infl apex 1	total_RNA	  	ArrayExpress	L_AlcA_WUS 2 - Expression infl apex 1	biotin	  	ArrayExpress	H_AlcA_WUS 2 - Expression infl apex 1	A-AFFY-2	  	ArrayExpress	AlcA_WUS_flowering12hEtOH-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::WUS	0
AlcA_WUS 2 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR/AlcA::WUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_WUS 2 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_AlcA_WUS 2 - Expression veg apex 2	biotin	  	ArrayExpress	H_1_AlcA_WUS 2 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	CHIP_309_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::WUS	0
AlcA_WUS 3 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	12	days	Shoot apex	transfection	35S::AlcR/AlcA::WUS	COL	P-MTAB-9911	P-MTAB-9908	P-MTAB-9904	E_AlcA_WUS 3 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_AlcA_WUS 3 - Expression veg apex 2	biotin	  	ArrayExpress	H_AlcA_WUS 3 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	CHIP_309_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	ethanol	12	h	35S::AlcR/AlcA::WUS	0
clv3 1 - Expression veg apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	clv3	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_clv3 1 - Expression veg apex 1	total_RNA	  	ArrayExpress	L_clv3 1 - Expression veg apex 1	biotin	  	ArrayExpress	H_clv3 1 - Expression veg apex 1	A-AFFY-2	  	ArrayExpress	CHIP_259_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	clv3	0
clv3 1 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	clv3	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_clv3 1 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_clv3 1 - Expression veg apex 2	biotin	  	ArrayExpress	H_clv3 1 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	285_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	clv3	0
clv3 2 - Expression veg apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	clv3	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_clv3 2 - Expression veg apex 1	total_RNA	  	ArrayExpress	L_clv3 2 - Expression veg apex 1	biotin	  	ArrayExpress	H_clv3 2 - Expression veg apex 1	A-AFFY-2	  	ArrayExpress	CHIP_259_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	clv3	0
clv3 2 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	clv3	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_clv3 2 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_clv3 2 - Expression veg apex 2	biotin	  	ArrayExpress	H_clv3 2 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	285_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	clv3	0
clv3 3 - Expression veg apex 3	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	clv3	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_clv3 3 - Expression veg apex 3	total_RNA	  	ArrayExpress	L_clv3 3 - Expression veg apex 3	biotin	  	ArrayExpress	H_clv3 3 - Expression veg apex 3	A-AFFY-2	  	ArrayExpress	285_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	clv3	0
wt1 - Expression veg apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wt1 - Expression veg apex 1	total_RNA	  	ArrayExpress	L_wt1 - Expression veg apex 1	biotin	  	ArrayExpress	H_wt1 - Expression veg apex 1	A-AFFY-2	  	ArrayExpress	CHIP_261_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	wus	0
wt1 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wt	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wt1 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_wt1 - Expression veg apex 2	biotin	  	ArrayExpress	H_wt1 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	287_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	wt	0
wt2 - Expression veg apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wt	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wt2 - Expression veg apex 1	total_RNA	  	ArrayExpress	L_wt2 - Expression veg apex 1	biotin	  	ArrayExpress	H_wt2 - Expression veg apex 1	A-AFFY-2	  	ArrayExpress	CHIP_261_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	wt	0
wt2 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wt	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wt2 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_wt2 - Expression veg apex 2	biotin	  	ArrayExpress	H_wt2 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	287_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	wt	0
wt3 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wt	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wt3 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_wt3 - Expression veg apex 2	biotin	  	ArrayExpress	H_wt3 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	287_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	wt	0
wus 1 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	wus	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_wus 1 - ChIP-chip	genomic_DNA	P-MTAB-9909	  	L_wus 1 - ChIP-chip	biotin	  	ArrayExpress	H_wus 1 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20060926_ChIP_WUS_MH_1_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	wus	0
wus 1 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	wus	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_wus 1 - ChIP-chip_1	genomic_DNA	P-MTAB-9909	  	L_wus 1 - ChIP-chip_1	biotin	  	ArrayExpress	H_wus 1 - ChIP-chip_1	A-MEXP-1477	  	ArrayExpress	20061005_ChIP_WUS_MH_1_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.1.zip	0	0	0	wus	0
