Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Provider	Characteristics[BioSourceType]	Characteristics[DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[InitialTimePoint]	Characteristics[OrganismPart]	Characteristics[StrainOrLine]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[DEVELOPMENTAL_STAGE]	Term Source REF	Term Accession Number	Factor Value[AFFYMETRIX RNA LABELLING PROTOCOL]
EZ 1 cycle bio rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ 1 cycle bio rep 1	total_RNA	P-MTAB-12755	L_EZ 1 cycle bio rep 1	biotin	H_EZ 1 cycle bio rep 1	A-AFFY-2	Holman_2-7_elongation-zone_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_1cycle_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix 1-cycle Protocol
EZ 1 cycle bio rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ 1 cycle bio rep 2	total_RNA	P-MTAB-12755	L_EZ 1 cycle bio rep 2	biotin	H_EZ 1 cycle bio rep 2	A-AFFY-2	Holman_2-9_elongation-zone_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_1cycle_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix 1-cycle Protocol
EZ 1 cycle bio rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ 1 cycle bio rep 3	total_RNA	P-MTAB-12755	L_EZ 1 cycle bio rep 3	biotin	H_EZ 1 cycle bio rep 3	A-AFFY-2	Holman_2-11_elongation-zone_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_1cycle_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix 1-cycle Protocol
EZ 2 cycle bio rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ 2 cycle bio rep 1	total_RNA	P-MTAB-12756	L_EZ 2 cycle bio rep 1	biotin	H_EZ 2 cycle bio rep 1	A-AFFY-2	Holman_2-8_elongation-zone-ampl_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_2cycle_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix 2-cycle Protocol
EZ 2 cycle bio rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ 2 cycle bio rep 2	total_RNA	P-MTAB-12756	L_EZ 2 cycle bio rep 2	biotin	H_EZ 2 cycle bio rep 2	A-AFFY-2	Holman_2-10_elongation-zone-ampl_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_2cycle_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix 2-cycle Protocol
EZ 2 cycle bio rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ 2 cycle bio rep 3	total_RNA	P-MTAB-12756	L_EZ 2 cycle bio rep 3	biotin	H_EZ 2 cycle bio rep 3	A-AFFY-2	Holman_2-12_elongation-zone-ampl_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_2cycle_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix 2-cycle Protocol
EZ IVT-e bio rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ IVT-e bio rep 1	total_RNA	P-MTAB-12753	L_EZ IVT-e bio rep 1	biotin	H_EZ IVT-e bio rep 1	A-AFFY-2	Holman_2-7_elongation-zone_Rep1_ATH1_IVT-Express.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_ivte_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix IVT-express Protocol
EZ IVT-e bio rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ IVT-e bio rep 2	total_RNA	P-MTAB-12753	L_EZ IVT-e bio rep 2	biotin	H_EZ IVT-e bio rep 2	A-AFFY-2	Holman_2-9_elongation-zone_Rep2-IVT-Express.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_ivte_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix IVT-express Protocol
EZ IVT-e bio rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Elongation Zone	Col-0	P-MTAB-12754	P-MTAB-12752	P-MTAB-12758	E_EZ IVT-e bio rep 3	total_RNA	P-MTAB-12753	L_EZ IVT-e bio rep 3	biotin	H_EZ IVT-e bio rep 3	A-AFFY-2	Holman_2-11_elongation-zone_Rep3_ATH1-IVT-Express.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	EZ_ivte_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix IVT-express Protocol
MS 1 cycle bio rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Nottingham Arabidopsis Stock Centre	fresh_sample	seedling	EFO	EFO_0001992	7	days	germination	Root Apical Meristem	Col-0	P-MTAB-12754	P-MTAB-12757	P-MTAB-12758	E_MS 1 cycle bio rep 1	total_RNA	P-MTAB-12755	L_MS 1 cycle bio rep 1	biotin	H_MS 1 cycle bio rep 1	A-AFFY-2	Holman_2-1_root-tip_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.raw.1.zip	P-MTAB-12751	MS_1cycle_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2608/E-MEXP-2608.processed.1.zip	seedling	EFO	EFO_0001992	Affymetrix 1-cycle Protocol
