Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Term Source REF	Characteristics [IndividualGeneticCharacteristics]	Characteristics [OrganismPart]	Term Source REF	Characteristics [BioSourceType]	Term Source REF	Characteristics [Organism]	Term Source REF	Protocol REF	Parameter Value [start time]	Protocol REF	Sample Name	Protocol REF	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Parameter Value [Amount of nucleic acid labeled]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Factor Value [organism_part]	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Arabidopsis thaliana__S:BioSource:MEXP:175133	29	days	mo	Lansberg-0wild_type	hypocotyl	po	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7305	SAMPLE175133DavidHyp1	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8009hyp1	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11333EXTRACThyp1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8138	A-AFFY-2	ArrayExpress	P-AFFY-6	hypocotyl	po	hypocotyl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175133	29	days	mo	Lansberg-0wild_type	hypocotyl	po	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7305	SAMPLE175133DavidHyp1	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8009hyp1	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11333EXTRACThyp1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8138	A-AFFY-2	ArrayExpress	P-AFFY-6	hypocotyl	po	hypocotyl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175134	29	days	mo	Lansberg-0wild_type	hypocotyl	po	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7305	SAMPLE175134DavidHyp2d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8010hyp2d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11334EXTRACThyp2d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8139	A-AFFY-2	ArrayExpress	P-AFFY-6	hypocotyl	po	hypocotyl_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175134	29	days	mo	Lansberg-0wild_type	hypocotyl	po	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7305	SAMPLE175134DavidHyp2d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8010hyp2d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11334EXTRACThyp2d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8139	A-AFFY-2	ArrayExpress	P-AFFY-6	hypocotyl	po	hypocotyl_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175135	29	days	mo	Lansberg-0wild_type	hypocotyl	po	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7305	SAMPLE175135DavidHyp2e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8011hyp2e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11335EXTRACThyp2e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8140	A-AFFY-2	ArrayExpress	P-AFFY-6	hypocotyl	po	hypocotyl_1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175135	29	days	mo	Lansberg-0wild_type	hypocotyl	po	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7305	SAMPLE175135DavidHyp2e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8011hyp2e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11335EXTRACThyp2e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8140	A-AFFY-2	ArrayExpress	P-AFFY-6	hypocotyl	po	hypocotyl_1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175136	29	days	mo	Lansberg-0wild_type	leaf	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7306	SAMPLE175136DavidLeaf1	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8012leaf1	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11336EXTRACTleaf1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8141	A-AFFY-2	ArrayExpress	P-AFFY-6	leaf	  	leaves.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175136	29	days	mo	Lansberg-0wild_type	leaf	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7306	SAMPLE175136DavidLeaf1	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8012leaf1	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11336EXTRACTleaf1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8141	A-AFFY-2	ArrayExpress	P-AFFY-6	leaf	  	leaves.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175137	29	days	mo	Lansberg-0wild_type	leaf	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7306	SAMPLE175137leaf2d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8013leaf2d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11337EXTRACTleaf2d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8142	A-AFFY-2	ArrayExpress	P-AFFY-6	leaf	  	leaves_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175137	29	days	mo	Lansberg-0wild_type	leaf	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7306	SAMPLE175137leaf2d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8013leaf2d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11337EXTRACTleaf2d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8142	A-AFFY-2	ArrayExpress	P-AFFY-6	leaf	  	leaves_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
