Source Name	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [biosource type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[growth condition]
0G_EBR_2	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	0G_EBR_2	total_RNA	P-AFFY-2	0G_EBR_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	0_BR_2	A-AFFY-2	P-AFFY-6	1008A-01_0_BR_2.CEL	1008A-01_0_BR_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	0.1% epibrassinolide
3G_1	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	3G_1	total_RNA	P-AFFY-2	3G_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	3G_1	A-AFFY-2	P-AFFY-6	1008A-01_3_1_re.CEL	1008A-01_3_1_re.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	3% glucose
3G_EBR_1	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	3G_EBR_1	total_RNA	P-AFFY-2	3G_EBR_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	3G_BR_1	A-AFFY-2	P-AFFY-6	1008A-01_3_BR_1.CEL	1008A-01_3_BR_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	3% glucose; 0.1% epibrassinolide
0G_1	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	0G_1	total_RNA	P-AFFY-2	0G_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	0G_1	A-AFFY-2	P-AFFY-6	1008A-01_0_1.CEL	1008A-01_0_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	none
3G_2	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	3G_2	total_RNA	P-AFFY-2	3G_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	3G_2	A-AFFY-2	P-AFFY-6	1008A-01_3_2.CEL	1008A-01_3_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	3% glucose
0G_EBR_3	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	0G_EBR_3	total_RNA	P-AFFY-2	0G_EBR_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	0_BR_3	A-AFFY-2	P-AFFY-6	1008A-01_0_BR_3.CEL	1008A-01_0_BR_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	0.1% epibrassinolide
0G_EBR_1	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	0G_EBR_1	total_RNA	P-AFFY-2	0G_EBR_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	0_BR_1	A-AFFY-2	P-AFFY-6	1008A-01_0_BR_1.CEL	1008A-01_0_BR_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	0.1% epibrassinolide
3G_EBR_2	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	3G_EBR_2	total_RNA	P-AFFY-2	3G_EBR_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	3G_BR_2	A-AFFY-2	P-AFFY-6	1008A-01_3_BR_2.CEL	1008A-01_3_BR_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	3% glucose; 0.1% epibrassinolide
3G_3	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	3G_3	total_RNA	P-AFFY-2	3G_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	3G_3	A-AFFY-2	P-AFFY-6	1008A-01_3_3.CEL	1008A-01_3_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	3% glucose
3G_EBR_3	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	3G_EBR_3	total_RNA	P-AFFY-2	3G_EBR_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	3G_BR_3	A-AFFY-2	P-AFFY-6	1008A-01_3_BR_3.CEL	1008A-01_3_BR_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	3% glucose; 0.1% epibrassinolide
0G_2	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	0G_2	total_RNA	P-AFFY-2	0G_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	0G_2	A-AFFY-2	P-AFFY-6	1008A-01_0_2.CEL	1008A-01_0_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	none
0G_3	6	day	beginning_of_stage	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	frozen_sample	P-MTAB-14181	P-MTAB-14180	P-MTAB-14179	0G_3	total_RNA	P-AFFY-2	0G_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	0G_3	A-AFFY-2	P-AFFY-6	1008A-01_0_3.CEL	1008A-01_0_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2714/E-MEXP-2714.raw.1.zip	none
