Source Name	Characteristics[organism]	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[growth condition]	Characteristics[genotype]	Characteristics[genetic modification]	Comment [biosource type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Comment[EXP]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value[genotype]	Factor Value[time]	Unit[time unit]
T0-1	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T0-1	total RNA	P-AFFY-2	ArrayExpress	T0-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T0-1	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T0-1.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T0-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	0	hour
T0-2	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T0-2	total RNA	P-AFFY-2	ArrayExpress	T0-2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T0-2	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T0-2.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T0-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	0	hour
T0-3	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T0-3	total RNA	P-AFFY-2	ArrayExpress	T0-3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T0-3	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T0-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T0-3.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T0-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	0	hour
T4-1	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T4-1	total RNA	P-AFFY-2	ArrayExpress	T4-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T4-1	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T4-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T4-1.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T4-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	4	hour
T4-2	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T4-2	total RNA	P-AFFY-2	ArrayExpress	T4-2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T4-2	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T4-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T4-2.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T4-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	4	hour
T4-3	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T4-3	total RNA	P-AFFY-2	ArrayExpress	T4-3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T4-3	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T4-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T4-3.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T4-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	4	hour
T6-1	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T6-1	total RNA	P-AFFY-2	ArrayExpress	T6-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T6-1	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T6-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T6-1.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T6-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	6	hour
T6-2	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T6-2	total RNA	P-AFFY-2	ArrayExpress	T6-2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T6-2	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T6-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T6-2.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T6-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	6	hour
T6-3	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	met1 mutant	gene knock out	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	T6-3	total RNA	P-AFFY-2	ArrayExpress	T6-3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	T6-3	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_T6-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_T6-3.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_T6-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	met1 mutant	6	hour
W0-1	Arabidopsis thaliana	Wassilewskija ecotype	pistil	calli transferred onto shoot induction medium 	wild type	none	frozen sample	P-MTAB-19339	P-MTAB-19341	P-MTAB-19340	W0-1	total RNA	P-AFFY-2	ArrayExpress	W0-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	W0-1	A-AFFY-2	P-AFFY-6	ArrayExpress	090117-ATH1-07400A_W0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.raw.1.zip	090117-ATH1-07400A_W0-1.EXP	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	090117-ATH1-07400A_W0-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.2.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	combineddata.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3120/E-MEXP-3120.processed.1.zip	wild type	0	hour
