Source Name	Material Type	Characteristics[organism]	Characteristics[environmental history]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Sample Name	Characteristics[sampling time point]	Characteristics[organism part]	Characteristics[infect]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]	Factor Value[time]	Unit[time unit]	Factor Value[genotype]
HS116-118-01	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-01	24 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-01	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-01	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-01	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-01_infected_coi1_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-01_infected_coi1_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	24	hour	coi1-2 mutant
HS116-118-02	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-02	24 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-02	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-02	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-02	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-02_infected_coi1_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-02_infected_coi1_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	24	hour	coi1-2 mutant
HS116-118-03	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-03	24 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-03	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-03	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-03	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-03_infected_coi1_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-03_infected_coi1_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	24	hour	coi1-2 mutant
HS116-118-04	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-04	24 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-04	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-04	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-04	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-04_infected_wt_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-04_infected_wt_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	24	hour	wild type genotype
HS116-118-05	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-05	24 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-05	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-05	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-05	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-05_infected_wt_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-05_infected_wt_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	24	hour	wild type genotype
HS116-118-06	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-06	24 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-06	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-06	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-06	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-06_infected_wt_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-06_infected_wt_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	24	hour	wild type genotype
HS116-118-07	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-07	24 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-07	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-07	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-07	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-07_mock_coi1_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-07_mock_coi1_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	24	hour	coi1-2 mutant
HS116-118-08	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-08	24 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-08	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-08	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-08	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-08_mock_coi1_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-08_mock_coi1_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	24	hour	coi1-2 mutant
HS116-118-09	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-09	24 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-09	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-09	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-09	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-09_mock_coi1_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-09_mock_coi1_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	24	hour	coi1-2 mutant
HS116-118-10	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-10	24 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-10	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-10	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-10	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-10_mock_wt_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-10_mock_wt_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	24	hour	wild type genotype
