Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Term Source REF	Characteristics [DevelopmentalStage]	Characteristics [StrainOrLine]	Characteristics [OrganismPart]	Term Source REF	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Characteristics [Ecotype]	Term Source REF	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [start time]	Parameter Value [stop time]	Parameter Value [min temperature]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Label used]	Parameter Value [Amplification]	Parameter Value [Amount of nucleic acid labeled]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [strain_or_line]	Factor Value [compound]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
Arabidopsis thaliana	5 To 7	days	mo	1 Boyes key	35S:CKX1	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	  	  	P-MEXP-8707	P-MEXP-8706	liquid MS	5	7	24	CKX1 BA0 #1	P-MEXP-8711	total RNA	none	CKX1 BA0 #1	total_RNA	P-MEXP-8712	biotin	none	5	CKX1 BA0 #1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	CKX1 BA0 #1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	120	m	35S:CKX1	none	DBA:MEXP:1405:10590	E-MEXP-344-raw-data-481791973.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178037	5 To 7	days	mo	1 Boyes key	35S:CKX1	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	  	  	P-MEXP-8707	P-MEXP-8706	liquid MS	5	7	24	CKX1 BA0 #2	P-MEXP-8711	total RNA	none	CKX1 BA0 #2	total_RNA	P-MEXP-8712	biotin	none	5	CKX1 BA0 #2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	CKX1 BA0 #2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	120	m	35S:CKX1	none	DBA:MEXP:1405:10591	E-MEXP-344-raw-data-481792029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178039	5 To 7	days	mo	1 Boyes key	35S:CKX1	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	  	  	P-MEXP-8709	P-MEXP-8706	liquid MS	5	7	24	CKX1 BA15 #1	P-MEXP-8711	total RNA	none	CKX1 BA15 #1	total_RNA	P-MEXP-8712	biotin	none	5	CKX1 BA15 #1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	CKX1 BA15 #1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	15	m	35S:CKX1	6-benzylaminopurine	DBA:MEXP:1405:10593	E-MEXP-344-raw-data-481792085.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178040	5 To 7	days	mo	1 Boyes key	35S:CKX1	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	  	  	P-MEXP-8709	P-MEXP-8706	liquid MS	5	7	24	CKX1 BA15 #2	P-MEXP-8711	total RNA	none	CKX1 BA15 #2	total_RNA	P-MEXP-8712	biotin	none	5	CKX1 BA15 #2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	CKX1 BA15 #2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	15	m	35S:CKX1	6-benzylaminopurine	DBA:MEXP:1405:10594	E-MEXP-344-raw-data-481792141.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178030	5 To 7	days	mo	1 Boyes key	  	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	Columbia-0	nasc	P-MEXP-8707	P-MEXP-8706	liquid MS	5	7	24	Col-0 BA0 #1	P-MEXP-8711	total RNA	none	Col-0 BA0 #1	total_RNA	P-MEXP-8712	biotin	none	5	Col-0 BA0 #1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Col-0 BA0 #1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	120	m	Columbia-0	none	DBA:MEXP:1405:10584	E-MEXP-344-raw-data-481791637.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178031	5 To 7	days	mo	1 Boyes key	  	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	Columbia-0	nasc	P-MEXP-8707	P-MEXP-8706	liquid MS	5	7	24	Col-0 BA0 #2	P-MEXP-8711	total RNA	none	Col-0 BA0 #2	total_RNA	P-MEXP-8712	biotin	none	5	Col-0 BA0 #2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Col-0 BA0 #2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	120	m	Columbia-0	none	DBA:MEXP:1405:10585	E-MEXP-344-raw-data-481791693.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178034	5 To 7	days	mo	1 Boyes key	  	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	Columbia-0	nasc	P-MEXP-8710	P-MEXP-8706	liquid MS	5	7	24	Col-0 BA120 #1	P-MEXP-8711	total RNA	none	Col-0 BA120 #1	total_RNA	P-MEXP-8712	biotin	none	5	Col-0 BA120 #1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Col-0 BA120 #1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	120	m	Columbia-0	6-benzylaminopurine	DBA:MEXP:1405:10588	E-MEXP-344-raw-data-481791861.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178035	5 To 7	days	mo	1 Boyes key	  	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	Columbia-0	nasc	P-MEXP-8710	P-MEXP-8706	liquid MS	5	7	24	Col-0 BA120 #2	P-MEXP-8711	total RNA	none	Col-0 BA120 #2	total_RNA	P-MEXP-8712	biotin	none	5	Col-0 BA120 #2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Col-0 BA120 #2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	120	m	Columbia-0	6-benzylaminopurine	DBA:MEXP:1405:10589	E-MEXP-344-raw-data-481791917.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178032	5 To 7	days	mo	1 Boyes key	  	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	Columbia-0	nasc	P-MEXP-8709	P-MEXP-8706	liquid MS	5	7	24	Col-0 BA15 #1	P-MEXP-8711	total RNA	none	Col-0 BA15 #1	total_RNA	P-MEXP-8712	biotin	none	5	Col-0 BA15 #1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Col-0 BA15 #1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	15	m	Columbia-0	6-benzylaminopurine	DBA:MEXP:1405:10586	E-MEXP-344-raw-data-481791749.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
Arabidopsis thaliana__S:BioSource:MEXP:178033	5 To 7	days	mo	1 Boyes key	  	whole_organism	tair_anat:1.2	fresh_sample	Arabidopsis thaliana	ncbitax	Columbia-0	nasc	P-MEXP-8709	P-MEXP-8706	liquid MS	5	7	24	Col-0 BA15 #2	P-MEXP-8711	total RNA	none	Col-0 BA15 #2	total_RNA	P-MEXP-8712	biotin	none	5	Col-0 BA15 #2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Col-0 BA15 #2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	15	m	Columbia-0	6-benzylaminopurine	DBA:MEXP:1405:10587	E-MEXP-344-raw-data-481791805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627	Affymetrix:Protocol:ExpressionStat	E-MEXP-344-processed-data-1342703996.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-344/E-MEXP-344.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=481792627
