Source Name	Material Type	Characteristics[organism]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[growth condition]
Col-ABA1	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-ABA1	total_RNA	P-AFFY-12	ArrayExpress	Col-ABA1	biotin	P-AFFY-13	ArrayExpress	Col-ABA1	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_ColABA1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	50 micromolar abscisic acid
Col-ABA2	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-ABA2	total_RNA	P-AFFY-12	ArrayExpress	Col-ABA2	biotin	P-AFFY-13	ArrayExpress	Col-ABA2	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_ColABA2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	50 micromolar abscisic acid
Col-ABA3	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-ABA3	total_RNA	P-AFFY-12	ArrayExpress	Col-ABA3	biotin	P-AFFY-13	ArrayExpress	Col-ABA3	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_ColABA3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	50 micromolar abscisic acid
Col-cont1	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-cont1	total_RNA	P-AFFY-12	ArrayExpress	Col-cont1	biotin	P-AFFY-13	ArrayExpress	Col-cont1	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_Colcont1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	control
Col-cont2	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-cont2	total_RNA	P-AFFY-12	ArrayExpress	Col-cont2	biotin	P-AFFY-13	ArrayExpress	Col-cont2	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_Colcont2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	control
Col-cont3	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-cont3	total_RNA	P-AFFY-12	ArrayExpress	Col-cont3	biotin	P-AFFY-13	ArrayExpress	Col-cont3	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_Colcont3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	control
Col-DH1	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-DH1	total_RNA	P-AFFY-12	ArrayExpress	Col-DH1	biotin	P-AFFY-13	ArrayExpress	Col-DH1	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_Coldry1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	dehydration stress 
Col-DH2	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-DH2	total_RNA	P-AFFY-12	ArrayExpress	Col-DH2	biotin	P-AFFY-13	ArrayExpress	Col-DH2	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_Coldry2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	dehydration stress 
Col-DH3	whole organism	Arabidopsis thaliana	wild type	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	Col-DH3	total_RNA	P-AFFY-12	ArrayExpress	Col-DH3	biotin	P-AFFY-13	ArrayExpress	Col-DH3	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_Coldry3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	wild type	dehydration stress 
dei-ABA1	whole organism	Arabidopsis thaliana	srk2dei triple mutant	Columbia	whole organism	3	week	P-MTAB-30528	P-MTAB-30527	dei-ABA1	total_RNA	P-AFFY-12	ArrayExpress	dei-ABA1	biotin	P-AFFY-13	ArrayExpress	dei-ABA1	A-AFFY-2	P-AFFY-6	ArrayExpress	UME_081114_deiABA1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3713/E-MEXP-3713.raw.1.zip	srk2dei triple mutant	50 micromolar abscisic acid
