Source Name	Material Type	Characteristics[Organism]	Characteristics[BioSourceType]	Characteristics[developmental stage]	Characteristics[age]	Unit[TimeUnit]	Characteristics[strain]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[COMPOUND_1]	Factor Value[DOSE_1]	Unit[ConcentrationUnit]	Factor Value[COMPOUND_2]	Factor Value[DOSE_2]	Unit[ConcentrationUnit]
0 GLC Rep. 1	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_0 GLC Rep. 1	total RNA	P-AFFY-2	ArrayExpress	L_0 GLC Rep. 1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_0 GLC Rep. 1	A-AFFY-2	P-MTAB-30976	1008A-01_0_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	0	millimolar	BAP (6-Benzylaminopurine)	0	millimolar
0 GLC Rep. 2	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_0 GLC Rep. 2	total RNA	P-AFFY-2	ArrayExpress	L_0 GLC Rep. 2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_0 GLC Rep. 2	A-AFFY-2	P-MTAB-30976	1008A-01_0_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	0	millimolar	BAP (6-Benzylaminopurine)	0	millimolar
0 GLC Rep. 3	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_0 GLC Rep. 3	total RNA	P-AFFY-2	ArrayExpress	L_0 GLC Rep. 3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_0 GLC Rep. 3	A-AFFY-2	P-MTAB-30976	1008A-01_0_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	0	millimolar	BAP (6-Benzylaminopurine)	0	millimolar
0 GLC_BAP Rep. 1	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_0 GLC_BAP Rep. 1	total RNA	P-AFFY-2	ArrayExpress	L_0 GLC_BAP Rep. 1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_0 GLC_BAP Rep. 1	A-AFFY-2	P-MTAB-30976	1008A-01_0_BAP_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	0	millimolar	BAP (6-Benzylaminopurine)	10	millimolar
0 GLC_BAP Rep. 2	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_0 GLC_BAP Rep. 2	total RNA	P-AFFY-2	ArrayExpress	L_0 GLC_BAP Rep. 2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_0 GLC_BAP Rep. 2	A-AFFY-2	P-MTAB-30976	1008A-01_0_BAP_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	0	millimolar	BAP (6-Benzylaminopurine)	10	millimolar
0 GLC_BAP Rep. 3	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_0 GLC_BAP Rep. 3	total RNA	P-AFFY-2	ArrayExpress	L_0 GLC_BAP Rep. 3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_0 GLC_BAP Rep. 3	A-AFFY-2	P-MTAB-30976	1008A-01_0_BAP_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	0	millimolar	BAP (6-Benzylaminopurine)	10	millimolar
3 GLC Rep. 1	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_3 GLC Rep. 1	total RNA	P-AFFY-2	ArrayExpress	L_3 GLC Rep. 1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_3 GLC Rep. 1	A-AFFY-2	P-MTAB-30976	1008A-01_3_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	166	millimolar	BAP (6-Benzylaminopurine)	0	millimolar
3 GLC Rep. 2	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_3 GLC Rep. 2	total RNA	P-AFFY-2	ArrayExpress	L_3 GLC Rep. 2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_3 GLC Rep. 2	A-AFFY-2	P-MTAB-30976	1008A-01_3_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	166	millimolar	BAP (6-Benzylaminopurine)	0	millimolar
3 GLC Rep. 3	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_3 GLC Rep. 3	total RNA	P-AFFY-2	ArrayExpress	L_3 GLC Rep. 3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_3 GLC Rep. 3	A-AFFY-2	P-MTAB-30976	1008A-01_3_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	166	millimolar	BAP (6-Benzylaminopurine)	0	millimolar
3 GLC_BAP Rep. 1	whole organism	Arabidopsis thaliana	frozen_sample	seedling	6	day	Columbia	P-MTAB-30978	P-MTAB-30977	E_3 GLC_BAP Rep. 1	total RNA	P-AFFY-2	ArrayExpress	L_3 GLC_BAP Rep. 1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_3 GLC_BAP Rep. 1	A-AFFY-2	P-MTAB-30976	1008A-01_3_BAP_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3827/E-MEXP-3827.raw.1.zip	glucose	166	millimolar	BAP (6-Benzylaminopurine)	10	millimolar
