Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Genotype]	Characteristics [Ecotype]	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DiseaseState]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Term Source REF	Term Accession Number	Provider	Protocol REF	Protocol REF	Parameter Value [min temperature]	Parameter Value [start time]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Label used]	Parameter Value [Amplification]	Parameter Value [Amount of nucleic acid labeled]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [light]	Unit [other]	Factor Value [time]	Unit [TimeUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Arabidopsis thaliana	8	days	wild_type	Columbia-0	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	  	  	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_2A_wt_lowR-FR	P-MEXP-9615	none	total RNA	E_2A_wt_lowR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_2A_wt_lowR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_2A_wt_lowR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	1	d	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12340	At_2A_wt_lowR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179718	8	days	hfr1-5/sics1-2 mutant	  	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	SALK_049497	EFO	EFO_0001326	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_5B_hfr1-5_sics1-2_highR-FR	P-MEXP-9615	none	total RNA	E_5B_hfr1-5_sics1-2_highR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_5B_hfr1-5_sics1-2_highR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_5B_hfr1-5_sics1-2_highR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	0	s	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12347	At_5B_hfr1-5_sics1-2_highR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179709	8	days	wild_type	Columbia-0	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	  	  	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_1A_wt_highR-FR	P-MEXP-9615	none	total RNA	E_1A_wt_highR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_1A_wt_highR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_1A_wt_highR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	0	s	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12338	At_1A_wt_highR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179720	8	days	hfr1-5/sics1-2 mutant	  	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	SALK_049497	EFO	EFO_0001326	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_6B_hfr1-5_sics1-2_lowR-FR	P-MEXP-9615	none	total RNA	E_6B_hfr1-5_sics1-2_lowR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_6B_hfr1-5_sics1-2_lowR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_6B_hfr1-5_sics1-2_lowR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	1	d	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12349	At_6B_hfr1-5_sics1-2_lowR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179715	8	days	hfr1-4/sics1-1 mutant	  	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	SALK_037727	EFO	EFO_0001354	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_4A_hfr1-4_sics1-1_lowR-FR	P-MEXP-9615	none	total RNA	E_4A_hfr1-4_sics1-1_lowR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_4A_hfr1-4_sics1-1_lowR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_4A_hfr1-4_sics1-1_lowR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	1	d	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12344	At_4A_hfr1-4_sics1-1_lowR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179713	8	days	hfr1-4/sics1-1 mutant	  	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	SALK_037727	EFO	EFO_0001354	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_3A_hfr1-4_sics1-1_highR-FR	P-MEXP-9615	none	total RNA	E_3A_hfr1-4_sics1-1_highR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_3A_hfr1-4_sics1-1_highR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_3A_hfr1-4_sics1-1_highR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	0	s	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12342	At_3A_hfr1-4_sics1-1_highR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179716	8	days	hfr1-4/sics1-1 mutant	  	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	SALK_037727	EFO	EFO_0001354	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_4B_hfr1-4_sics1-1_lowR-FR	P-MEXP-9615	none	total RNA	E_4B_hfr1-4_sics1-1_lowR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_4B_hfr1-4_sics1-1_lowR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_4B_hfr1-4_sics1-1_lowR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	1	d	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12345	At_4B_hfr1-4_sics1-1_lowR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179717	8	days	hfr1-5/sics1-2 mutant	  	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	SALK_049497	EFO	EFO_0001326	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_5A_hfr1-5_sics1-2_highR-FR	P-MEXP-9615	none	total RNA	E_5A_hfr1-5_sics1-2_highR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_5A_hfr1-5_sics1-2_highR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_5A_hfr1-5_sics1-2_highR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	0	s	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12346	At_5A_hfr1-5_sics1-2_highR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179712	8	days	wild_type	Columbia-0	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	  	  	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_2B_wt_lowR-FR	P-MEXP-9615	none	total RNA	E_2B_wt_lowR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_2B_wt_lowR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_2B_wt_lowR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	1	d	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12341	At_2B_wt_lowR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:179710	8	days	wild_type	Columbia-0	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	normal	EFO	EFO_0000761	seedling	EFO	EFO_0001992	  	  	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-9651	P-MEXP-9609	21	8	At_seedling_1B_wt_highR-FR	P-MEXP-9615	none	total RNA	E_1B_wt_highR-FR	total_RNA	P-MEXP-9618	biotin	none	7	LABEL_1B_wt_highR-FR	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID_1B_wt_highR-FR	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	low R/FR	µmol m-2s-1	0	s	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.12339	At_1B_wt_highR-FR_ATH1_UR1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-444-processed-data-1343522313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-444/E-MEXP-444.processed.1.zip
