Source Name	Material Type	Characteristics [age]	Unit [time unit]	Characteristics [specimen with known storage state]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [developmental stage]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [infect]	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [max temperature]	Parameter Value [min temperature]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [infect]	Factor Value [time]	Unit [TimeUnit]	Factor Value [genotype]
pad4-avrRps4-3h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	pad4-5	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	P-MEXP-16945	P-MEXP-16944	Soil	23	22	pad4-avrRps4-3h	P-MEXP-16954	total RNA	none	E_pad4-avrRps4-3h	total RNA	P-AFFY-2	ArrayExpress	L_pad4-avrRps4-3h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_pad4-avrRps4-3h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_pad4-avrRps4-3h	pad4-avrRps4-3h-MPIZF_MB_Nr_25_150703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	3	hour	pad4-5
WT-avrRpm1-6h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	wild type genotype	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	P-MEXP-16945	P-MEXP-16944	Soil	23	22	WT-avrRpm1-6h	P-MEXP-16954	total RNA	none	E_WT-avrRpm1-6h	total RNA	P-AFFY-2	ArrayExpress	L_WT-avrRpm1-6h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_WT-avrRpm1-6h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_WT-avrRpm1-6h	WT-avrRpm1-6h-MPIZF_MB_Nr_14_150703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	6	hour	wild type genotype
pad4-avrRpm1-6h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	pad4-5	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	P-MEXP-16945	P-MEXP-16944	Soil	23	22	pad4-avrRpm1-6h	P-MEXP-16954	total RNA	none	E_pad4-avrRpm1-6h	total RNA	P-AFFY-2	ArrayExpress	L_pad4-avrRpm1-6h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_pad4-avrRpm1-6h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_pad4-avrRpm1-6h	pad4-avrRpm1-6h-MPIZF_MB_Nr_18_300703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	6	hour	pad4-5
eds1-avrRpm1-3h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	eds1-1	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	P-MEXP-16945	P-MEXP-16944	Soil	23	22	eds1-avrRpm1-3h	P-MEXP-16954	total RNA	none	E_eds1-avrRpm1-3h	total RNA	P-AFFY-2	ArrayExpress	L_eds1-avrRpm1-3h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_eds1-avrRpm1-3h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_eds1-avrRpm1-3h	eds1-avrRpm1-3h-MPIZF_MB_Nr_15_240703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	3	hour	eds1-1
WT-MgCl2-6h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	wild type genotype	6 Boyes key	leaf	EFO	EFO_0000993	mock	P-MEXP-16945	P-MEXP-16944	Soil	23	22	WT-MgCl2-6h	P-MEXP-16954	total RNA	none	E_WT-MgCl2-6h	total RNA	P-AFFY-2	ArrayExpress	L_WT-MgCl2-6h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_WT-MgCl2-6h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_WT-MgCl2-6h	WT-MgCl2-6h-MPIZF_MB_Nr_6_150703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	mock	6	hour	wild type genotype
pad4-NT-3h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	pad4-5	6 Boyes key	leaf	EFO	EFO_0000993	none	P-MEXP-16945	P-MEXP-16944	Soil	23	22	pad4-NT-3h	P-MEXP-16954	total RNA	none	E_pad4-NT-3h	total RNA	P-AFFY-2	ArrayExpress	L_pad4-NT-3h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_pad4-NT-3h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_pad4-NT-3h	pad4-NT-3h-MPIZF_MB_Nr_3_220703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	none	3	hour	pad4-5
pad4-avrRps4-6h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	pad4-5	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	P-MEXP-16945	P-MEXP-16944	Soil	23	22	pad4-avrRps4-6h	P-MEXP-16954	total RNA	none	E_pad4-avrRps4-6h	total RNA	P-AFFY-2	ArrayExpress	L_pad4-avrRps4-6h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_pad4-avrRps4-6h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_pad4-avrRps4-6h	pad4-avrRps4-6h-MPIZF_MB_Nr_26_150703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	6	hour	pad4-5
eds1-avrRps4-3h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	eds1-1	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	P-MEXP-16945	P-MEXP-16944	Soil	23	22	eds1-avrRps4-3h	P-MEXP-16954	total RNA	none	E_eds1-avrRps4-3h	total RNA	P-AFFY-2	ArrayExpress	L_eds1-avrRps4-3h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_eds1-avrRps4-3h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_eds1-avrRps4-3h	eds1-avrRps4-3h-MPIZF_MB_Nr_23_300703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	3	hour	eds1-1
WT-avrRps4-6h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	wild type genotype	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	P-MEXP-16945	P-MEXP-16944	Soil	23	22	WT-avrRps4-6h	P-MEXP-16954	total RNA	none	E_WT-avrRps4-6h	total RNA	P-AFFY-2	ArrayExpress	L_WT-avrRps4-6h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_WT-avrRps4-6h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_WT-avrRps4-6h	WT-avrRps4-6h-MPIZF_MB_Nr_22_300703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRps4	6	hour	wild type genotype
pad4-avrRpm1-3h	organism part	4	week	frozen specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Wassilewskija-0	pad4-5	6 Boyes key	leaf	EFO	EFO_0000993	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	P-MEXP-16945	P-MEXP-16944	Soil	23	22	pad4-avrRpm1-3h	P-MEXP-16954	total RNA	none	E_pad4-avrRpm1-3h	total RNA	P-AFFY-2	ArrayExpress	L_pad4-avrRpm1-3h	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	H_pad4-avrRpm1-3h	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	H_pad4-avrRpm1-3h	pad4-avrRpm1-3h-MPIZF_MB_Nr_17_300703_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-MEXP-546-processed-data-1343524458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-546/E-MEXP-546.processed.1.zip	Pseudomonas syringae pv tomato (Pst) DC3000 expressing avrRpm1	3	hour	pad4-5
