Source Name	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Individual]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value [media]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Label used]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [organism part]	Term Source REF	Term Accession Number	Factor Value [amount of phosphate in medium]	Factor Value [treatment time]	Unit [TimeUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
medium term transfer RAGU S3	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	medium term transfer RAGU S3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12144	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	medium term transfer RAGU S3	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181577SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181577SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181577SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	low phosphate (0.005 mM)	1 to 2	d	H_SAMPLE181577SUB1764	S3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
short term transfer RAGU3	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	short term transfer RAGU3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-11820	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	short term transfer RAGU3	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181566SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181566SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181566SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	high phosphate (1mM)	3 to 12	h	H_SAMPLE181566SUB1764	Ragu3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
medium term transfer RAGU5	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	medium term transfer RAGU5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12144	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	medium term transfer RAGU5	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181573SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181573SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181573SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	low phosphate (0.005 mM)	1 to 2	d	H_SAMPLE181573SUB1764	Ragu5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
roots 1_-P	root	EFO	EFO_0000989	seedling	EFO	EFO_0001992	roots 1_-P	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12146	P-MEXP-11782	  	roots 1_-P	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181587SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181587SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181587SUB1764	A-AFFY-2	P-AFFY-6	root	EFO	EFO_0000989	low phosphate (0.005 mM)	10	d	H_SAMPLE181587SUB1764	1_rootbis.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
leaves L2	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	leaves L2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12140	P-MEXP-11782	  	leaves L2	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181578SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181578SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181578SUB1764	A-AFFY-2	P-AFFY-6	leaf	EFO	EFO_0000993	high phosphate (1mM)	10	d	H_SAMPLE181578SUB1764	Leaves2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
short term transfer RAGU S2	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	short term transfer RAGU S2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-11820	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	short term transfer RAGU S2	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181570SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181570SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181570SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	high phosphate (1mM)	3 to 12	h	H_SAMPLE181570SUB1764	S2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
medium term transfer RAGU8	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	medium term transfer RAGU8	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12139	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	medium term transfer RAGU8	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181574SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181574SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181574SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	high phosphate (1mM)	1 to 2	d	H_SAMPLE181574SUB1764	Ragu8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
short term transfer RAGU1	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	short term transfer RAGU1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12143	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	short term transfer RAGU1	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181567SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181567SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181567SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	low phosphate (0.005 mM)	3 to 12	h	H_SAMPLE181567SUB1764	Ragu1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
medium term transfer RAGU6	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	medium term transfer RAGU6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12144	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	medium term transfer RAGU6	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181575SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181575SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181575SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	low phosphate (0.005 mM)	1 to 2	d	H_SAMPLE181575SUB1764	Ragu6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
roots 2_+P	root	EFO	EFO_0000989	seedling	EFO	EFO_0001992	roots 2_+P	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12141	P-MEXP-11782	  	roots 2_+P	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181586SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181586SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181586SUB1764	A-AFFY-2	P-AFFY-6	root	EFO	EFO_0000989	high phosphate (1mM)	10	d	H_SAMPLE181586SUB1764	2_rootbis.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
