Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [genetic modification]	Characteristics [genotype]	Comment [biosource type]	Provider	Protocol REF	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [genotype]	Factor Value [organism part]
Flower_ga1-3_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	ga1-3 mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_ga1-3_3	P-MEXP-32164	P-MEXP-32167	E_Flower_ga1-3_3	total RNA	P-MEXP-32168	L_Flower_ga1-3_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hybridization_Flower_ga1-3_3	A-AFFY-2	P-AFFY-6	Hybridization_Flower_ga1-3_3	PJR-ga1-3-180803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	flower bud
Flower_ga1-3_6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	ga1-3 mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_ga1-3_6	P-MEXP-32164	P-MEXP-32167	E_Flower_ga1-3_6	total RNA	P-MEXP-32168	L_Flower_ga1-3_6	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_ga1-3_6	A-AFFY-2	P-AFFY-6	Hybridization_Flower_ga1-3_6	PJR-ga1-3-140104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	flower bud
Flower_ga1-3_4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	ga1-3 mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_ga1-3_4	P-MEXP-32164	P-MEXP-32167	E_Flower_ga1-3_4	total RNA	P-MEXP-32168	L_Flower_ga1-3_4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_ga1-3_4	A-AFFY-2	P-AFFY-6	Hybridization_Flower_ga1-3_4	PJR-ga1-3-131103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	flower bud
Flower_ga1-3_5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	ga1-3 mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_ga1-3_5	P-MEXP-32164	P-MEXP-32167	E_Flower_ga1-3_5	total RNA	P-MEXP-32168	L_Flower_ga1-3_5	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_ga1-3_5	A-AFFY-2	P-AFFY-6	Hybridization_Flower_ga1-3_5	PJR-ga1-3-060104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	flower bud
Flower_ga1-3_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	ga1-3 mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_ga1-3_1	P-MEXP-32164	P-MEXP-32167	Extract_Flower	total RNA	P-MEXP-32168	Labeled extract_Flower	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_ga1-3_1	A-AFFY-2	P-AFFY-6	Hybridization_Flower_ga1-3_1	PJR-7-ga1-3-300403.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	flower bud
Flower_ga1-3_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	ga1-3 mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_ga1-3_2	P-MEXP-32164	P-MEXP-32167	E_Flower_ga1-3_2	total RNA	P-MEXP-32168	L_Flower_ga1-3_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_ga1-3_2	A-AFFY-2	P-AFFY-6	Hybridization_Flower_ga1-3_2	PJR-arab-ga1-3-260603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	ga1-3 mutant	flower bud
Flower_penta_4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	penta mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_penta_4	P-MEXP-32164	P-MEXP-32167	E_Flower_penta_4	total RNA	P-MEXP-32168	L_Flower_penta_4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_penta_4	A-AFFY-2	P-AFFY-6	Hybridization_Flower_penta_4	PJR-Penta-131103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	flower bud
Flower_penta_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	penta mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_penta_3	P-MEXP-32164	P-MEXP-32167	E_Flower_penta_3	total RNA	P-MEXP-32168	L_Flower_penta_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	Hybridization_Flower_penta_3	A-AFFY-2	P-AFFY-6	Hybridization_Flower_penta_3	PJR-penta-180803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	flower bud
Flower_penta_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	penta mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_penta_2	P-MEXP-32164	P-MEXP-32167	E_Flower_penta_2	total RNA	P-MEXP-32168	L_Flower_penta_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_penta_2	A-AFFY-2	P-AFFY-6	Hybridization_Flower_penta_2	PJR-arab-penta-260603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	flower bud
Flower_penta_6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	penta mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_penta_6	P-MEXP-32164	P-MEXP-32167	E_Flower_penta_6	total RNA	P-MEXP-32168	L_Flower_penta_6	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_penta_6	A-AFFY-2	P-AFFY-6	Hybridization_Flower_penta_6	PJR-penta-140104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	flower bud
Flower_penta_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	penta mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_penta_1	P-MEXP-32164	P-MEXP-32167	E_Flower_penta_1	total RNA	P-MEXP-32168	L_Flower_penta_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_penta_1	A-AFFY-2	P-AFFY-6	Hybridization_Flower_penta_1	PJR-5-631-300403.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	flower bud
Flower_penta_5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	gene knock out	penta mutant	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_penta_5	P-MEXP-32164	P-MEXP-32167	E_Flower_penta_5	total RNA	P-MEXP-32168	L_Flower_penta_5	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_penta_5	A-AFFY-2	P-AFFY-6	Hybridization_Flower_penta_5	PJR-Penta-060104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	penta mutant	flower bud
Flower_wt_6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	none	wide type	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_wt_6	P-MEXP-32164	P-MEXP-32167	E_Flower_wt_6	total RNA	P-MEXP-32168	L_Flower_wt_6	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_wt_6	A-AFFY-2	P-AFFY-6	Hybridization_Flower_wt_6	PJR-wt-140104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	flower bud
Flower_wt_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	none	wide type	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_wt_2	P-MEXP-32164	P-MEXP-32167	E_Flower_wt_2	total RNA	P-MEXP-32168	L_Flower_wt_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_wt_2	A-AFFY-2	P-AFFY-6	Hybridization_Flower_wt_2	PJR-arab-WT-260603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	flower bud
Flower_wt_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype	flower bud	none	wide type	frozen sample	Hui Cheng	P-MEXP-32107	P-MEXP-32162	Flower_wt_1	P-MEXP-32164	P-MEXP-32167	E_Flower_wt_1	total RNA	P-MEXP-32168	L_Flower_wt_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Hybridization_Flower_wt_1	A-AFFY-2	P-AFFY-6	Hybridization_Flower_wt_1	PJR-arab-1-WT-290403.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-849/E-MEXP-849.raw.1.zip	wide type	flower bud
