Source Name	Characteristics [age]	Characteristics [individual]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism part]	Characteristics [biosource type]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [growth condition]	Term Source REF	Term Accession Number
jin1-9 MeJA rep3	5 weeks	250	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	jin1-9	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_jin1-9 MeJA rep3	total_RNA	P-AFFY-2	L_jin1-9 MeJA rep3	biotin	unknown	P-MTAB-2458	H_jin1-9 MeJA rep3	A-AFFY-2	P-AFFY-6	affs378-12-250-010905.CEL	affs378-12-250-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	jin1-9	methyl jasmonate 0.1 micromolar	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929
jin1-9 MeJA rep1	5 weeks	234	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	jin1-9	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_jin1-9 MeJA rep1	total_RNA	P-AFFY-2	L_jin1-9 MeJA rep1	biotin	unknown	P-MTAB-2458	H_jin1-9 MeJA rep1	A-AFFY-2	P-AFFY-6	affs378-4-234-010905.CEL	affs378-4-234-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	jin1-9	methyl jasmonate 0.1 micromolar	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929
jin1-9 MeJA rep2	5 weeks	242	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	jin1-9	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_jin1-9 MeJA rep2	total_RNA	P-AFFY-2	L_jin1-9 MeJA rep2	biotin	unknown	P-MTAB-2458	H_jin1-9 MeJA rep2	A-AFFY-2	P-AFFY-6	affs378-8-242-010905.CEL	affs378-8-242-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	jin1-9	methyl jasmonate 0.1 micromolar	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929
jin1-9 mock rep1	5 weeks	232	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	jin1-9	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_jin1-9 mock rep1	total_RNA	P-AFFY-2	L_jin1-9 mock rep1	biotin	unknown	P-MTAB-2458	H_jin1-9 mock rep1	A-AFFY-2	P-AFFY-6	affs378-2-232-010905.CEL	affs378-2-232-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	jin1-9	none	  	  
jin1-9 mock rep2	5 weeks	240	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	jin1-9	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_jin1-9 mock rep2	total_RNA	P-AFFY-2	L_jin1-9 mock rep2	biotin	unknown	P-MTAB-2458	H_jin1-9 mock rep2	A-AFFY-2	P-AFFY-6	affs378-6-240-010905.CEL	affs378-6-240-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	jin1-9	none	  	  
jin1-9 mock rep3	5 weeks	248	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	jin1-9	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_jin1-9 mock rep3	total_RNA	P-AFFY-2	L_jin1-9 mock rep3	biotin	unknown	P-MTAB-2458	H_jin1-9 mock rep3	A-AFFY-2	P-AFFY-6	affs378-10-248-010905.CEL	affs378-10-248-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	jin1-9	none	  	  
Col-0 MeJA rep3	5 weeks	249	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_Col-0 MeJA rep3	total_RNA	P-AFFY-2	L_Col-0 MeJA rep3	biotin	unknown	P-MTAB-2458	H_Col-0 MeJA rep3	A-AFFY-2	P-AFFY-6	affs378-11-249-010905.CEL	affs378-11-249-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	wild type	methyl jasmonate 0.1 micromolar	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929
Col-0 MeJA rep1	5 weeks	233	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_Col-0 MeJA rep1	total_RNA	P-AFFY-2	L_Col-0 MeJA rep1	biotin	unknown	P-MTAB-2458	H_Col-0 MeJA rep1	A-AFFY-2	P-AFFY-6	affs378-3-233-010905.CEL	affs378-3-233-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	wild type	methyl jasmonate 0.1 micromolar	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929
Col-0 MeJA rep2	5 weeks	241	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_Col-0 MeJA rep2	total_RNA	P-AFFY-2	L_Col-0 MeJA rep2	biotin	unknown	P-MTAB-2458	H_Col-0 MeJA rep2	A-AFFY-2	P-AFFY-6	affs378-7-241-010905.CEL	affs378-7-241-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	wild type	methyl jasmonate 0.1 micromolar	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929
Col-0 mock rep2	5 weeks	239	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	above ground tissue plus roots	frozen_sample	P-MTAB-2461	P-MTAB-2459	P-MTAB-2460	P-MTAB-2457	E_Col-0 mock rep2	total_RNA	P-AFFY-2	L_Col-0 mock rep2	biotin	unknown	P-MTAB-2458	H_Col-0 mock rep2	A-AFFY-2	P-AFFY-6	affs378-5-239-010905.CEL	affs378-5-239-010905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.raw.1.zip	P-MTAB-2462	brunodombrecht_rawvalues_RMA.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-883/E-MEXP-883.processed.1.zip	wild type	none	  	  
