Source Name	Characteristics [organism]	Characteristics [ecotype]	Characteristics[age]	Unit[time unit]	Characteristics [organism part]	Characteristics[growth condition]	Comment[growth condition]	Comments[age exp begin]	Comment [date exp begin]	Material Type	Protocol REF	Sample Name	Description	Protocol REF	Parameter Value[RNA quality RIN]	Performer	Extract Name 	Material Type	Protocol REF	Performer	Parameter Value [system used]	Parameter Value [amount of RNA used]	Protocol REF	Parameter Value[system used]	Parameter Value[cDNA MassUnit]	Performer	Labeled Extract Name	Label	Protocol REF 	Parameter Value[hyb temp] 	Parameter Value[hyb duration]	Hybridization Name	Array Design REF 	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF 	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism part]	FactorValue [growth condition]
FLTAGES2	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	FLTAGES2	FLIGHT TAGES 2B plate2	P-MTAB-28102	RIN	Zupanska A.	FLTAGES2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	FLTAGES2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8311_FLTAGES2_25_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8311_FLTAGES2_25_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	TAGESMAS5.TXT	TAGESMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	spaceflight environment
FLTAGES4	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	FLTAGES4	FLIGHT TAGES 2B plate4	P-MTAB-28102	RIN	Zupanska A.	FLTAGES4	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	FLTAGES4	biotin	P-MTAB-28105	45 degrees_C	16 hour	8313_FLTAGES4_27_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8313_FLTAGES4_27_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	TAGESMAS5.TXT	TAGESMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	spaceflight environment
FLTAGES6	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	FLTAGES6	FLIGHT TAGES 2B plate6	P-MTAB-28102	RIN	Zupanska A.	FLTAGES6	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	FLTAGES6	biotin	P-MTAB-28105	45 degrees_C	16 hour	8315_FLTAGES6_29_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8315_FLTAGES6_29_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	TAGESMAS5.TXT	TAGESMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	spaceflight environment
GCTAGES2	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	GCTAGES2	GROUND CONTROL TAGES 2B plate2	P-MTAB-28102	RIN	Zupanska A.	GCTAGES2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	GCTAGES2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8312_GCTAGES2_26_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8312_GCTAGES2_26_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	TAGESMAS5.TXT	TAGESMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	ground control
GCTAGES4	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	GCTAGES4	GROUND CONTROL TAGES 2B plate4	P-MTAB-28102	RIN	Zupanska A.	GCTAGES4	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	GCTAGES4	biotin	P-MTAB-28105	45 degrees_C	16 hour	8314_GCTAGES4_28_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8314_GCTAGES4_28_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	TAGESMAS5.TXT	TAGESMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	ground control
GCTAGES6	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	GCTAGES6	GROUND CONTROL TAGES 2B plate6	P-MTAB-28102	RIN	Zupanska A.	GCTAGES6	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	GCTAGES6	biotin	P-MTAB-28105	45 degrees_C	16 hour	8316_GCTAGES6_30_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8316_GCTAGES6_30_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	TAGESMAS5.TXT	TAGESMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	ground control
F2S1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F2S1	FLIGHT TAGES 2B plate2 SHOOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	F2S1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F2S1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8410_Ferl_Paul_F2S1_(ATH1-121501).CEL	A-AFFY-2	8410_Ferl_Paul_F2S1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	spaceflight environment
F4S1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F4S1	FLIGHT TAGES 2B plate4 SHOOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	F4S1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F4S1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8411_Ferl_Paul_F4S1_(ATH1-121501).CEL	A-AFFY-2	8411_Ferl_Paul_F4S1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	spaceflight environment
F4S2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F4S2	FLIGHT TAGES 2B plate4 SHOOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	F4S2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F4S2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8412_Ferl_Paul_F4S2_(ATH1-121501).CEL	A-AFFY-2	8412_Ferl_Paul_F4S2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	spaceflight environment
F6S1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F6S1	FLIGHT TAGES 2B plate6 SHOOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	F6S1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F6S1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8413_Ferl_Paul_F6S1_(ATH1-121501).CEL	A-AFFY-2	8413_Ferl_Paul_F6S1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	spaceflight environment
