Source Name	Material Type	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value[genotype]	Factor Value[environmental stress]
Col0-normal-normal-1	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-normal-normal-1	P-MTAB-29422	Col0-normal-normal-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-normal-normal-1	A-AFFY-2	ArrayExpress	Col0-normal-normal-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	control
Col0-normal-normal-2	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-normal-normal-2	P-MTAB-29422	Col0-normal-normal-2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-normal-normal-2	A-AFFY-2	ArrayExpress	Col0-normal-normal-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	control
Col0-normal-normal-3	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-normal-normal-3	P-MTAB-29422	Col0-normal-normal-3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-normal-normal-3	A-AFFY-2	ArrayExpress	Col0-normal-normal-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	control
Col0-normal-high-1	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-normal-high-1	P-MTAB-29422	Col0-normal-high-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-normal-high-1	A-AFFY-2	ArrayExpress	Col0-normal-high-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	high light 
Col0-normal-high-2	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-normal-high-2	P-MTAB-29422	Col0-normal-high-2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-normal-high-2	A-AFFY-2	ArrayExpress	Col0-normal-high-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	high light 
Col0-normal-high-3	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-normal-high-3	P-MTAB-29422	Col0-normal-high-3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-normal-high-3	A-AFFY-2	ArrayExpress	Col0-normal-high-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	high light 
Col0-low-low-1	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-low-low-1	P-MTAB-29422	Col0-low-low-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-low-low-1	A-AFFY-2	ArrayExpress	Col0-low-low-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	low light
Col0-low-low-2	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-low-low-2	P-MTAB-29422	Col0-low-low-2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-low-low-2	A-AFFY-2	ArrayExpress	Col0-low-low-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	low light
Col0-low-low-3	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-low-low-3	P-MTAB-29422	Col0-low-low-3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-low-low-3	A-AFFY-2	ArrayExpress	Col0-low-low-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	low light
Col0-low-high-1	whole organism	Arabidopsis thaliana	Col-0	wild type	whole organism	P-MTAB-29418	P-MTAB-29419	P-MTAB-29420	Col0-low-high-1	P-MTAB-29422	Col0-low-high-1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col0-low-high-1	A-AFFY-2	ArrayExpress	Col0-low-high-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.raw.1.zip	P-MTAB-29421	DataDietz-lightshift-2012.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1344/E-MTAB-1344.processed.1.zip	wild type	from low light to high light 
