Source Name	Characteristics[organism]	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[genotype]	Provider	Comment [biosource type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue[compound]	Factor Value [time]	Unit[time unit]
CPIB_IAATC_rootplate_1	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29505	P-MTAB-29509	CPIB_IAATC_RNA_1	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_1.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_1	A-AFFY-2	P-MTAB-29512	Holman_535_001_WT_0mins_MS_control_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	control	0	minute
CPIB_IAATC_rootplate_2	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29505	P-MTAB-29509	CPIB_IAATC_RNA_2	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_2.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_2	A-AFFY-2	P-MTAB-29512	Holman_535_002_WT_0mins_MS_control_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	control	0	minute
CPIB_IAATC_rootplate_3	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29505	P-MTAB-29509	CPIB_IAATC_RNA_3	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_3.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_3	A-AFFY-2	P-MTAB-29512	Holman_535_003_WT_0mins_MS_control_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	control	0	minute
CPIB_IAATC_rootplate_4	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29505	P-MTAB-29509	CPIB_IAATC_RNA_4	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_4.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_4	A-AFFY-2	P-MTAB-29512	Holman_535_004_WT_15mins_MS_control_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	control	15	minute
CPIB_IAATC_rootplate_5	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29505	P-MTAB-29509	CPIB_IAATC_RNA_5	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_5.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_5	A-AFFY-2	P-MTAB-29512	Holman_535_005_WT_15mins_MS_control_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	control	15	minute
CPIB_IAATC_rootplate_6	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29505	P-MTAB-29509	CPIB_IAATC_RNA_6	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_6.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_6	A-AFFY-2	P-MTAB-29512	Holman_535_006_WT_15mins_MS_control_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	control	15	minute
CPIB_IAATC_rootplate_7	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29506	P-MTAB-29509	CPIB_IAATC_RNA_7	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_7.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_7	A-AFFY-2	P-MTAB-29512	Holman_535_007_WT_15mins_MS_IAA_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	indole-3-acetic acid	15	minute
CPIB_IAATC_rootplate_8	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29506	P-MTAB-29509	CPIB_IAATC_RNA_8	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_8.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_8	A-AFFY-2	P-MTAB-29512	Holman_535_008_WT_15mins_MS_IAA_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	indole-3-acetic acid	15	minute
CPIB_IAATC_rootplate_9	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29506	P-MTAB-29509	CPIB_IAATC_RNA_9	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_9.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_9	A-AFFY-2	P-MTAB-29512	Holman_535_009_WT_15mins_MS_IAA_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	indole-3-acetic acid	15	minute
CPIB_IAATC_rootplate_10	Arabidopsis thaliana	Col-0	seedling	root meristem	wild type	Nottingham Arabidopsis Stock Centre	fresh sample	P-MTAB-29504	P-MTAB-29505	P-MTAB-29509	CPIB_IAATC_RNA_10	RNA	P-MTAB-29510	CPIB_IAATC_Labeled_Extract_10.biotin	biotin	P-MTAB-29511	CPIB_IAATC_Hybridization_10	A-AFFY-2	P-MTAB-29512	Holman_535_010_WT_30mins_MS_control_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1354/E-MTAB-1354.raw.1.zip	wild type	root meristem	control	30	minute
