Source Name	Material Type	Provider	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[specimen with known storage state]	Characteristics[organism part]	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[growth condition]
LL_1	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	LL_1	total RNA	P-MTAB-35066	LL_1	biotin	P-AFFY-3	ArrayExpress	LL_1	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	LL_1.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	continuous W light
LL_2	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	LL_2	total RNA	P-MTAB-35066	LL_2	biotin	P-AFFY-3	ArrayExpress	LL_2	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	LL_2.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	continuous W light
D_L_1	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	D_L_1	total RNA	P-MTAB-35066	D_L_1	biotin	P-AFFY-3	ArrayExpress	D_L_1	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	D_L_1.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	covered apex under continuous W light
D_L_2	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	D_L_2	total RNA	P-MTAB-35066	D_L_2	biotin	P-AFFY-3	ArrayExpress	D_L_2	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	D_L_2.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	covered apex under continuous W light
D_L_3	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	D_L_3	total RNA	P-MTAB-35066	D_L_3	biotin	P-AFFY-3	ArrayExpress	D_L_3	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	D_L_3.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	covered apex under continuous W light
DD_1	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	DD_1	total RNA	P-MTAB-35066	DD_1	biotin	P-AFFY-3	ArrayExpress	DD_1	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	DD_1.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	continuous dark
DD_2	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	DD_2	total RNA	P-MTAB-35066	DD_2	biotin	P-AFFY-3	ArrayExpress	DD_2	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	DD_2.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	continuous dark
DD_3	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	DD_3	total RNA	P-MTAB-35066	DD_3	biotin	P-AFFY-3	ArrayExpress	DD_3	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	DD_3.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	continuous dark
D_cR_1	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	D_cR_1	total RNA	P-MTAB-35066	D_cR_1	biotin	P-AFFY-3	ArrayExpress	D_cR_1	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	D_cR_1.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	covered apex under continuous R light
D_cR_2	organism part	Dr. Tien-Shin Yu's lab, Academia sinica, Taiwan	Arabidopsis thaliana	flowering 	fresh specimen	apex	Columbia ecotype	P-MTAB-35063	P-MTAB-35064	P-MTAB-35065	D_cR_2	total RNA	P-MTAB-35066	D_cR_2	biotin	P-AFFY-3	ArrayExpress	D_cR_2	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	D_cR_2.CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1921/E-MTAB-1921.raw.1.zip	covered apex under continuous R light
