Source Name	Material Type	Provider	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[genotype]	FactorValue[growth condition]	Factor Value[time]	Unit[time unit]
sample_1	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	wild type	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	Col 0hr rep1	RNA	P-MTAB-37446	593-1	biotin	P-AFFY-3	ArrayExpress	assay 593-1	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-1_Col_0h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	wild type	control	0	hour
sample_2	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	wild type	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	Col 0hr rep2	RNA	P-MTAB-37446	593-2	biotin	P-AFFY-3	ArrayExpress	assay 593-2	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-2_Col_0h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	wild type	control	0	hour
sample_3	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	wild type	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	Col 0hr rep3	RNA	P-MTAB-37446	593-3	biotin	P-AFFY-3	ArrayExpress	assay 593-3	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-3_Col_0h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	wild type	control	0	hour
sample_4	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	wild type	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	Col 6hr rep1	RNA	P-MTAB-37446	593-7	biotin	P-AFFY-3	ArrayExpress	assay 593-7	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-7_Col_6h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	wild type	glucose	6	hour
sample_5	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	wild type	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	Col 6hr rep2	RNA	P-MTAB-37446	593-8	biotin	P-AFFY-3	ArrayExpress	assay 593-8	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-8_Col_6h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	wild type	glucose	6	hour
sample_6	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	wild type	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	Col 6hr rep3	RNA	P-MTAB-37446	593-9	biotin	P-AFFY-3	ArrayExpress	assay 593-9	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-9_Col_6h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	wild type	glucose	6	hour
sample_7	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	pft1 mutant	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	pft1 0hr rep1	RNA	P-MTAB-37446	593-4	biotin	P-AFFY-3	ArrayExpress	assay 593-4	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-4_pft1_0h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	pft1 mutant	control	0	hour
sample_8	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	pft1 mutant	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	pft1 0hr rep2	RNA	P-MTAB-37446	593-5	biotin	P-AFFY-3	ArrayExpress	assay 593-5	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-5_pft1_0h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	pft1 mutant	control	0	hour
sample_9	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	pft1 mutant	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	pft1 0hr rep3	RNA	P-MTAB-37446	593-6	biotin	P-AFFY-3	ArrayExpress	assay 593-6	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-6_pft1_0h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	pft1 mutant	control	0	hour
sample_10	whole organism	Bevan Lab JIC	Arabidopsis thaliana	Columbia	pft1 mutant	seedling	whole organism	8	day	P-MTAB-37443	P-MTAB-37444	P-MTAB-37445	pft1 6hr rep1	RNA	P-MTAB-37446	593-10	biotin	P-AFFY-3	ArrayExpress	assay 593-10	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	SEGUELA_593-10_pft1_6h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2297/E-MTAB-2297.raw.1.zip	pft1 mutant	glucose	6	hour
