Source Name	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[growth condition]	Factor Value[compound]	Factor Value[dose]	Unit[concentration]	Factor Value[time]	Unit[time unit]
HS_HL30b_totalRNA_02_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_HL30b_totalRNA_02_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_HL30b_totalRNA_02_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_HL30b_totalRNA_02_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_HL30b_totalRNA_02_ATH1_08152006.CEL	HS_HL30b_totalRNA_02_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	excess light	none	  	  	0.5	hour
HS_HL30c_totalRNA_03_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_HL30c_totalRNA_03_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_HL30c_totalRNA_03_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_HL30c_totalRNA_03_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_HL30c_totalRNA_03_ATH1_08152006.CEL	HS_HL30c_totalRNA_03_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	excess light	none	  	  	0.5	hour
HS_HL30a_totalRNA_01_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_HL30a_totalRNA_01_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_HL30a_totalRNA_01_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_HL30a_totalRNA_01_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_HL30a_totalRNA_01_ATH1_08152006.CEL	HS_HL30a_totalRNA_01_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	excess light	none	  	  	0.5	hour
HS_HL2ha_totalRNA_01_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_HL2ha_totalRNA_01_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_HL2ha_totalRNA_01_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_HL2ha_totalRNA_01_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_HL2ha_totalRNA_01_ATH1_08152006.CEL	HS_HL2ha_totalRNA_01_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	excess light	none	  	  	2	hour
HS_HL2hc_totalRNA_03_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_HL2hc_totalRNA_03_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_HL2hc_totalRNA_03_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_HL2hc_totalRNA_03_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_HL2hc_totalRNA_03_ATH1_08152006.CEL	HS_HL2hc_totalRNA_03_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	excess light	none	  	  	2	hour
HS_HL2hb_totalRNA_02_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_HL2hb_totalRNA_02_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_HL2hb_totalRNA_02_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_HL2hb_totalRNA_02_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_HL2hb_totalRNA_02_ATH1_08152006.CEL	HS_HL2hb_totalRNA_02_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	excess light	none	  	  	2	hour
HS_DB30b_totalRNA_02_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_DB30b_totalRNA_02_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_DB30b_totalRNA_02_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_DB30b_totalRNA_02_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_DB30b_totalRNA_02_ATH1_08152006.CEL	HS_DB30b_totalRNA_02_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	low light	DBMIB	24	micromolar	0.5	hour
HS_DB30c_totalRNA_03_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_DB30c_totalRNA_03_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_DB30c_totalRNA_03_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_DB30c_totalRNA_03_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_DB30c_totalRNA_03_ATH1_08152006.CEL	HS_DB30c_totalRNA_03_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	low light	DBMIB	24	micromolar	0.5	hour
HS_DB30a_totalRNA_01_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_DB30a_totalRNA_01_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_DB30a_totalRNA_01_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_DB30a_totalRNA_01_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_DB30a_totalRNA_01_ATH1_08152006.CEL	HS_DB30a_totalRNA_01_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	low light	DBMIB	24	micromolar	0.5	hour
HS_DB2hc_totalRNA_03_ATH1_08152006	3.5	week	planting	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17302	HS_DB2hc_totalRNA_03_ATH1_08152006	polyA_RNA	P-AFFY-2	HS_DB2hc_totalRNA_03_ATH1_08152006	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	HS_DB2hc_totalRNA_03_ATH1_08152006	A-AFFY-2	P-AFFY-6	HS_DB2hc_totalRNA_03_ATH1_08152006.CEL	HS_DB2hc_totalRNA_03_ATH1_08152006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-403/E-MTAB-403.raw.1.zip	low light	DBMIB	24	micromolar	2	hour
