Source Name	Characteristics[organism]	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[environmental history]	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[environmental history]
01_Ler_dry1	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	wild type genotype	2 weeks dry after-ripening	whole organism	Ler wt dry, rep 1	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	01_Ler_dry1	P-MTAB-69120	01_Ler_dry1:biotin	biotin	P-MTAB-69121	01_Ler_dry1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	01_Ler_dry1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	01_Ler_dry1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	wild type genotype	2 weeks dry after-ripening
02_Ler_dry2	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	wild type genotype	2 weeks dry after-ripening	whole organism	Ler wt dry, rep 2	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	02_Ler_dry2	P-MTAB-69120	02_Ler_dry2:biotin	biotin	P-MTAB-69121	02_Ler_dry2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	02_Ler_dry2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	02_Ler_dry2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	wild type genotype	2 weeks dry after-ripening
03_Ler_dry3	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	wild type genotype	2 weeks dry after-ripening	whole organism	Ler wt dry, rep 3	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	03_Ler_dry3	P-MTAB-69120	03_Ler_dry3:biotin	biotin	P-MTAB-69121	03_Ler_dry3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	03_Ler_dry3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	03_Ler_dry3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	wild type genotype	2 weeks dry after-ripening
04_sly1_2D_dry1	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	sly1-2 mutant	2 weeks dry after-ripening	whole organism	sly1-2(D) dry, rep 1	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	04_sly1_2D_dry1	P-MTAB-69120	04_sly1_2D_dry1:biotin	biotin	P-MTAB-69121	04_sly1_2D_dry1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	04_sly1_2D_dry1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	04_sly1_2D_dry1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening
05_sly1_2D_dry2	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	sly1-2 mutant	2 weeks dry after-ripening	whole organism	sly1-2(D) dry, rep 2	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	05_sly1_2D_dry2	P-MTAB-69120	05_sly1_2D_dry2:biotin	biotin	P-MTAB-69121	05_sly1_2D_dry2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	05_sly1_2D_dry2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	05_sly1_2D_dry2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening
06_sly1_2D_dry3	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	sly1-2 mutant	2 weeks dry after-ripening	whole organism	sly1-2(D) dry, rep 3	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	06_sly1_2D_dry3	P-MTAB-69120	06_sly1_2D_dry3:biotin	biotin	P-MTAB-69121	06_sly1_2D_dry3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	06_sly1_2D_dry3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	06_sly1_2D_dry3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening
07_sly1_2AR_dry1	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	sly1-2 mutant	19 months dry after-ripening	whole organism	sly1-2(AR) dry, rep 1	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	07_sly1_2AR_dry1	P-MTAB-69120	07_sly1_2AR_dry1:biotin	biotin	P-MTAB-69121	07_sly1_2AR_dry1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	07_sly1_2AR_dry1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	07_sly1_2AR_dry1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	sly1-2 mutant	19 months dry after-ripening
08_sly1_2AR_dry2	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	sly1-2 mutant	19 months dry after-ripening	whole organism	sly1-2(AR) dry, rep 2	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	08_sly1_2AR_dry2	P-MTAB-69120	08_sly1_2AR_dry2:biotin	biotin	P-MTAB-69121	08_sly1_2AR_dry2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	08_sly1_2AR_dry2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	08_sly1_2AR_dry2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	sly1-2 mutant	19 months dry after-ripening
09_sly1_2AR_dry3	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	sly1-2 mutant	19 months dry after-ripening	whole organism	sly1-2(AR) dry, rep 3	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	09_sly1_2AR_dry3	P-MTAB-69120	09_sly1_2AR_dry3:biotin	biotin	P-MTAB-69121	09_sly1_2AR_dry3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	09_sly1_2AR_dry3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	09_sly1_2AR_dry3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	sly1-2 mutant	19 months dry after-ripening
10_sly1_2GID1b_dry1	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	whole organism	sly1-2 GID1b-OE dry, rep 1	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	10_sly1_2GID1b_dry1	P-MTAB-69120	10_sly1_2GID1b_dry1:biotin	biotin	P-MTAB-69121	10_sly1_2GID1b_dry1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	10_sly1_2GID1b_dry1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	10_sly1_2GID1b_dry1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening
11_sly1_2GID1b_dry2	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	whole organism	sly1-2 GID1b-OE dry, rep 2	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	11_sly1_2GID1b_dry2	P-MTAB-69120	11_sly1_2GID1b_dry2:biotin	biotin	P-MTAB-69121	11_sly1_2GID1b_dry2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	11_sly1_2GID1b_dry2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	11_sly1_2GID1b_dry2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening
12_sly1_2GID1b_dry3	Arabidopsis thaliana	Landsberg erecta	seed	dry seed stage	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening	whole organism	sly1-2 GID1b-OE dry, rep 3	P-MTAB-69118	Sven K Nelson	P-MTAB-69119	Sven K Nelson	12_sly1_2GID1b_dry3	P-MTAB-69120	12_sly1_2GID1b_dry3:biotin	biotin	P-MTAB-69121	12_sly1_2GID1b_dry3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-69122	12_sly1_2GID1b_dry3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.raw.1.zip	P-MTAB-69123	Sven K Nelson	12_sly1_2GID1b_dry3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6135/E-MTAB-6135.processed.1.zip	GID1b over expression in sly1-2 mutant	2 weeks dry after-ripening
