Source Name	Characteristics [Ecotype]	Characteristics [CellLine]	Term Source REF	Characteristics [DevelopmentalStage]	Characteristics [Organism]	Term Source REF	Characteristics [StrainOrLine]	Characteristics [GeneticModification]	Term Source REF	Protocol REF	Parameter Value [location]	Parameter Value [Water]	Parameter Value [Medium]	Parameter Value [Lighting]	Parameter Value [Temperature]	Parameter Value [Humidity]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
Buchanan-Wollaston_A-2-bwoll-C5G_SRC	Columbia-5	NASC_N1644	nasc	3.90 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:270	Growth Room	as needed	compost	12h day	18	  	Buchanan-Wollaston_A-2-bwoll-C5G_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690542	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-2-bwoll-C5G_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A2-Bwoll-C5G	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A2-Bwoll-C5G	E-NASC-17-raw-data-352690776.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-5-bwoll-NG1_SRC	Columbia	  	  	6 Boyes key	Arabidopsis thaliana	ncbitax	NahG	gene_knock_in	The MGED Ontology	NASCGrowProt:273	Growth Room	as needed	compost	12h day	18	not controlled	Buchanan-Wollaston_A-5-bwoll-NG1_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690566	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-5-bwoll-NG1_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A5-Bwoll-NG1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A5-Bwoll-NG1	E-NASC-17-raw-data-352690830.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-4-bwoll-C5S_SRC	Columbia-0	NASC_N1644	nasc	6 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:272	Growth Room	as needed	compost	12h day	18	not controlled	Buchanan-Wollaston_A-4-bwoll-C5S_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690558	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-4-bwoll-C5S_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A4-Bwoll-CSS	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A4-Bwoll-CSS	E-NASC-17-raw-data-352690812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-10-bwoll-Coi1-2_SRC	Columbia	NASC_N3071	nasc	6 Boyes key	Arabidopsis thaliana	ncbitax	Coi1	Coi1 transgenic	  	NASCGrowProt:683	Growth Room	as needed	compost	12h day	18	not controlled	Buchanan-Wollaston_A-10-bwoll-Coi1-2_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690606	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-10-bwoll-Co2_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A10-Bwoll-Col2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A10-Bwoll-Col2	E-NASC-17-raw-data-352690740.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-9-bwoll-Coi1-1_SRC	Columbia	NASC_N3071	nasc	6 Boyes key	Arabidopsis thaliana	ncbitax	Coi1	Coi1 transgenic	  	NASCGrowProt:277	Growth Room	as needed	compost	12h day	18	not controlled	Buchanan-Wollaston_A-9-bwoll-Coi1-1_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690598	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-9-bwoll-Co1_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A9-Bwoll-Col1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A9-Bwoll-Col1	E-NASC-17-raw-data-352690902.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-5-bwoll-NG2_SRC	Columbia	  	  	6 Boyes key	Arabidopsis thaliana	ncbitax	NahG	gene_knock_in	The MGED Ontology	NASCGrowProt:274	Growth Room	as needed	compost	12h day	18	not controlled	Buchanan-Wollaston_A-5-bwoll-NG2_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690574	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-6-bwoll-NG2_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A6-Bwoll-NG2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A6-Bwoll-NG2	E-NASC-17-raw-data-352690848.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-3-bwoll-C0S_SRC	Columbia-0	NASC_N933	nasc	6 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:271	Growth Room	as needed	compost	12h day	18	  	Buchanan-Wollaston_A-3-bwoll-C0S_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690550	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-3-bwoll-C0S_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A3-Bwoll-COS	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A3-Bwoll-COS	E-NASC-17-raw-data-352690794.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-7-bwoll-Ein2-1_SRC	Columbia	NASC_N3071	nasc	6 Boyes key	Arabidopsis thaliana	ncbitax	Ein2	gene_knock_in	The MGED Ontology	NASCGrowProt:275	Growth Room	as needed	compost	12h day	18	not controlled	Buchanan-Wollaston_A-7-bwoll-Ein2-1_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690582	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-7-bwoll-Ei1_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A7-Bwoll-E11	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A7-Bwoll-E11	E-NASC-17-raw-data-352690866.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-8-bwoll-Ein2-2_SRC	Columbia	  	  	6 Boyes key	Arabidopsis thaliana	ncbitax	Ein2	gene_knock_in	The MGED Ontology	NASCGrowProt:276	Growth Room	as needed	compost	12h day	18	not controlled	Buchanan-Wollaston_A-8-bwoll-Ein2-2_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690590	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-8-bwoll-Ei2_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A8-Bwoll-E12	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A8-Bwoll-E12	E-NASC-17-raw-data-352690884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
Buchanan-Wollaston_A-1-bwoll-C0G_SRC	Columbia-0	NASC_N933	nasc	3.90 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	NASCGrowProt:269	Growth Room	as needed	compost	12h day	18	  	Buchanan-Wollaston_A-1-bwoll-C0G_SRC	fully expanded leaves	fully expanded leaves	NASCExtractProtocol:10	352690534	total_RNA	NASCLabelProtocol:1	Buchanan-Wollaston_A-1-bwoll-C0G_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	VB001_ATH1_A1-Bwoll-COG	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	VB001_ATH1_A1-Bwoll-COG	E-NASC-17-raw-data-352690758.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636	Affymetrix:Protocol:ExpressionStat	E-NASC-17-processed-data-1342052867.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-17/E-NASC-17.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=352691636
