Source Name	Characteristics [Age]	Characteristics [InitialTimePoint]	Characteristics [Ecotype]	Term Source REF	Characteristics [CellLine]	Term Source REF	Characteristics [Organism]	Term Source REF	Characteristics [StrainOrLine]	Protocol REF	Parameter Value [Lighting]	Parameter Value [Humidity]	Parameter Value [Temperature]	Parameter Value [Atmosphere]	Parameter Value [location]	Parameter Value [Nutrients]	Parameter Value [Medium]	Sample Name	Characteristics [OrganismPart]	Term Source REF	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
De Grauwe_1-4_GA4-Col0-1hr_Rep3_ATH1	14 days	sowing	Columbia-0	nasc	NASC_N1092	nasc	Arabidopsis thaliana	ncbitax	  	NASCGrowProt:935	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-4_GA4-Col0-1hr_Rep3_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956553	total_RNA	NASCLabelProtocol:1	De Grauwe_1-4_GA4-Col0-1hr_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV001_ATH1_A4-degra-Cg1_repeat2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV001_ATH1_A4-degra-Cg1_repeat2	E-NASC-20-raw-data-360954862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-9_GA4-etr1-1hr_Rep2_ATH1	14 days	sowing	Columbia	  	NASC_N237	nasc	Arabidopsis thaliana	ncbitax	etr1-1	NASCGrowProt:938	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-9_GA4-etr1-1hr_Rep2_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956577	total_RNA	NASCLabelProtocol:1	De Grauwe_1-9_GA4-etr1-1hr_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV002_ATH1_A9-degra-Eg1b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV002_ATH1_A9-degra-Eg1b	E-NASC-20-raw-data-360955096.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-2_water-Col0-1hr_Rep1_ATH1	14 days	sowing	Columbia-0	nasc	NASC_N1092	nasc	Arabidopsis thaliana	ncbitax	  	NASCSampleTreatmentProt:486	  	  	  	  	  	  	  	De Grauwe_1-2_water-Col0-1hr_Rep1_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956457	total_RNA	NASCLabelProtocol:1	De Grauwe_1-2_water-Col0-1hr_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV002_ATH1_A2-degra-Cc1a	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV002_ATH1_A2-degra-Cc1a	E-NASC-20-raw-data-360954970.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-1_water-Col0-0hr_Rep1_ATH1	14 days	sowing	Columbia-0	nasc	NASC_N1092	nasc	Arabidopsis thaliana	ncbitax	  	NASCSampleTreatmentProt:485	  	  	  	  	  	  	  	De Grauwe_1-1_water-Col0-0hr_Rep1_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956449	total_RNA	NASCLabelProtocol:1	De Grauwe_1-1_water-Col0-0hr_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV001_ATH1_A1-degra-Cc0_repeat	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV001_ATH1_A1-degra-Cc0_repeat	E-NASC-20-raw-data-360954808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-4_GA4-Col0-1hr_Rep2_ATH1	14 days	sowing	Columbia-0	nasc	NASC_N1092	nasc	Arabidopsis thaliana	ncbitax	  	NASCGrowProt:934	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-4_GA4-Col0-1hr_Rep2_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956545	total_RNA	NASCLabelProtocol:1	De Grauwe_1-4_GA4-Col0-1hr_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV002_ATH1_A4-degra-Cg1b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV002_ATH1_A4-degra-Cg1b	E-NASC-20-raw-data-360955024.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-7_water-etr1-1hr_Rep3_ATH1	14 days	sowing	Columbia	  	NASC_N237	nasc	Arabidopsis thaliana	ncbitax	etr1-1	NASCGrowProt:937	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-7_water-etr1-1hr_Rep3_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956569	total_RNA	NASCLabelProtocol:1	De Grauwe_1-7_water-etr1-1hr_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV001_ATH1_A7-degra-Ec1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV001_ATH1_A7-degra-Ec1	E-NASC-20-raw-data-360954916.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-3_GA4-Col0-30min_Rep1_ATH1	14 days	sowing	Columbia-0	nasc	NASC_N1092	nasc	Arabidopsis thaliana	ncbitax	  	NASCGrowProt:487	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-3_GA4-Col0-30min_Rep1_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956465	total_RNA	NASCLabelProtocol:1	De Grauwe_1-3_GA4-Col0-30min_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV001_ATH1_A3-degra-Cgh_repeat2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV001_ATH1_A3-degra-Cgh_repeat2	E-NASC-20-raw-data-360954844.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-5_GA4-Col0-3hr_Rep1_ATH1	14 days	sowing	Columbia-0	nasc	NASC_N1092	nasc	Arabidopsis thaliana	ncbitax	  	NASCGrowProt:489	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-5_GA4-Col0-3hr_Rep1_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956481	total_RNA	NASCLabelProtocol:1	De Grauwe_1-5_GA4-Col0-3hr_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV001_ATH1_A5-degra-Cg3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV001_ATH1_A5-degra-Cg3	E-NASC-20-raw-data-360954880.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-7_water-etr1-1hr_Rep1_ATH1	14 days	sowing	Columbia	  	NASC_N237	nasc	Arabidopsis thaliana	ncbitax	etr1-1	NASCGrowProt:491	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-7_water-etr1-1hr_Rep1_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956497	total_RNA	NASCLabelProtocol:1	De Grauwe_1-7_water-etr1-1hr_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV002_ATH1_A7-degra-Ec1a	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV002_ATH1_A7-degra-Ec1a	E-NASC-20-raw-data-360955042.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
De Grauwe_1-2_water-Col0-1hr_Rep2_ATH1	14 days	sowing	Columbia-0	nasc	NASC_N1092	nasc	Arabidopsis thaliana	ncbitax	etr1-1	NASCGrowProt:932	16-Aug	70% RH	22 C	Normal	Growth Room	1%sucrose	MS/2	De Grauwe_1-2_water-Col0-1hr_Rep2_ATH1	whole_organism	tair_anat:1.2	whole_organism	NASCExtractProtocol:1	360956529	total_RNA	NASCLabelProtocol:1	De Grauwe_1-2_water-Col0-1hr_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	DV002_ATH1_A2-degra-Cc1b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DV002_ATH1_A2-degra-Cc1b	E-NASC-20-raw-data-360954988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152	Affymetrix:Protocol:ExpressionStat	E-NASC-20-processed-data-1342104855.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-20/E-NASC-20.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=360956152
