Source Name	Characteristics [GeneticModification]	Term Source REF	Characteristics [IndividualGeneticCharacteristics]	Characteristics [DevelopmentalStage]	Characteristics [Organism]	Term Source REF	Characteristics [CellLine]	Term Source REF	Characteristics [Ecotype]	Term Source REF	Characteristics [Genotype]	Term Source REF	Protocol REF	Parameter Value [location]	Parameter Value [Lighting]	Parameter Value [Medium]	Parameter Value [Atmosphere]	Parameter Value [Temperature]	Parameter Value [Nutrients]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
McCormac_2-8_gun-mutant-Dpretreated_Rep2_ATH1	induced_mutation	NCI_thesaurus	gun1 and gun5 double mutant	1 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	  	  	  	NASCSampleTreatmentProt:550	  	  	  	  	  	  	McCormac_2-8_gun-mutant-Dpretreated_Rep2_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090672	total_RNA	NASCLabelProtocol:1	McCormac_2-8_gun-mutant-Dpretreated_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A8-MCCOR-GDB	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A8-MCCOR-GDB	E-NASC-41-raw-data-393091222.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-10_phyAmutant-Dpretreated_Rep1_ATH1	  	  	phyA-null mutant	1 Boyes key	Arabidopsis thaliana	ncbitax	NASC_N6219	nasc	  	  	  	  	NASCGrowProt:549	Growth Room	continuous	no sucrose	Normal	22	  	McCormac_2-10_phyAmutant-Dpretreated_Rep1_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090688	total_RNA	NASCLabelProtocol:1	McCormac_2-10_phyAmutant-Dpretreated_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A10-MCCOR-ADA	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A10-MCCOR-ADA	E-NASC-41-raw-data-393091258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-6_wildtype-Dpretreated_Rep2_ATH1	  	  	  	1 Boyes key	Arabidopsis thaliana	ncbitax	NASC_N1092	nasc	Columbia-0	nasc	wild_type	mo	NASCGrowProt:550	Growth Room	continuous	MandS medium	Normal	22	1.5% sucrose	McCormac_2-6_wildtype-Dpretreated_Rep2_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090656	total_RNA	NASCLabelProtocol:1	McCormac_2-6_wildtype-Dpretreated_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A6-MCCOR-WDB	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A6-MCCOR-WDB	E-NASC-41-raw-data-393091186.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-4_gun-mutant-Dpretreated_Rep1_ATH1	induced_mutation	NCI_thesaurus	gun1 and gun5 double mutant	1 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	  	  	  	NASCGrowProt:549	Growth Room	continuous	MandS medium	Normal	22	no sucrose	McCormac_2-4_gun-mutant-Dpretreated_Rep1_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090640	total_RNA	NASCLabelProtocol:1	McCormac_2-4_gun-mutant-Dpretreated_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A4-MCCOR-GDA	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A4-MCCOR-GDA	E-NASC-41-raw-data-393091150.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-1_wildtype-Frprecon_Rep1_ATH1	  	  	  	1 Boyes key	Arabidopsis thaliana	ncbitax	NASC_N1092	nasc	Columbia-0	nasc	wild_type	mo	NASCSampleTreatmentProt:549	  	  	  	  	  	  	McCormac_2-1_wildtype-Frprecon_Rep1_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090616	total_RNA	NASCLabelProtocol:1	McCormac_2-1_wildtype-Frprecon_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A1-MCCOR-WFA	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A1-MCCOR-WFA	E-NASC-41-raw-data-393091096.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-7_gun-mutant-Frprecon_Rep2_ATH1	induced_mutation	NCI_thesaurus	gun1 and gun5 double mutant	1 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	  	  	  	NASCGrowProt:549	Growth Room	continuous	MandS medium	Normal	22	no sucrose	McCormac_2-7_gun-mutant-Frprecon_Rep2_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090664	total_RNA	NASCLabelProtocol:1	McCormac_2-7_gun-mutant-Frprecon_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A7-MCCOR-GFB	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A7-MCCOR-GFB	E-NASC-41-raw-data-393091204.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-9_phyAmutant-FRprecon_Rep1_ATH1	  	  	phyA-null mutant	1 Boyes key	Arabidopsis thaliana	ncbitax	NASC_N6219	nasc	  	  	  	  	NASCSampleTreatmentProt:549	  	  	  	  	  	  	McCormac_2-9_phyAmutant-FRprecon_Rep1_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090680	total_RNA	NASCLabelProtocol:1	McCormac_2-9_phyAmutant-FRprecon_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A9-MCCOR-AFA	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A9-MCCOR-AFA	E-NASC-41-raw-data-393091240.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-2_wildtype-Dpretreated_Rep1_ATH1	  	  	  	1 Boyes key	Arabidopsis thaliana	ncbitax	NASC_N1092	nasc	Columbia-0	nasc	wild_type	mo	NASCSampleTreatmentProt:550	  	  	  	  	  	  	McCormac_2-2_wildtype-Dpretreated_Rep1_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090624	total_RNA	NASCLabelProtocol:1	McCormac_2-2_wildtype-Dpretreated_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A2-MCCOR-WDA	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A2-MCCOR-WDA	E-NASC-41-raw-data-393091114.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-5_wildtype-Frprecon_Rep2_ATH1	  	  	  	1 Boyes key	Arabidopsis thaliana	ncbitax	NASC_N1092	nasc	Columbia-0	nasc	wild_type	mo	NASCGrowProt:549	Growth Room	continuous	MandS medium	Normal	22	no sucrose	McCormac_2-5_wildtype-Frprecon_Rep2_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090648	total_RNA	NASCLabelProtocol:1	McCormac_2-5_wildtype-Frprecon_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A5-MCCOR-WFB	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A5-MCCOR-WFB	E-NASC-41-raw-data-393091168.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
McCormac_2-3_gun-mutant-Frprecon_Rep1_ATH1	induced_mutation	NCI_thesaurus	gun1 and gun5 double mutant	1 Boyes key	Arabidopsis thaliana	ncbitax	  	  	  	  	  	  	NASCGrowProt:549	Growth Room	continuous	MandS medium	Normal	22	no sucrose	McCormac_2-3_gun-mutant-Frprecon_Rep1_ATH1	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	"whole seedlings including cotyledons, shoot and primary root and excluding true leaves"	NASCExtractProtocol:16	393090632	total_RNA	NASCLabelProtocol:1	McCormac_2-3_gun-mutant-Frprecon_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	AM002_ATH1_A3-MCCOR-GFA	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	AM002_ATH1_A3-MCCOR-GFA	E-NASC-41-raw-data-393091132.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719	Affymetrix:Protocol:ExpressionStat	E-NASC-41-processed-data-1342320310.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-41/E-NASC-41.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393091719
