Source Name	Characteristics [DevelopmentalStage]	Characteristics [Ecotype]	Term Source REF	Characteristics [OrganismPart]	Characteristics [StrainOrLine]	Term Source REF	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [Treatment]	Parameter Value [location]	Parameter Value [Temperature]	Parameter Value [Medium]	Parameter Value [Lighting]	Parameter Value [Water]	Parameter Value [Humidity]	Sample Name	Characteristics [OrganismPart]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue [TIME]	Unit[TimeUnit]	FactorValue[STRAIN OR LINE]
smith-00h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:340	intercept	Growth Room	20	compost	12h light  12h dark	9am and 4pm	75	smith-00h_SRC	leaf	NASCExtractProtocol:4	396456982	total_RNA	NASCLabelProtocol:1	smith-00h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A1-Smith-21A	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A1-Smith-21A	NRID5462_Smith-00h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	0	hours	NASC_N3176
smith-00h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:623	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-00h_SRC_REP2	leaf	NASCExtractProtocol:4	396457118	total_RNA	NASCLabelProtocol:1	smith-00h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A1-smith-00h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A1-smith-00h	NRID5771_Smith-00h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	0	hours	NASC_N3176
smith-01h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:341	intercept	Growth Room	20	compost	12h light  12h dark	9am and 4pm	75	smith-01h_SRC	leaf	NASCExtractProtocol:4	396456990	total_RNA	NASCLabelProtocol:1	smith-01h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A2-Smith-22	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A2-Smith-22	NRID5463_Smith-01h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	1	hours	NASC_N3176
smith-01h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:624	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-01h_SRC_REP2	leaf	NASCExtractProtocol:4	396457126	total_RNA	NASCLabelProtocol:1	smith-01h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A2-smith-01h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A2-smith-01h	NRID5772_Smith-01h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	1	hours	NASC_N3176
smith-02h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:342	intercept	Growth Room	20	compost	12h light  12h dark	9am and 4pm	75	smith-02h_SRC	leaf	NASCExtractProtocol:4	396456998	total_RNA	NASCLabelProtocol:1	smith-02h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A3-Smith-23	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A3-Smith-23	NRID5464_Smith-02h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	2	hours	NASC_N3176
smith-02h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:625	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-02h_SRC_REP2	leaf	NASCExtractProtocol:4	396457134	total_RNA	NASCLabelProtocol:1	smith-02h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A3-smith-02h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A3-smith-02h	NRID5773_Smith-02h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	2	hours	NASC_N3176
smith-04h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:343	intercept	Growth Room	20	compost	12h light  12h dark	9am and 4pm	75	smith-04h_SRC	leaf	NASCExtractProtocol:4	396457006	total_RNA	NASCLabelProtocol:1	smith-04h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A4-Smith-1	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A4-Smith-1	NRID5465_Smith-04h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	4	hours	NASC_N3176
smith-04h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:626	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-04h_SRC_REP2	leaf	NASCExtractProtocol:4	396457142	total_RNA	NASCLabelProtocol:1	smith-04h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A4-smith-04h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A4-smith-04h	NRID5774_Smith-04h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	4	hours	N3176
smith-08h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:344	intercept	Growth Room	20	compost	12h light  12h dark	9am and 4pm	75	smith-08h_SRC	leaf	NASCExtractProtocol:4	396457014	total_RNA	NASCLabelProtocol:1	smith-08h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A5-Smith-5	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A5-Smith-5	NRID5466_Smith-08h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	5	hours	NASC_N3176
smith-08h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:627	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-08h_SRC_REP2	leaf	NASCExtractProtocol:4	396457150	total_RNA	NASCLabelProtocol:1	smith-08h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A5-smith-08h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A5-smith-08h	NRID5775_Smith-08h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	5	hours	N3176
