Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [developmental stage]	Characteristics[age]	Unit[time unit]	Protocol REF	Parameter Value [Growth medium]	Parameter Value [sterilisation]	Parameter Value [stratification]	Parameter Value [average temperature]	Parameter Value [growth substrate type]	Parameter Value [hydroponic constituents]	Parameter Value [Location]	Parameter Value [average humidity]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [compound]	Factor Value [time]	Unit[TimeUnit]
Dewdney_1-8_H20-1h_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice4	Dewdney_1-8_H20-1h_Rep2_ATH1	NASC:ExtractProtocol:3	Dewdney_1-8_H20-1h_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-8_H20-1h_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.28.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-8_H2O-1h_Rep2_ATH1	Dewdney_1-8_H2O-1h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	water	1	hour
Dewdney_1-9_H20-1h_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice4	Dewdney_1-9_H20-1h_Rep3_ATH1	NASC:ExtractProtocol:3	Dewdney_1-9_H20-1h_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-9_H20-1h_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.31.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-9_H2O-1h_Rep3_ATH1	Dewdney_1-9_H2O-1h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	water	1	hour
Dewdney_1-7_H20-1h_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice4	Dewdney_1-7_H20-1h_Rep1_ATH1	NASC:ExtractProtocol:3	Dewdney_1-7_H20-1h_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-7_H20-1h_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.24.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-7_H2O-1h_Rep1_ATH1	Dewdney_1-7_H2O-1h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	water	1	hour
Dewdney_1-10_H20-3h_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice4	Dewdney_1-10_H20-3h_Rep1_ATH1	NASC:ExtractProtocol:3	Dewdney_1-10_H20-3h_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-10_H20-3h_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.34.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-10_H2O-3h_Rep1_ATH1	Dewdney_1-10_H2O-3h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	water	3	hour
Dewdney_1-12_H20-3h_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice4	Dewdney_1-12_H20-3h_Rep3_ATH1	NASC:ExtractProtocol:3	Dewdney_1-12_H20-3h_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-12_H20-3h_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.40.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-12_H2O-3h_Rep3_ATH1	Dewdney_1-12_H2O-3h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	water	3	hour
Dewdney_1-11_H20-3h_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice4	Dewdney_1-11_H20-3h_Rep2_ATH1	NASC:ExtractProtocol:3	Dewdney_1-11_H20-3h_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-11_H20-3h_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.37.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-11_H2O-3h_Rep2_ATH1	Dewdney_1-11_H2O-3h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	water	3	hour
Dewdney_1-13_OGs-1h_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice2	Dewdney_1-13_OGs-1h_Rep1_ATH1	NASC:ExtractProtocol:3	Dewdney_1-13_OGs-1h_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-13_OGs-1h_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.43.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-13_OGs-1h_Rep1_ATH1	Dewdney_1-13_OGs-1h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	oligogalacturonide	1	hour
Dewdney_1-14_OGs-1h_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice2	Dewdney_1-14_OGs-1h_Rep2_ATH1	NASC:ExtractProtocol:3	Dewdney_1-14_OGs-1h_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-14_OGs-1h_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.47.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-14_OGs-1h_Rep2_ATH1	Dewdney_1-14_OGs-1h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	oligogalacturonide	1	hour
Dewdney_1-15_OGs-1h_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice2	Dewdney_1-15_OGs-1h_Rep3_ATH1	NASC:ExtractProtocol:3	Dewdney_1-15_OGs-1h_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-15_OGs-1h_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.50.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-15_OGs-1h_Rep3_ATH1	Dewdney_1-15_OGs-1h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	oligogalacturonide	1	hour
Dewdney_1-17_OGs-3h_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	10	day	P-TABM-beatrice1.76	Murashige and Skoog basal salt mixture	5% hypochlorite 10 minutes	3 days 4degreeC	23	Hydroponics	Plants were not grown hydroponically, but there is no other option to select for plants grown in liquid medium. Seedlings were grown in a shallow layer of medium.	Growth Room	100	P-TABM-beatrice2	Dewdney_1-17_OGs-3h_Rep2_ATH1	NASC:ExtractProtocol:3	Dewdney_1-17_OGs-3h_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Dewdney_1-17_OGs-3h_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-76.56.Hybridization	A-AFFY-2	P-AFFY-6	Dewdney_1-17_OGs-3h_Rep2_ATH1	Dewdney_1-17_OGs-3h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-76-processed-data-1360079607.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-76/E-NASC-76.processed.1.zip	oligogalacturonide	3	hour
