Source Name	Characteristics [Ecotype]	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [replicate timepoint]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [ECOTYPE]
AtGE_111_A	Bayreuth-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_111_A	P-TABM-35	AtGE_111_A	total_RNA	P-TABM-37	AtGE_111_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_111_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_111_A	ATGE_111_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Bayreuth-0
AtGE_115_B	Estland	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_115_B	P-TABM-35	AtGE_115_B	total_RNA	P-TABM-37	AtGE_115_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_115_B	A-AFFY-2	P-AFFY-6	MBA: ATGE_115_B	ATGE_115_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Estland
AtGE_139_A	Noordwijk-1	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_139_A	P-TABM-35	AtGE_139_A	total_RNA	P-TABM-37	AtGE_139_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_139_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_139_A	ATGE_139_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Noordwijk-1
AtGE_121_A	Achkarren-1	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_121_A	P-TABM-35	AtGE_121_A	total_RNA	P-TABM-37	AtGE_121_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_121_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_121_A	ATGE_121_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Achkarren-1
AtGE_138_A	NFE1	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_138_A	P-TABM-35	AtGE_138_A	total_RNA	P-TABM-37	AtGE_138_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_138_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_138_A	ATGE_138_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	NFE1
AtGE_114_B	Cape Verde Islands	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_114_B	P-TABM-35	AtGE_114_B	total_RNA	P-TABM-37	AtGE_114_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_114_B	A-AFFY-2	P-AFFY-6	MBA: ATGE_114_B	ATGE_114_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Cape Verde Islands
AtGE_144_A	Oldenburg-2	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_144_A	P-TABM-35	AtGE_144_A	total_RNA	P-TABM-37	AtGE_144_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_144_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_144_A	ATGE_144_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Oldenburg-2
AtGE_112_A	C24	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_112_A	P-TABM-35	AtGE_112_A	total_RNA	P-TABM-37	AtGE_112_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_112_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_112_A	ATGE_112_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	C24
AtGE_133_A	HR-5	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_133_A	P-TABM-35	AtGE_133_A	total_RNA	P-TABM-37	AtGE_133_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_133_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_133_A	ATGE_133_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	HR-5
AtGE_132_A	GOT1	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_132_A	P-TABM-35	AtGE_132_A	total_RNA	P-TABM-37	AtGE_132_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_132_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_132_A	ATGE_132_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	GOT1
