Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [growth condition]
CHIP_327_B	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	constans mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_327_B	P-TABM-41	CHIP_327_B	total_RNA	P-TABM-43	CHIP_327_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_327_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_327_B	CHIP_327_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	constans mutant	short day
CHIP_327_A	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	constans mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_327_A	P-TABM-41	CHIP_327_A	total_RNA	P-TABM-43	CHIP_327_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_327_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_327_A	CHIP_327_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	constans mutant	short day
CHIP_327_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	constans mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_327_C	P-TABM-41	CHIP_327_C	total_RNA	P-TABM-43	CHIP_327_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_327_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_327_C	CHIP_327_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	constans mutant	short day
CHIP_323_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	constans mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_323_C	P-TABM-41	CHIP_323_C	total_RNA	P-TABM-43	CHIP_323_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_323_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_323_C	CHIP_323_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	constans mutant	long day
CHIP_323_A	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	constans mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_323_A	P-TABM-41	CHIP_323_A	total_RNA	P-TABM-43	CHIP_323_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_323_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_323_A	CHIP_323_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	constans mutant	long day
CHIP_323_B	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	constans mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_323_B	P-TABM-41	CHIP_323_B	total_RNA	P-TABM-43	CHIP_323_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_323_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_323_B	CHIP_323_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	constans mutant	long day
CHIP_328_A	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flowering locus T mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_328_A	P-TABM-41	CHIP_328_A	total_RNA	P-TABM-43	CHIP_328_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_328_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_328_A	CHIP_328_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	flowering locus T mutant	short day
CHIP_328_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flowering locus T mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_328_C	P-TABM-41	CHIP_328_C	total_RNA	P-TABM-43	CHIP_328_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_328_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_328_C	CHIP_328_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	flowering locus T mutant	short day
CHIP_328_B	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flowering locus T mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_328_B	P-TABM-41	CHIP_328_B	total_RNA	P-TABM-43	CHIP_328_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_328_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_328_B	CHIP_328_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	flowering locus T mutant	short day
CHIP_324_C	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flowering locus T mutant	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	P-TABM-40	CHIP_324_C	P-TABM-41	CHIP_324_C	total_RNA	P-TABM-43	CHIP_324_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_324_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_324_C	CHIP_324_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-21-processed-data-1343410183.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-21/E-TABM-21.processed.1.zip	flowering locus T mutant	long day
