Source Name	Characteristics [StrainOrLine]	Characteristics [Organism]	Term Source REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Factor Value [StrainOrLine]	Factor Value [compound]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Compound]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
ABRC-CS57924 2	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-hans18	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total_RNA	P-TABM-hans19	ABRC-CS57924 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R435b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	0.02% Silwet	28	h	  	R435b	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528057.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57924 1	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-826	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total_RNA	P-TABM-hans19	ABRC-CS57924 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1046	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	  	28	h	0.02% Silwet	R1046.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528051.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57923 2	CS57923	Arabidopsis thaliana	ncbitax	P-TABM-hans18	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total_RNA	P-TABM-hans19	ABRC-CS57923 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R473b	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57923	0.02% Silwet	28	h	  	R473b	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528057.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57924 1	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-826	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total_RNA	P-TABM-hans19	ABRC-CS57924 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R829	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	  	28	h	0.02% Silwet	R829.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528051.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57924 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.BioSource	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-826	ABRC-CS57924 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.Sample	P-TABM-103	ABRC-CS57924 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.Extract	total_RNA	P-TABM-hans19	ABRC-CS57924 2 biotin__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.LabeledExtract.biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1227	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	  	28	h	0.02% Silwet	R1227.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528051.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57924 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.BioSource	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-826	ABRC-CS57924 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.Sample	P-TABM-103	ABRC-CS57924 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.Extract	total_RNA	P-TABM-hans19	ABRC-CS57924 2 biotin__ebi.ac.uk:Tab2MAGE:E-TABM-126.130.LabeledExtract.biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1416	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	  	28	h	0.02% Silwet	R1416.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528051.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57923 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.146.BioSource	CS57923	Arabidopsis thaliana	ncbitax	P-TABM-826	ABRC-CS57923 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.146.Sample	P-TABM-103	ABRC-CS57923 2__ebi.ac.uk:Tab2MAGE:E-TABM-126.146.Extract	total_RNA	P-TABM-hans19	ABRC-CS57923 2 biotin__ebi.ac.uk:Tab2MAGE:E-TABM-126.146.LabeledExtract.biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1256	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57923	  	28	h	0.02% Silwet	R1256.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528051.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57924 2	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-hans18	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total_RNA	P-TABM-hans19	ABRC-CS57924 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R636	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	0.02% Silwet	28	h	  	R636	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528057.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57923 1	CS57923	Arabidopsis thaliana	ncbitax	P-TABM-826	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total_RNA	P-TABM-hans19	ABRC-CS57923 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1066	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57923	  	28	h	0.02% Silwet	R1066.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528051.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57923 1	CS57923	Arabidopsis thaliana	ncbitax	P-TABM-826	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total_RNA	P-TABM-hans19	ABRC-CS57923 1 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R870	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57923	  	28	h	0.02% Silwet	R870.CEL	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528051.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57923 2	CS57923	Arabidopsis thaliana	ncbitax	P-TABM-hans18	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total_RNA	P-TABM-hans19	ABRC-CS57923 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R619	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57923	0.02% Silwet	28	h	  	R619	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528057.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57924 2	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-hans18	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total_RNA	P-TABM-hans19	ABRC-CS57924 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R448	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	0.02% Silwet	28	h	  	R448	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528057.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
ABRC-CS57924 2	CS57924	Arabidopsis thaliana	ncbitax	P-TABM-hans18	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total_RNA	P-TABM-hans19	ABRC-CS57924 2 biotin	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R667	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CS57924	0.02% Silwet	28	h	  	R667	  	  	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243	Affymetrix:Protocol:ExpressionStat	E-TABM-224-processed-data-1343528057.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-224/E-TABM-224.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1321833243
