Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[age]	Unit[TimeUnit]	Characteristics[organism part]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[growth condition]	Factor Value [time]	Unit [TimeUnit]	Factor Value [ecotype]
Col-0 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 2	P-TABM-103	Col-0 2	total_RNA	P-TABM-104	Col-0 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	331	A-AFFY-2	P-AFFY-6	331	331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	4	hour	Col-0
Col-0 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 3	P-TABM-103	Col-0 3	total_RNA	P-TABM-104	Col-0 3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	404	A-AFFY-2	P-AFFY-6	404	404.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	4	hour	Col-0
Col-0 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 1	P-TABM-103	Col-0 1	total_RNA	P-TABM-104	Col-0 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	289b	A-AFFY-2	P-AFFY-6	289b	289b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	4	hour	Col-0
Col-0 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 2	P-TABM-103	Col-0 2	total_RNA	P-TABM-104	Col-0 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	325	A-AFFY-2	P-AFFY-6	325	325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	28	hour	Col-0
Col-0 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 3	P-TABM-103	Col-0 3	total_RNA	P-TABM-104	Col-0 3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	398	A-AFFY-2	P-AFFY-6	398	398.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	28	hour	Col-0
Col-0 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 1	P-TABM-103	Col-0 1	total_RNA	P-TABM-104	Col-0 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	284b	A-AFFY-2	P-AFFY-6	284b	284b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	28	hour	Col-0
Col-0 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 2	P-TABM-103	Col-0 2	total_RNA	P-TABM-104	Col-0 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	311	A-AFFY-2	P-AFFY-6	311	311.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	52	hour	Col-0
Col-0 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 3	P-TABM-103	Col-0 3	total_RNA	P-TABM-104	Col-0 3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	353	A-AFFY-2	P-AFFY-6	353	353.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	52	hour	Col-0
Col-0 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 1	P-TABM-103	Col-0 1	total_RNA	P-TABM-104	Col-0 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	273b	A-AFFY-2	P-AFFY-6	273b	273b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.02 percent Silwet	52	hour	Col-0
Col-0 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	6-7	week	leaf	P-TABM-102	Col-0 2	P-TABM-103	Col-0 2	total_RNA	P-TABM-104	Col-0 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	333	A-AFFY-2	P-AFFY-6	333	333.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-51/E-TABM-51.raw.1.zip	0.3 millimolar salicylic acid	4	hour	Col-0
