Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [COMPOUND]	Factor Value [TIME]	Unit [TimeUnit]
ABRC-CS57924 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57924	EFO	EFO_0000166	P-TABM-131	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total_RNA	P-TABM-132	ABRC-CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	682	A-AFFY-2	P-AFFY-6	682	682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	4	hours
ABRC-CS57923 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57923	EFO	EFO_0000165	P-TABM-131	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total_RNA	P-TABM-132	ABRC-CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	708	A-AFFY-2	P-AFFY-6	708	708.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	28	hours
ABRC-CS57924 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57924	EFO	EFO_0000166	P-TABM-131	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total_RNA	P-TABM-132	ABRC-CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	712	A-AFFY-2	P-AFFY-6	712	712.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	28	hours
ABRC-CS57924 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57924	EFO	EFO_0000166	P-TABM-131	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total_RNA	P-TABM-132	ABRC-CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	737	A-AFFY-2	P-AFFY-6	737	737.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	52	hours
ABRC-CS57924 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57924	EFO	EFO_0000166	P-TABM-131	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total_RNA	P-TABM-132	ABRC-CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	707	A-AFFY-2	P-AFFY-6	707	707.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	28	hours
ABRC-CS57924 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57924	EFO	EFO_0000166	P-TABM-131	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total_RNA	P-TABM-132	ABRC-CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	687	A-AFFY-2	P-AFFY-6	687	687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	4	hours
ABRC-CS57923 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57923	EFO	EFO_0000165	P-TABM-131	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total_RNA	P-TABM-132	ABRC-CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	738	A-AFFY-2	P-AFFY-6	738	738.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	52	hours
ABRC-CS57924 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57924	EFO	EFO_0000166	P-TABM-131	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total_RNA	P-TABM-132	ABRC-CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	732	A-AFFY-2	P-AFFY-6	732	732.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	52	hours
ABRC-CS57923 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57923	EFO	EFO_0000165	P-TABM-131	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total_RNA	P-TABM-132	ABRC-CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	733	A-AFFY-2	P-AFFY-6	733	733.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	52	hours
ABRC-CS57923 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57923	EFO	EFO_0000165	P-TABM-131	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total_RNA	P-TABM-132	ABRC-CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	683	A-AFFY-2	P-AFFY-6	683	683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	4	hours
ABRC-CS57923 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57923	EFO	EFO_0000165	P-TABM-131	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total_RNA	P-TABM-132	ABRC-CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	688	A-AFFY-2	P-AFFY-6	688	688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	4	hours
ABRC-CS57923 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS57923	EFO	EFO_0000165	P-TABM-131	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total_RNA	P-TABM-132	ABRC-CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	713	A-AFFY-2	P-AFFY-6	713	713.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-60-processed-data-1343522471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-60/E-TABM-60.processed.1.zip	0.02% Silwet	28	hours
