Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Protocol REF	Protocol REF	Parameter Value [growth_temperature]	Unit [TemperatureUnit]	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[TREATMENT]	Factor Value [GENOTYPE]
Leaf1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	wild_type	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_0_LaW_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_0_LaW_II-v4	caquinof_20090311_0_LaW_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 0 hours	wild_type
Leaf2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	wild_type	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_6_LcW_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_6_LcW_II-v4	caquinof_20090311_6_LcW_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 6 hours	wild_type
Leaf3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	wild_type	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_0_LbW_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_0_LbW_II-v4	caquinof_20090311_0_LbW_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 0 hours	wild_type
Leaf4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_0_LaR_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_0_LaR_II-v4	caquinof_20090311_0_LaR_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 0 hours	RBR RNAi
Leaf5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	wild_type	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_0_LcW_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_0_LcW_II-v4	caquinof_20090311_0_LcW_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 0 hours	wild_type
Leaf6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	wild_type	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_3_LaW_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_3_LaW_II-v4	caquinof_20090311_3_LaW_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 3 hours	wild_type
Leaf7	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	wild_type	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_3_LbW_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_3_LbW_II-v4	caquinof_20090311_3_LbW_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 3 hours	wild_type
Leaf8	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_6_LbR_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_6_LbR_II-v4	caquinof_20090311_6_LbR_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 6 hours	RBR RNAi
Leaf9	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_3_LcR_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_3_LcR_II-v4	caquinof_20090311_3_LcR_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 3 hours	RBR RNAi
Leaf10	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	wild_type	P-TABM-4746	P-TABM-4743	22	degree_C	Leaf	P-TABM-4745	P-TABM-4742	Leaf	total_RNA	P-TABM-4744	Leaf biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20090311_3_LcW_II-v4	A-AFFY-2	P-AFFY-6	caquinof_20090311_3_LcW_II-v4	caquinof_20090311_3_LcW_II-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-918/E-TABM-918.raw.1.zip	beta-estradiol 5 uM for 3 hours	wild_type
