Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [treatment time]	Unit[time unit]	Factor Value [compound]	FactorValue[dose]	Unit[concentration unit]
Leaf_Tzero_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_Tzero_a	P-TABM-4747	P-TABM-4750	Leaf_Tzero_a extract	total_RNA	P-TABM-4749	Leaf_Tzero_a labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_0_La-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_0_La-v4	caquinof_20080829_0_La-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	0	hour	none	  	        
Leaf_Tzero_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_Tzero_b	P-TABM-4747	P-TABM-4750	Leaf_Tzero_b extract	total_RNA	P-TABM-4749	Leaf_Tzero_b labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_0_Lb-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_0_Lb-v4	caquinof_20080829_0_Lb-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	0	hour	none	  	        
Leaf_Tzero_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_Tzero_c	P-TABM-4747	P-TABM-4750	Leaf_Tzero_c extract	total_RNA	P-TABM-4749	Leaf_Tzero_c labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_0_Lc-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_0_Lc-v4	caquinof_20080829_0_Lc-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	0	hour	none	  	        
Leaf_12hE_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_12hE_c	P-TABM-4747	P-TABM-4750	Leaf_12hE_c extract	total_RNA	P-TABM-4749	Leaf_12hE_c labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_12_Lc_E-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_12_Lc_E-v4	caquinof_20080829_12_Lc_E-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	12	hour	beta-estradiol	5	micromolar
Leaf_12hE_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_12hE_a	P-TABM-4747	P-TABM-4750	Leaf_12hE_a extract	total_RNA	P-TABM-4749	Leaf_12hE_a labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_12_La_E-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_12_La_E-v4	caquinof_20080829_12_La_E-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	12	hour	beta-estradiol	5	micromolar
Leaf_12hE_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_12hE_b	P-TABM-4747	P-TABM-4750	Leaf_12hE_b extract	total_RNA	P-TABM-4749	Leaf_12hE_b labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_12_Lb_E-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_12_Lb_E-v4	caquinof_20080829_12_Lb_E-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	12	hour	beta-estradiol	5	micromolar
Leaf_12hW_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_12hW_a	P-TABM-4747	P-TABM-4750	Leaf_12hW_a extract	total_RNA	P-TABM-4749	Leaf_12hW_a labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_12_La_W-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_12_La_W-v4	caquinof_20080829_12_La_W-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	12	hour	water	  	        
Leaf_12hW_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_12hW_c	P-TABM-4747	P-TABM-4750	Leaf_12hW_c extract	total_RNA	P-TABM-4749	Leaf_12hW_c labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_12_Lc_W-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_12_Lc_W-v4	caquinof_20080829_12_Lc_W-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	12	hour	water	  	        
Leaf_12hW_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_12hW_b	P-TABM-4747	P-TABM-4750	Leaf_12hW_b extract	total_RNA	P-TABM-4749	Leaf_12hW_b labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_12_Lb_W-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_12_Lb_W-v4	caquinof_20080829_12_Lb_W-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	12	hour	water	  	        
Leaf_24hE_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_24hE_b	P-TABM-4747	P-TABM-4750	Leaf_24hE_b extract	total_RNA	P-TABM-4749	Leaf_24hE_b labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_24_Lb_E-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_24_Lb_E-v4	caquinof_20080829_24_Lb_E-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	24	hour	beta-estradiol	5	micromolar
Leaf_24hE_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_24hE_c	P-TABM-4747	P-TABM-4750	Leaf_24hE_c extract	total_RNA	P-TABM-4749	Leaf_24hE_c labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_24_Lc_E-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_24_Lc_E-v4	caquinof_20080829_24_Lc_E-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	24	hour	beta-estradiol	5	micromolar
Leaf_24hE_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_24hE_a	P-TABM-4747	P-TABM-4750	Leaf_24hE_a extract	total_RNA	P-TABM-4749	Leaf_24hE_a labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_24_La_E-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_24_La_E-v4	caquinof_20080829_24_La_E-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	24	hour	beta-estradiol	5	micromolar
Leaf_24hW_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_24hW_a	P-TABM-4747	P-TABM-4750	Leaf_24hW_a extract	total_RNA	P-TABM-4749	Leaf_24hW_a labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_24_La_W-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_24_La_W-v4	caquinof_20080829_24_La_W-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	24	hour	water	  	        
Leaf_24hW_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_24hW_b	P-TABM-4747	P-TABM-4750	Leaf_24hW_b extract	total_RNA	P-TABM-4749	Leaf_24hW_b labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_24_Lb_W-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_24_Lb_W-v4	caquinof_20080829_24_Lb_W-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	24	hour	water	  	        
Leaf_24hW_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	EFO	EFO_0000993	RBR RNAi	P-TABM-4751	P-TABM-4748	Leaf_24hW_c	P-TABM-4747	P-TABM-4750	Leaf_24hW_c extract	total_RNA	P-TABM-4749	Leaf_24hW_c labeled extract	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	caquinof_20080829_24_Lc_W-v4	A-AFFY-2	P-AFFY-6	caquinof_20080829_24_Lc_W-v4	caquinof_20080829_24_Lc_W-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-919/E-TABM-919.raw.1.zip	24	hour	water	  	        
