TF	TARGET
AT1G01060	AT1G04400
AT1G01060	AT1G22770
AT1G01060	AT1G32900
AT1G01060	AT1G65480
AT1G01060	AT2G21660
AT1G01060	AT2G40080
AT1G01060	AT2G46790
AT1G01060	AT3G46640
AT1G01060	AT5G02810
AT1G01060	AT5G15840
AT1G01060	AT5G61380
AT1G01120	AT5G16560
AT1G01140	AT5G16560
AT1G01170	AT5G61850
AT1G01180	AT5G61850
AT1G01183	AT5G61850
AT1G01260	AT2G20180
AT1G01260	AT3G18660
AT1G01260	AT3G62020
AT1G01260	AT5G60690
AT1G01380	AT1G79840
AT1G01380	AT3G27920
AT1G01380	AT5G41315
AT1G01490	AT5G16560
AT1G01490	AT5G61850
AT1G01500	AT5G61850
AT1G01530	AT4G02560
AT1G01530	AT4G16280
AT1G01610	AT5G61850
AT1G01620	AT5G61850
AT1G01630	AT5G61850
AT1G01650	AT2G20180
AT1G01670	AT5G61850
AT1G01680	AT5G61850
AT1G01710	AT5G61850
AT1G01720	AT2G20180
AT1G01720	AT5G61850
AT1G01900	AT1G71930
AT1G01900	AT5G62380
AT1G02070	AT4G36920
AT1G02180	AT5G61850
AT1G02190	AT4G36920
AT1G02190	AT5G61850
AT1G02205	AT4G36920
AT1G02228	AT5G61850
AT1G02230	AT5G61850
AT1G02335	AT5G61850
AT1G02340	AT1G09530
AT1G02340	AT1G29910
AT1G02340	AT4G16780
AT1G02340	AT5G13930
AT1G02340	AT5G61380
AT1G02340	AT5G61850
AT1G02350	AT5G61850
AT1G02360	AT5G61850
AT1G02400	AT3G22170
AT1G02400	AT5G13790
AT1G02630	AT5G61850
AT1G02640	AT5G61850
AT1G02810	AT5G11260
AT1G03190	AT5G61850
AT1G03200	AT5G61850
AT1G03240	AT5G61850
AT1G03250	AT5G61850
AT1G03280	AT5G61850
AT1G03290	AT5G61850
AT1G03590	AT2G20180
AT1G03600	AT2G20180
AT1G03610	AT2G20180
AT1G03630	AT5G11260
AT1G03710	AT4G36920
AT1G03790	AT2G20180
AT1G03850	AT2G20180
AT1G03850	AT5G61850
AT1G03860	AT5G61850
AT1G03970	AT1G79180
AT1G03990	AT2G20180
AT1G04100	AT1G30490
AT1G04110	AT4G36920
AT1G04120	AT2G20180
AT1G04150	AT5G61850
AT1G04160	AT5G61850
AT1G04240	AT3G15440
AT1G04250	AT5G61850
AT1G04370	AT2G44840
AT1G04370	AT3G23240
AT1G04550	AT5G12870
AT1G05010	AT5G61850
AT1G05020	AT5G61850
AT1G05380	AT1G75410
AT1G05430	AT5G61850
AT1G05440	AT5G61850
AT1G05750	AT5G61850
AT1G05770	AT5G61850
AT1G05790	AT5G61850
AT1G05800	AT5G61850
AT1G05805	AT1G71930
AT1G05970	AT5G61850
AT1G05980	AT5G61850
AT1G05990	AT5G61850
AT1G06148	AT5G61850
AT1G06160	AT3G12500
AT1G06160	AT5G44420
AT1G06180	AT1G51680
AT1G06180	AT5G48930
AT1G06400	AT2G20180
AT1G06400	AT5G61850
AT1G06410	AT5G61850
AT1G06990	AT5G61850
AT1G07000	AT5G61850
AT1G07010	AT5G61850
AT1G07135	AT5G11260
AT1G07200	AT5G61850
AT1G07210	AT5G61850
AT1G07260	AT4G36920
AT1G07270	AT1G14350
AT1G07270	AT2G02820
AT1G07280	AT5G61850
AT1G07380	AT5G61850
AT1G07390	AT5G61850
AT1G07430	AT2G20180
AT1G07440	AT5G61850
AT1G07450	AT5G61850
AT1G07460	AT5G61850
AT1G07520	AT5G61850
AT1G07530	AT5G61850
AT1G07540	AT5G61850
AT1G07550	AT5G61850
AT1G07570	AT5G61850
AT1G07580	AT5G61850
AT1G07620	AT5G61850
AT1G07630	AT5G61850
AT1G07640	AT2G22330
AT1G07640	AT3G56970
AT1G07640	AT3G56980
AT1G07640	AT4G31500
AT1G07640	AT4G39950
AT1G07640	AT5G23010
AT1G07640	AT5G61850
AT1G07650	AT5G61850
AT1G07900	AT5G61850
AT1G07901	AT5G61850
AT1G08240	AT5G61850
AT1G08250	AT5G61850
AT1G08260	AT5G61850
AT1G08370	AT5G61850
AT1G08380	AT5G61850
AT1G08390	AT5G61850
AT1G08570	AT2G20180
AT1G08650	AT5G61850
AT1G08660	AT5G61850
AT1G08920	AT5G61850
AT1G08930	AT5G61850
AT1G08970	AT1G51680
AT1G08985	AT5G61850
AT1G08990	AT5G61850
AT1G09000	AT5G61850
AT1G09070	AT5G11260
AT1G09130	AT5G61850
AT1G09140	AT5G61850
AT1G09150	AT5G61850
AT1G09155	AT5G61850
AT1G09157	AT5G61850
AT1G09340	AT5G61850
AT1G09350	AT5G61850
AT1G09480	AT5G11260
AT1G09530	AT1G01060
AT1G09530	AT1G01250
AT1G09530	AT1G01260
AT1G09530	AT1G02210
AT1G09530	AT1G02220
AT1G09530	AT1G02230
AT1G09530	AT1G02250
AT1G09530	AT1G02340
AT1G09530	AT1G02350
AT1G09530	AT1G02990
AT1G09530	AT1G03000
AT1G09530	AT1G03470
AT1G09530	AT1G03475
AT1G09530	AT1G03790
AT1G09530	AT1G03800
AT1G09530	AT1G04370
AT1G09530	AT1G04380
AT1G09530	AT1G04770
AT1G09530	AT1G04778
AT1G09530	AT1G06840
AT1G09530	AT1G06850
AT1G09530	AT1G07090
AT1G09530	AT1G07100
AT1G09530	AT1G07670
AT1G09530	AT1G07680
AT1G09530	AT1G08560
AT1G09530	AT1G08570
AT1G09530	AT1G08650
AT1G09530	AT1G08660
AT1G09530	AT1G09250
AT1G09530	AT1G09260
AT1G09530	AT1G12070
AT1G09530	AT1G12080
AT1G09530	AT1G13240
AT1G09530	AT1G13245
AT1G09530	AT1G13260
AT1G09530	AT1G13270
AT1G09530	AT1G13730
AT1G09530	AT1G13740
AT1G09530	AT1G14600
AT1G09530	AT1G14860
AT1G09530	AT1G14870
AT1G09530	AT1G15660
AT1G09530	AT1G15670
AT1G09530	AT1G18400
AT1G09530	AT1G18720
AT1G09530	AT1G18730
AT1G09530	AT1G19310
AT1G09530	AT1G19320
AT1G09530	AT1G21050
AT1G09530	AT1G21060
AT1G09530	AT1G23700
AT1G09530	AT1G23710
AT1G09530	AT1G28130
AT1G09530	AT1G28135
AT1G09530	AT1G28480
