TF	TARGET
AT1G01060	AT1G04400
AT1G01060	AT1G22770
AT1G01060	AT1G32900
AT1G01060	AT1G65480
AT1G01060	AT2G21660
AT1G01060	AT2G40080
AT1G01060	AT2G46790
AT1G01060	AT3G46640
AT1G01060	AT5G02810
AT1G01060	AT5G15840
AT1G01060	AT5G61380
AT1G01380	AT1G79840
AT1G01530	AT4G02560
AT1G01530	AT4G16280
AT1G02340	AT1G29910
AT1G02340	AT4G16780
AT1G02340	AT5G13930
AT1G04370	AT2G44840
AT1G04370	AT3G23240
AT1G06160	AT3G12500
AT1G06160	AT5G44420
AT1G07640	AT2G22330
AT1G07640	AT3G56970
AT1G07640	AT3G56980
AT1G07640	AT4G31500
AT1G07640	AT4G39950
AT1G07640	AT5G23010
AT1G09530	AT1G01060
AT1G09530	AT1G29930
AT1G09530	AT1G44446
AT1G09530	AT2G18790
AT1G09530	AT2G30570
AT1G09530	AT2G46830
AT1G09530	AT3G51240
AT1G09530	AT4G14690
AT1G09530	AT4G22880
AT1G09530	AT5G13630
AT1G09530	AT5G13930
AT1G09530	AT5G42800
AT1G09770	AT1G62360
AT1G09770	AT1G75820
AT1G09770	AT2G17950
AT1G09770	AT2G27250
AT1G09770	AT3G54180
AT1G09770	AT4G16890
AT1G10170	AT1G74710
AT1G10170	AT2G14610
AT1G10170	AT4G39030
AT1G12610	AT1G50960
AT1G12610	AT2G42540
AT1G12610	AT5G17490
AT1G12610	AT5G52310
AT1G12860	AT5G53210
AT1G12980	AT2G17950
AT1G12980	AT2G27250
AT1G13960	AT2G14610
AT1G14350	AT3G54180
AT1G14350	AT4G34160
AT1G14920	AT1G15550
AT1G14920	AT2G04240
AT1G14920	AT2G36270
AT1G14920	AT3G27920
AT1G14920	AT4G25420
AT1G14920	AT5G61850
AT1G15360	AT1G01120
AT1G15360	AT1G02205
AT1G15360	AT4G24510
AT1G16490	AT1G15950
AT1G16490	AT1G51680
AT1G16490	AT2G30490
AT1G16490	AT2G37040
AT1G16490	AT2G38080
AT1G16490	AT2G40890
AT1G16490	AT4G34050
AT1G16490	AT4G37970
AT1G16490	AT5G48930
AT1G16490	AT5G54160
AT1G18570	AT1G74100
AT1G18570	AT2G22330
AT1G18570	AT4G31500
AT1G18570	AT4G39950
AT1G18570	AT4G39980
AT1G18570	AT5G54810
AT1G19220	AT1G04240
AT1G19220	AT2G42430
AT1G19220	AT3G58190
AT1G19220	AT4G14550
AT1G19220	AT4G37650
AT1G19350	AT2G20570
AT1G19350	AT2G43060
AT1G19350	AT4G38850
AT1G19350	AT5G10140
AT1G19350	AT5G44190
AT1G19350	AT5G57560
AT1G19850	AT1G01480
AT1G19850	AT1G04550
AT1G19850	AT1G12980
AT1G19850	AT1G73590
AT1G19850	AT3G20840
AT1G19850	AT4G11280
AT1G19850	AT4G32880
AT1G19850	AT4G37770
AT1G21970	AT1G06180
AT1G21970	AT1G28300
AT1G21970	AT1G62290
AT1G21970	AT2G17090
AT1G21970	AT2G36270
AT1G21970	AT2G41260
AT1G21970	AT3G24650
AT1G21970	AT3G26790
AT1G21970	AT3G51810
AT1G21970	AT3G54320
AT1G21970	AT4G27160
AT1G21970	AT5G66400
AT1G22070	AT2G14610
AT1G23420	AT4G27330
AT1G23420	AT4G37750
AT1G24260	AT1G69120
AT1G24260	AT2G17950
AT1G24260	AT2G22540
AT1G24260	AT3G54340
AT1G24260	AT4G18960
AT1G24260	AT4G24540
AT1G24590	AT3G15170
AT1G25560	AT1G65480
AT1G26310	AT1G69120
AT1G26310	AT5G03840
AT1G26310	AT5G61850
AT1G26870	AT1G79580
AT1G26945	AT1G02340
AT1G27730	AT1G07890
AT1G27730	AT1G17420
AT1G27730	AT1G19180
AT1G27730	AT3G09640
AT1G27730	AT4G25100
AT1G27730	AT5G52310
AT1G28300	AT1G04250
AT1G28300	AT1G80340
AT1G28300	AT2G22810
AT1G28300	AT2G36270
AT1G28300	AT3G24650
AT1G28300	AT3G26790
AT1G28300	AT3G54320
AT1G28300	AT3G62100
AT1G28300	AT4G13260
AT1G28300	AT4G14560
AT1G28300	AT4G27160
AT1G28300	AT5G11320
AT1G28300	AT5G13790
AT1G28300	AT5G65165
AT1G30210	AT2G31270
AT1G30210	AT3G54710
AT1G30330	AT2G44810
AT1G30490	AT2G17950
AT1G30490	AT5G16560
AT1G32330	AT2G26150
AT1G32540	AT1G08830
AT1G32640	AT1G17420
AT1G32640	AT1G18570
AT1G32640	AT1G19180
AT1G32640	AT1G27730
AT1G32640	AT1G28370
AT1G32640	AT1G29930
AT1G32640	AT1G33760
AT1G32640	AT1G67090
AT1G32640	AT1G72260
AT1G32640	AT1G77120
AT1G32640	AT2G14610
AT1G32640	AT2G24850
AT1G32640	AT2G46340
AT1G32640	AT3G04720
AT1G32640	AT3G12500
AT1G32640	AT3G15210
AT1G32640	AT3G16470
AT1G32640	AT3G23240
AT1G32640	AT3G45140
AT1G32640	AT4G17490
AT1G32640	AT5G07100
AT1G32640	AT5G24770
AT1G32640	AT5G24780
AT1G32640	AT5G25610
AT1G32640	AT5G44420
AT1G32640	AT5G47220
AT1G32770	AT1G16490
AT1G32770	AT1G17950
AT1G32770	AT1G28470
AT1G32770	AT1G62990
AT1G32770	AT1G66230
AT1G32770	AT1G73410
AT1G32770	AT1G79180
AT1G32770	AT4G12350
AT1G32770	AT4G22680
AT1G32770	AT4G28500
AT1G32770	AT4G33450
AT1G32770	AT5G12870
AT1G32770	AT5G16600
AT1G32770	AT5G56110
AT1G33240	AT1G04110
AT1G34370	AT1G08430
AT1G34370	AT3G22200
AT1G34370	AT5G07440
AT1G34790	AT1G61720
AT1G35515	AT1G77120
AT1G35515	AT2G39030
AT1G35515	AT2G42540
AT1G35515	AT5G15960
AT1G35515	AT5G52310
AT1G42990	AT1G09080
AT1G42990	AT2G31955
AT1G42990	AT5G20990
AT1G42990	AT5G28540
AT1G42990	AT5G42020
AT1G45249	AT1G77120
AT1G45249	AT2G18050
AT1G45249	AT5G20830
AT1G45249	AT5G52300
AT1G45249	AT5G52310
AT1G46768	AT2G42540
AT1G46768	AT5G52310
AT1G47870	AT2G37640
AT1G51700	AT5G15840
AT1G52150	AT2G17950
