TF 	TARGET
AT1G04240 	AT3G15440
AT1G13450 	AT1G13450
AT1G16490 	AT1G51190
AT1G30490 	AT1G07640
AT1G30490 	AT1G64620
AT1G30490 	AT2G18060
AT1G30490 	AT3G45610
AT1G30490 	AT3G55370
AT1G54330 	AT1G51190
AT1G54330 	AT5G15210
AT1G54330 	AT5G39760
AT1G63005 	AT1G07640
AT1G63005 	AT1G64620
AT1G63005 	AT2G18380
AT1G63005 	AT2G28810
AT1G63005 	AT3G45610
AT1G63005 	AT5G60200
AT1G63005 	AT5G60690
AT1G66140 	AT1G04240
AT1G66140 	AT1G07640
AT1G66140 	AT3G11020
AT1G74660 	AT5G15210
AT1G74660 	AT5G39760
AT1G75390 	AT2G22850
AT1G75390 	AT5G49450
AT2G03500 	AT1G68200
AT2G31070 	AT2G22840
AT2G31070 	AT3G11020
AT2G31070 	AT4G34590
AT2G34710 	AT1G07640
AT2G34710 	AT1G54330
AT2G34710 	AT1G64620
AT2G34710 	AT2G18060
AT2G34710 	AT2G28810
AT2G34710 	AT3G45610
AT2G34710 	AT3G55370
AT2G34710 	AT3G61850
AT2G34710 	AT5G60200
AT2G39885 	AT1G71930
AT2G46685 	AT1G58100
AT2G46685 	AT4G12350
AT3G03200 	AT5G50820
AT3G04765 	AT2G36400
AT3G15440 	AT3G15440
AT3G15440 	AT4G28640
AT3G15440 	AT5G25890
AT3G43430 	AT1G54330
AT3G43430 	AT1G71930
AT3G43430 	AT4G24470
AT3G43430 	AT4G29230
AT3G61987 	AT5G49450
AT4G00940 	AT1G64620
AT4G02590 	AT1G61660
AT4G02590 	AT1G64620
AT4G19395 	AT1G07640
AT4G19395 	AT1G64620
AT4G19395 	AT2G22850
AT4G19395 	AT2G28810
AT4G19395 	AT3G45610
AT4G19395 	AT5G60690
AT4G28640 	AT3G15440
AT4G28640 	AT5G25890
AT4G29230 	AT1G68200
AT4G36540 	AT3G60580
AT4G37650 	AT1G54330
AT4G37650 	AT3G60580
AT5G12870 	AT1G54330
AT5G12870 	AT1G75390
AT5G15210 	AT1G54330
AT5G15210 	AT1G74660
AT5G15210 	AT5G15210
AT5G15210 	AT5G39760
AT5G25160 	AT1G70920
AT5G25160 	AT3G11020
AT5G25890 	AT4G28640
AT5G25890 	AT5G25890
AT5G35407 	AT3G11280
AT5G39760 	AT1G54330
AT5G39760 	AT5G15210
AT5G39760 	AT5G39760
AT5G49450 	AT1G75390
AT5G49450 	AT4G34590
AT5G50820 	AT3G03200
AT5G50820 	AT5G66300
AT5G50820 	AT5G66330
AT5G53980 	AT1G07640
AT5G53980 	AT1G64620
AT5G53980 	AT2G18060
AT5G53980 	AT3G03200
AT5G53980 	AT3G55370
AT5G59780 	AT1G54330
AT5G59780 	AT4G24470
AT5G60200 	AT2G44940
AT5G60200 	AT3G60490
AT5G60690 	AT1G64620
AT5G60690 	AT2G18060
AT5G60690 	AT3G45610
AT5G60690 	AT3G55370
AT5G60690 	AT5G60200
AT5G63715 	AT2G18300
